,bh_ratio,alive,dead,transient
0,0.0,138,147,311
1,0.05,133,155,295
2,0.1,164,157,253
3,0.15000000000000002,161,127,266
4,0.2,185,137,242
5,0.25,212,111,229
6,0.30000000000000004,223,121,220
7,0.35000000000000003,231,109,221
8,0.4,250,111,190
9,0.45,262,101,178
10,0.5,288,91,169
11,0.55,307,79,162
12,0.6000000000000001,323,70,150
13,0.65,333,64,134
14,0.7000000000000001,351,60,119
15,0.75,373,51,99
16,0.8,405,43,79
17,0.8500000000000001,426,27,67
18,0.9,419,40,54
19,0.9500000000000001,445,27,35
20,1.0,470,11,24
21,0.0,111,143,312
22,0.05,146,136,306
23,0.1,178,134,275
24,0.15000000000000002,189,103,286
25,0.2,186,136,244
26,0.25,211,110,238
27,0.30000000000000004,227,108,219
28,0.35000000000000003,231,113,205
29,0.4,268,94,187
30,0.45,279,91,182
31,0.5,288,83,172
32,0.55,307,74,155
33,0.6000000000000001,320,72,153
34,0.65,324,67,143
35,0.7000000000000001,380,45,101
36,0.75,372,58,101
37,0.8,389,33,92
38,0.8500000000000001,415,34,77
39,0.9,427,27,65
40,0.9500000000000001,432,22,60
41,1.0,465,13,29
42,0.0,102,153,318
43,0.05,132,148,290
44,0.1,147,136,285
45,0.15000000000000002,161,153,260
46,0.2,178,138,246
47,0.25,220,115,235
48,0.30000000000000004,211,111,241
49,0.35000000000000003,244,118,182
50,0.4,260,84,202
51,0.45,263,79,203
52,0.5,296,95,156
53,0.55,294,76,172
54,0.6000000000000001,312,76,150
55,0.65,331,71,130
56,0.7000000000000001,371,65,95
57,0.75,384,47,98
58,0.8,411,36,84
59,0.8500000000000001,402,27,89
60,0.9,425,30,55
61,0.9500000000000001,451,20,43
62,1.0,469,18,21
63,0.0,111,164,302
64,0.05,125,174,268
65,0.1,146,145,283
66,0.15000000000000002,185,116,266
67,0.2,203,103,263
68,0.25,191,128,240
69,0.30000000000000004,221,99,241
70,0.35000000000000003,234,105,206
71,0.4,249,99,206
72,0.45,268,97,185
73,0.5,263,109,164
74,0.55,305,81,155
75,0.6000000000000001,310,81,147
76,0.65,345,57,131
77,0.7000000000000001,346,69,111
78,0.75,388,52,81
79,0.8,401,47,72
80,0.8500000000000001,406,39,74
81,0.9,437,24,51
82,0.9500000000000001,443,20,43
83,1.0,458,16,32
84,0.0,126,145,314
85,0.05,122,159,291
86,0.1,149,173,246
87,0.15000000000000002,190,125,261
88,0.2,175,142,243
89,0.25,225,109,225
90,0.30000000000000004,230,120,206
91,0.35000000000000003,248,102,208
92,0.4,267,75,213
93,0.45,264,85,192
94,0.5,296,85,155
95,0.55,307,71,158
96,0.6000000000000001,318,72,142
97,0.65,330,69,131
98,0.7000000000000001,351,50,121
99,0.75,386,38,105
100,0.8,394,33,91
101,0.8500000000000001,410,31,72
102,0.9,433,29,51
103,0.9500000000000001,449,23,35
104,1.0,461,18,23
105,0.0,114,152,314
106,0.05,146,148,288
107,0.1,150,141,270
108,0.15000000000000002,175,122,270
109,0.2,178,134,246
110,0.25,201,115,246
111,0.30000000000000004,214,122,209
112,0.35000000000000003,243,96,220
113,0.4,253,108,194
114,0.45,283,86,176
115,0.5,308,73,160
116,0.55,314,74,151
117,0.6000000000000001,329,76,136
118,0.65,340,60,130
119,0.7000000000000001,338,70,113
120,0.75,376,48,106
121,0.8,405,38,76
122,0.8500000000000001,411,35,68
123,0.9,427,19,68
124,0.9500000000000001,433,30,56
125,1.0,466,18,21
126,0.0,119,154,312
127,0.05,122,150,302
128,0.1,175,123,293
129,0.15000000000000002,171,121,276
130,0.2,192,127,262
131,0.25,193,114,268
132,0.30000000000000004,222,114,221
133,0.35000000000000003,233,119,197
134,0.4,251,113,189
135,0.45,272,98,176
136,0.5,289,81,171
137,0.55,304,74,158
138,0.6000000000000001,320,69,150
139,0.65,328,63,138
140,0.7000000000000001,364,49,115
141,0.75,365,59,105
142,0.8,394,38,84
143,0.8500000000000001,409,41,71
144,0.9,445,20,50
145,0.9500000000000001,446,18,52
146,1.0,468,12,29
147,0.0,113,159,305
148,0.05,127,147,298
149,0.1,145,140,289
150,0.15000000000000002,174,136,253
151,0.2,190,136,243
152,0.25,189,148,213
153,0.30000000000000004,213,119,222
154,0.35000000000000003,235,102,223
155,0.4,250,101,203
156,0.45,265,96,180
157,0.5,298,90,156
158,0.55,321,68,157
159,0.6000000000000001,315,79,148
160,0.65,329,71,129
161,0.7000000000000001,371,54,106
162,0.75,387,45,90
163,0.8,409,32,79
164,0.8500000000000001,408,39,74
165,0.9,437,24,48
166,0.9500000000000001,437,21,50
167,1.0,468,14,23
168,0.0,119,162,299
169,0.05,134,152,290
170,0.1,143,140,291
171,0.15000000000000002,163,138,253
172,0.2,185,129,262
173,0.25,201,106,263
174,0.30000000000000004,239,111,215
175,0.35000000000000003,226,113,215
176,0.4,263,87,210
177,0.45,280,94,166
178,0.5,307,81,158
179,0.55,313,73,152
180,0.6000000000000001,332,65,137
181,0.65,350,61,123
182,0.7000000000000001,353,65,116
183,0.75,389,42,89
184,0.8,374,39,107
185,0.8500000000000001,403,39,74
186,0.9,424,25,65
187,0.9500000000000001,452,20,38
188,1.0,472,15,24
189,0.0,114,156,312
190,0.05,131,144,299
191,0.1,151,130,295
192,0.15000000000000002,148,145,267
193,0.2,177,124,254
194,0.25,206,125,237
195,0.30000000000000004,207,122,217
196,0.35000000000000003,230,107,208
197,0.4,269,98,188
198,0.45,262,97,175
199,0.5,279,83,189
200,0.55,338,57,148
201,0.6000000000000001,328,73,140
202,0.65,342,60,136
203,0.7000000000000001,358,43,131
204,0.75,371,50,100
205,0.8,395,39,90
206,0.8500000000000001,420,31,69
207,0.9,439,25,48
208,0.9500000000000001,430,24,55
209,1.0,473,8,24
210,0.0,123,157,306
211,0.05,138,149,294
212,0.1,162,128,286
213,0.15000000000000002,182,127,268
214,0.2,190,123,267
215,0.25,178,119,253
216,0.30000000000000004,201,123,241
217,0.35000000000000003,228,95,223
218,0.4,261,100,193
219,0.45,263,98,182
220,0.5,293,82,171
221,0.55,285,74,178
222,0.6000000000000001,318,70,146
223,0.65,350,56,127
224,0.7000000000000001,351,60,112
225,0.75,381,54,88
226,0.8,393,43,88
227,0.8500000000000001,417,37,64
228,0.9,430,27,54
229,0.9500000000000001,446,24,37
230,1.0,459,20,27
231,0.0,100,170,298
232,0.05,144,142,294
233,0.1,142,157,267
234,0.15000000000000002,170,139,261
235,0.2,170,142,246
236,0.25,187,138,227
237,0.30000000000000004,217,113,231
238,0.35000000000000003,244,91,217
239,0.4,260,86,206
240,0.45,271,91,186
241,0.5,294,73,191
242,0.55,304,78,157
243,0.6000000000000001,321,68,142
244,0.65,346,57,128
245,0.7000000000000001,370,52,113
246,0.75,391,45,91
247,0.8,397,39,90
248,0.8500000000000001,423,29,61
249,0.9,427,37,50
250,0.9500000000000001,451,14,50
251,1.0,465,15,27
252,0.0,132,135,327
253,0.05,128,144,304
254,0.1,146,136,298
255,0.15000000000000002,166,132,270
256,0.2,186,121,252
257,0.25,206,116,241
258,0.30000000000000004,220,118,211
259,0.35000000000000003,247,100,214
260,0.4,272,103,179
261,0.45,278,108,159
262,0.5,292,73,179
263,0.55,302,88,148
264,0.6000000000000001,334,76,127
265,0.65,359,60,114
266,0.7000000000000001,374,57,107
267,0.75,370,49,105
268,0.8,383,45,99
269,0.8500000000000001,418,36,62
270,0.9,446,22,46
271,0.9500000000000001,442,26,35
272,1.0,462,17,27
273,0.0,128,147,322
274,0.05,133,138,310
275,0.1,166,128,270
276,0.15000000000000002,178,122,274
277,0.2,179,119,270
278,0.25,199,135,223
279,0.30000000000000004,201,109,248
280,0.35000000000000003,242,108,198
281,0.4,253,100,188
