,alive,bh_ratio,dead,transient
0,122,0.0,136,325
1,164,0.05,130,297
2,158,0.1,139,274
3,167,0.15000000000000002,158,249
4,199,0.2,120,260
5,210,0.25,118,245
6,229,0.30000000000000004,117,220
7,263,0.35000000000000003,95,190
8,259,0.4,84,202
9,267,0.45,104,187
10,288,0.5,91,162
11,300,0.55,77,161
12,327,0.6000000000000001,51,157
13,346,0.65,67,117
14,359,0.7000000000000001,57,114
15,361,0.75,60,95
16,382,0.8,38,100
17,407,0.8500000000000001,28,84
18,425,0.9,33,55
19,448,0.9500000000000001,25,40
20,459,1.0,15,32
21,132,0.0,154,300
22,133,0.05,156,282
23,166,0.1,132,282
24,173,0.15000000000000002,120,266
25,196,0.2,119,252
26,198,0.25,121,224
27,194,0.30000000000000004,126,227
28,229,0.35000000000000003,108,214
29,274,0.4,79,218
30,279,0.45,81,192
31,297,0.5,81,173
32,317,0.55,75,150
33,312,0.6000000000000001,76,151
34,356,0.65,56,118
35,360,0.7000000000000001,57,115
36,377,0.75,54,97
37,398,0.8,47,84
38,413,0.8500000000000001,33,71
39,419,0.9,38,61
40,437,0.9500000000000001,32,39
41,461,1.0,15,36
42,115,0.0,160,303
43,139,0.05,148,296
44,151,0.1,136,287
45,163,0.15000000000000002,126,274
46,195,0.2,105,267
47,219,0.25,103,244
48,228,0.30000000000000004,115,218
49,238,0.35000000000000003,116,201
50,250,0.4,91,206
51,285,0.45,88,171
52,300,0.5,77,173
53,327,0.55,60,160
54,327,0.6000000000000001,77,132
55,331,0.65,59,149
56,362,0.7000000000000001,57,106
57,382,0.75,36,108
58,408,0.8,35,79
59,407,0.8500000000000001,42,71
60,426,0.9,30,55
61,451,0.9500000000000001,20,39
62,474,1.0,14,21
63,134,0.0,145,315
64,150,0.05,138,297
65,157,0.1,137,271
66,178,0.15000000000000002,149,244
67,179,0.2,129,259
68,210,0.25,105,241
69,235,0.30000000000000004,106,216
70,228,0.35000000000000003,117,219
71,254,0.4,90,204
72,276,0.45,99,170
73,275,0.5,88,178
74,317,0.55,81,144
75,325,0.6000000000000001,69,145
76,345,0.65,58,125
77,355,0.7000000000000001,71,113
78,367,0.75,53,107
79,418,0.8,32,75
80,409,0.8500000000000001,32,81
81,425,0.9,29,59
82,442,0.9500000000000001,22,47
83,460,1.0,12,39
84,99,0.0,186,281
85,139,0.05,149,278
86,153,0.1,155,257
87,160,0.15000000000000002,158,246
88,194,0.2,115,254
89,198,0.25,125,233
90,229,0.30000000000000004,112,226
91,225,0.35000000000000003,112,205
92,271,0.4,84,200
93,281,0.45,79,186
94,277,0.5,84,181
95,307,0.55,73,157
96,324,0.6000000000000001,68,147
97,339,0.65,62,144
98,360,0.7000000000000001,58,111
99,372,0.75,48,99
100,395,0.8,46,82
101,416,0.8500000000000001,35,73
102,434,0.9,28,57
103,438,0.9500000000000001,25,47
104,464,1.0,17,28
105,127,0.0,140,313
106,122,0.05,168,281
107,141,0.1,137,286
108,154,0.15000000000000002,147,260
109,180,0.2,136,242
110,199,0.25,132,229
111,243,0.30000000000000004,99,220
112,236,0.35000000000000003,121,193
113,231,0.4,102,217
114,264,0.45,102,178
115,286,0.5,81,181
116,316,0.55,73,152
117,312,0.6000000000000001,77,137
118,338,0.65,62,132
119,344,0.7000000000000001,72,123
120,381,0.75,47,92
121,402,0.8,44,84
122,401,0.8500000000000001,38,82
123,428,0.9,29,53
124,444,0.9500000000000001,21,50
125,462,1.0,14,35
126,126,0.0,148,311
127,135,0.05,127,310
128,143,0.1,152,278
129,189,0.15000000000000002,116,267
130,180,0.2,128,251
131,221,0.25,112,230
132,200,0.30000000000000004,102,246
133,246,0.35000000000000003,95,208
134,249,0.4,110,195
135,280,0.45,93,182
136,284,0.5,83,191
137,324,0.55,73,146
138,333,0.6000000000000001,61,145
139,344,0.65,56,129
140,380,0.7000000000000001,49,108
141,372,0.75,46,106
142,405,0.8,37,83
143,420,0.8500000000000001,29,73
144,433,0.9,31,55
145,452,0.9500000000000001,20,40
146,460,1.0,16,30
147,136,0.0,143,313
148,128,0.05,149,305
149,151,0.1,147,266
150,175,0.15000000000000002,142,257
151,173,0.2,137,246
152,205,0.25,119,237
153,217,0.30000000000000004,105,235
154,224,0.35000000000000003,115,211
155,273,0.4,85,202
156,280,0.45,77,195
157,298,0.5,89,137
158,314,0.55,78,145
159,332,0.6000000000000001,61,145
160,342,0.65,66,126
161,340,0.7000000000000001,61,122
162,369,0.75,46,111
163,406,0.8,39,71
164,418,0.8500000000000001,28,71
165,429,0.9,21,59
166,448,0.9500000000000001,21,43
167,458,1.0,16,37
168,95,0.0,158,311
169,133,0.05,154,285
170,155,0.1,136,281
171,153,0.15000000000000002,139,267
172,191,0.2,120,262
173,203,0.25,123,233
174,233,0.30000000000000004,110,215
175,221,0.35000000000000003,112,226
176,272,0.4,90,199
177,267,0.45,94,182
178,286,0.5,86,166
179,309,0.55,78,144
180,355,0.6000000000000001,56,129
181,353,0.65,48,128
182,368,0.7000000000000001,55,112
183,383,0.75,57,82
184,399,0.8,45,77
185,409,0.8500000000000001,39,68
186,439,0.9,26,48
187,454,0.9500000000000001,14,49
188,458,1.0,17,37
189,129,0.0,122,336
190,124,0.05,146,295
191,127,0.1,135,309
192,160,0.15000000000000002,134,265
193,187,0.2,124,255
194,194,0.25,123,247
195,215,0.30000000000000004,112,217
196,213,0.35000000000000003,122,211
197,259,0.4,90,211
198,281,0.45,85,190
199,297,0.5,84,165
200,317,0.55,68,151
201,316,0.6000000000000001,85,136
202,358,0.65,63,122
203,354,0.7000000000000001,65,115
204,389,0.75,45,92
205,385,0.8,53,82
206,427,0.8500000000000001,25,67
207,431,0.9,30,54
208,453,0.9500000000000001,14,46
209,455,1.0,19,36
210,123,0.0,134,326
211,126,0.05,169,277
212,148,0.1,150,269
213,172,0.15000000000000002,119,277
214,177,0.2,129,259
215,178,0.25,125,251
216,226,0.30000000000000004,116,223
217,246,0.35000000000000003,105,200
218,269,0.4,102,165
219,279,0.45,84,189
220,311,0.5,72,164
221,303,0.55,68,167
222,333,0.6000000000000001,74,131
223,349,0.65,67,105
224,355,0.7000000000000001,61,111
225,374,0.75,56,108
226,402,0.8,43,83
227,409,0.8500000000000001,34,72
228,435,0.9,31,47
229,458,0.9500000000000001,15,36
230,454,1.0,23,38
231,106,0.0,152,320
232,131,0.05,159,282
233,164,0.1,146,266
234,187,0.15000000000000002,135,250
235,205,0.2,122,244
236,225,0.25,111,224
237,238,0.30000000000000004,103,215
238,237,0.35000000000000003,102,212
239,255,0.4,103,192
240,276,0.45,94,181
241,268,0.5,92,179
242,324,0.55,67,146
243,318,0.6000000000000001,73,144
244,344,0.65,65,119
245,364,0.7000000000000001,43,119
246,379,0.75,40,106
247,385,0.8,47,91
248,404,0.8500000000000001,36,80
249,440,0.9,24,52
250,435,0.9500000000000001,34,41
251,470,1.0,12,27
252,126,0.0,156,306
253,136,0.05,146,288
254,159,0.1,152,253
255,168,0.15000000000000002,136,270
256,189,0.2,136,246
257,200,0.25,125,226
258,231,0.30000000000000004,115,215
259,231,0.35000000000000003,104,214
260,242,0.4,96,215
261,254,0.45,90,196
262,283,0.5,73,184
263,286,0.55,68,173
264,330,0.6000000000000001,77,124
265,338,0.65,59,140
266,369,0.7000000000000001,51,118
267,368,0.75,41,111
268,393,0.8,36,97
269,420,0.8500000000000001,35,64
270,437,0.9,20,57
271,460,0.9500000000000001,15,33
272,463,1.0,13,31
273,117,0.0,161,294
274,135,0.05,151,291
275,151,0.1,130,292
276,174,0.15000000000000002,131,279
277,182,0.2,121,263
278,210,0.25,127,233
279,209,0.30000000000000004,120,226
280,245,0.35000000000000003,103,212
281,261,0.4,102,196
282,284,0.45,80,182
283,295,0.5,90,155
284,303,0.55,81,157
285,327,0.6000000000000001,65,142
286,346,0.65,60,134
287,365,0.7000000000000001,61,102
288,358,0.75,57,107
289,401,0.8,41,81
290,402,0.8500000000000001,36,80
291,426,0.9,37,52
292,447,0.9500000000000001,21,41
293,469,1.0,11,27
294,105,0.0,153,319
295,135,0.05,142,299
296,129,0.1,154,279
297,159,0.15000000000000002,125,280
298,185,0.2,146,238
299,205,0.25,114,232
300,210,0.30000000000000004,121,224
301,254,0.35000000000000003,95,204
302,267,0.4,92,195
303,269,0.45,98,178
304,283,0.5,99,161
305,296,0.55,88,166
306,330,0.6000000000000001,66,134
307,327,0.65,80,122
308,355,0.7000000000000001,63,105
309,381,0.75,52,90
310,381,0.8,45,94
311,408,0.8500000000000001,47,62
312,408,0.9,33,78
313,444,0.9500000000000001,17,52
314,464,1.0,17,26
315,110,0.0,184,280
316,147,0.05,156,283
317,154,0.1,141,286
318,165,0.15000000000000002,130,271
319,182,0.2,110,276
320,211,0.25,118,239
321,242,0.30000000000000004,112,218
322,210,0.35000000000000003,116,205
323,265,0.4,99,202
324,282,0.45,88,180
325,292,0.5,67,179
326,325,0.55,71,136
327,323,0.6000000000000001,76,148
328,354,0.65,68,102
329,359,0.7000000000000001,53,126
330,374,0.75,47,104
331,401,0.8,33,92
332,422,0.8500000000000001,33,66
333,431,0.9,30,62
334,428,0.9500000000000001,19,71
335,471,1.0,10,26
336,137,0.0,141,314
337,136,0.05,154,276
338,155,0.1,121,291
339,158,0.15000000000000002,141,263
340,181,0.2,133,248
341,196,0.25,120,246
342,225,0.30000000000000004,114,220
343,238,0.35000000000000003,108,216
344,251,0.4,105,198
345,248,0.45,104,194
346,304,0.5,83,157
347,326,0.55,72,144
348,320,0.6000000000000001,66,144
349,333,0.65,69,131
350,373,0.7000000000000001,42,118
351,377,0.75,46,106
352,402,0.8,41,79
353,398,0.8500000000000001,42,82
354,420,0.9,34,63
355,469,0.9500000000000001,9,32
356,471,1.0,7,30
357,110,0.0,156,303
358,116,0.05,152,288
359,146,0.1,141,277
360,183,0.15000000000000002,125,271
361,195,0.2,112,259
362,197,0.25,130,235
363,220,0.30000000000000004,103,233
364,242,0.35000000000000003,109,210
365,278,0.4,77,194
366,260,0.45,90,196
367,276,0.5,93,174
368,305,0.55,89,138
369,326,0.6000000000000001,67,138
370,342,0.65,53,133
371,377,0.7000000000000001,48,104
372,371,0.75,57,90
373,398,0.8,39,87
374,405,0.8500000000000001,44,65
375,428,0.9,27,63
376,439,0.9500000000000001,21,49
377,464,1.0,14,26
378,117,0.0,153,308
379,140,0.05,148,297
380,175,0.1,147,265
381,180,0.15000000000000002,142,247
382,193,0.2,120,245
383,227,0.25,109,237
384,240,0.30000000000000004,87,242
385,230,0.35000000000000003,128,196
386,257,0.4,91,206
387,268,0.45,98,177
388,282,0.5,90,171
389,291,0.55,83,176
390,329,0.6000000000000001,89,120
391,363,0.65,46,117
392,354,0.7000000000000001,64,112
393,372,0.75,46,108
394,386,0.8,54,82
395,413,0.8500000000000001,34,74
396,438,0.9,28,47
397,459,0.9500000000000001,19,36
398,452,1.0,18,40
399,125,0.0,151,312
400,145,0.05,143,291
401,147,0.1,128,299
402,174,0.15000000000000002,130,266
403,181,0.2,118,267
404,194,0.25,122,244
405,227,0.30000000000000004,102,232
406,237,0.35000000000000003,101,218
407,290,0.4,83,183
408,276,0.45,83,186
409,300,0.5,88,169
