,alive,bh_ratio,dead,transient
0,106,0.0,158,309
1,132,0.05,173,259
2,169,0.1,129,276
3,166,0.15000000000000002,130,273
4,188,0.2,120,270
5,223,0.25,112,231
6,208,0.30000000000000004,120,228
7,232,0.35000000000000003,106,213
8,242,0.4,118,188
9,264,0.45,107,181
10,308,0.5,73,166
11,320,0.55,75,148
12,327,0.6000000000000001,69,146
13,337,0.65,71,124
14,351,0.7000000000000001,62,112
15,381,0.75,51,99
16,404,0.8,46,69
17,410,0.8500000000000001,42,59
18,428,0.9,26,59
19,457,0.9500000000000001,20,36
20,461,1.0,17,31
21,117,0.0,160,297
22,136,0.05,148,301
23,148,0.1,140,281
24,165,0.15000000000000002,135,274
25,177,0.2,114,281
26,202,0.25,119,244
27,229,0.30000000000000004,107,213
28,242,0.35000000000000003,99,215
29,257,0.4,105,190
30,274,0.45,85,180
31,290,0.5,77,177
32,309,0.55,71,162
33,306,0.6000000000000001,73,145
34,344,0.65,59,125
35,352,0.7000000000000001,55,116
36,378,0.75,40,114
37,391,0.8,51,90
38,419,0.8500000000000001,22,82
39,415,0.9,40,64
40,446,0.9500000000000001,23,47
41,472,1.0,10,28
42,110,0.0,149,314
43,129,0.05,144,302
44,173,0.1,145,273
45,168,0.15000000000000002,133,259
46,211,0.2,110,250
47,217,0.25,112,242
48,210,0.30000000000000004,105,232
49,255,0.35000000000000003,100,204
50,267,0.4,99,173
51,274,0.45,95,182
52,284,0.5,99,155
53,289,0.55,80,172
54,322,0.6000000000000001,71,142
55,326,0.65,66,137
56,368,0.7000000000000001,52,110
57,379,0.75,47,100
58,380,0.8,46,98
59,411,0.8500000000000001,35,74
60,424,0.9,29,65
61,441,0.9500000000000001,25,48
62,464,1.0,12,33
63,120,0.0,140,330
64,124,0.05,142,307
65,150,0.1,151,261
66,167,0.15000000000000002,139,260
67,192,0.2,125,245
68,194,0.25,109,255
69,226,0.30000000000000004,106,224
70,219,0.35000000000000003,130,192
71,267,0.4,95,197
72,246,0.45,115,186
73,298,0.5,86,150
74,300,0.55,78,171
75,344,0.6000000000000001,64,128
76,364,0.65,56,123
77,374,0.7000000000000001,44,111
78,392,0.75,48,94
79,387,0.8,54,77
80,412,0.8500000000000001,33,72
81,433,0.9,28,54
82,442,0.9500000000000001,19,52
83,467,1.0,10,30
84,106,0.0,161,306
85,133,0.05,134,310
86,154,0.1,140,275
87,192,0.15000000000000002,130,249
88,180,0.2,118,265
89,208,0.25,128,233
90,203,0.30000000000000004,119,227
91,244,0.35000000000000003,90,210
92,257,0.4,93,205
93,285,0.45,76,186
94,274,0.5,89,183
95,309,0.55,77,152
96,316,0.6000000000000001,60,165
97,350,0.65,63,115
98,354,0.7000000000000001,66,106
99,387,0.75,50,87
100,381,0.8,49,92
101,402,0.8500000000000001,37,77
102,422,0.9,36,60
103,430,0.9500000000000001,22,56
104,467,1.0,11,29
105,120,0.0,174,285
106,142,0.05,140,297
107,141,0.1,153,278
108,175,0.15000000000000002,134,260
109,189,0.2,125,253
110,190,0.25,128,243
111,211,0.30000000000000004,123,226
112,253,0.35000000000000003,109,195
113,255,0.4,96,198
114,272,0.45,88,194
115,304,0.5,66,173
116,327,0.55,63,152
117,326,0.6000000000000001,71,139
118,349,0.65,59,130
119,356,0.7000000000000001,55,113
120,394,0.75,50,73
121,390,0.8,45,90
122,409,0.8500000000000001,34,74
123,428,0.9,25,67
124,438,0.9500000000000001,26,42
125,454,1.0,19,38
126,124,0.0,152,308
127,143,0.05,138,304
128,140,0.1,137,298
129,154,0.15000000000000002,127,272
130,193,0.2,136,225
131,206,0.25,126,236
132,206,0.30000000000000004,125,225
133,242,0.35000000000000003,108,204
134,260,0.4,98,185
135,270,0.45,105,177
136,291,0.5,89,172
137,315,0.55,72,160
138,330,0.6000000000000001,78,122
139,345,0.65,65,132
140,338,0.7000000000000001,70,123
141,368,0.75,65,89
142,386,0.8,36,107
143,427,0.8500000000000001,32,55
144,432,0.9,22,57
145,429,0.9500000000000001,26,55
146,451,1.0,23,36
147,116,0.0,149,310
148,131,0.05,137,309
149,159,0.1,146,275
150,162,0.15000000000000002,136,263
151,209,0.2,118,238
152,194,0.25,111,250
153,240,0.30000000000000004,108,205
154,237,0.35000000000000003,115,195
155,250,0.4,113,172
156,282,0.45,87,190
157,277,0.5,86,172
158,302,0.55,90,142
159,326,0.6000000000000001,69,138
160,366,0.65,56,108
161,364,0.7000000000000001,62,102
162,389,0.75,47,91
163,410,0.8,42,67
164,415,0.8500000000000001,31,75
165,436,0.9,28,46
166,443,0.9500000000000001,19,48
167,474,1.0,8,26
168,130,0.0,160,300
169,134,0.05,145,300
170,152,0.1,147,266
171,174,0.15000000000000002,129,267
172,190,0.2,134,244
173,190,0.25,122,254
174,208,0.30000000000000004,132,215
175,261,0.35000000000000003,93,202
176,239,0.4,99,224
177,274,0.45,95,183
178,285,0.5,77,180
179,298,0.55,81,154
180,328,0.6000000000000001,78,132
181,348,0.65,64,114
182,350,0.7000000000000001,60,116
183,375,0.75,47,111
184,387,0.8,48,86
185,424,0.8500000000000001,33,66
186,431,0.9,27,61
187,457,0.9500000000000001,15,43
188,467,1.0,12,28
189,110,0.0,156,304
190,140,0.05,154,283
191,142,0.1,151,278
192,152,0.15000000000000002,140,263
193,188,0.2,124,260
194,202,0.25,120,243
195,206,0.30000000000000004,115,232
196,255,0.35000000000000003,103,195
197,253,0.4,86,212
198,253,0.45,101,181
199,289,0.5,80,181
200,316,0.55,68,162
201,339,0.6000000000000001,55,146
202,332,0.65,70,122
203,369,0.7000000000000001,68,86
204,366,0.75,59,104
205,407,0.8,44,66
206,410,0.8500000000000001,33,72
207,430,0.9,26,60
208,448,0.9500000000000001,24,33
209,476,1.0,9,19
210,117,0.0,166,306
211,127,0.05,154,300
212,142,0.1,155,280
213,168,0.15000000000000002,130,270
214,185,0.2,115,277
215,210,0.25,126,215
