,alive,bh_ratio,dead,transient
0,126,0.0,150,306
1,128,0.05,151,285
2,147,0.1,126,288
3,170,0.15000000000000002,148,251
4,177,0.2,138,252
5,198,0.25,130,232
6,229,0.30000000000000004,111,217
7,245,0.35000000000000003,102,197
8,233,0.4,105,208
9,272,0.45,93,179
10,285,0.5,89,162
11,306,0.55,77,157
12,313,0.6000000000000001,66,153
13,344,0.65,61,126
14,362,0.7000000000000001,49,125
15,375,0.75,53,105
16,411,0.8,36,85
17,424,0.8500000000000001,33,60
18,421,0.9,30,64
19,445,0.9500000000000001,22,43
20,451,1.0,24,34
21,118,0.0,162,297
22,120,0.05,153,298
23,159,0.1,133,289
24,178,0.15000000000000002,133,263
25,185,0.2,121,257
26,179,0.25,131,236
27,213,0.30000000000000004,114,232
28,249,0.35000000000000003,105,194
29,248,0.4,103,192
30,260,0.45,100,185
31,302,0.5,74,172
32,311,0.55,79,142
33,314,0.6000000000000001,71,155
34,337,0.65,67,125
35,359,0.7000000000000001,60,106
36,375,0.75,50,99
37,395,0.8,42,78
38,413,0.8500000000000001,33,73
39,430,0.9,29,54
40,446,0.9500000000000001,15,51
41,465,1.0,17,25
42,128,0.0,162,292
43,142,0.05,122,313
44,142,0.1,153,266
45,182,0.15000000000000002,122,262
46,202,0.2,130,238
47,206,0.25,126,227
48,212,0.30000000000000004,108,231
49,247,0.35000000000000003,106,203
50,249,0.4,99,202
51,255,0.45,95,195
52,290,0.5,87,155
53,311,0.55,61,168
54,347,0.6000000000000001,65,119
55,355,0.65,52,126
56,367,0.7000000000000001,58,96
57,377,0.75,50,93
58,402,0.8,36,84
59,421,0.8500000000000001,37,54
60,435,0.9,19,58
61,435,0.9500000000000001,18,57
62,464,1.0,13,35
63,115,0.0,166,297
64,167,0.05,140,284
65,163,0.1,147,250
66,165,0.15000000000000002,128,283
67,185,0.2,129,246
68,220,0.25,120,227
69,203,0.30000000000000004,107,243
70,240,0.35000000000000003,91,218
71,257,0.4,102,182
72,275,0.45,91,195
73,262,0.5,98,179
74,325,0.55,56,167
75,340,0.6000000000000001,67,118
76,331,0.65,59,137
77,347,0.7000000000000001,71,107
78,376,0.75,50,96
79,387,0.8,44,89
80,419,0.8500000000000001,28,76
81,425,0.9,22,68
82,439,0.9500000000000001,22,55
83,465,1.0,13,31
84,121,0.0,150,317
85,129,0.05,147,296
86,155,0.1,153,270
87,154,0.15000000000000002,142,273
88,187,0.2,110,274
89,215,0.25,104,245
90,200,0.30000000000000004,122,230
91,242,0.35000000000000003,106,208
92,259,0.4,96,204
93,256,0.45,101,199
94,277,0.5,88,173
95,311,0.55,88,146
96,329,0.6000000000000001,72,128
97,335,0.65,69,128
98,375,0.7000000000000001,43,115
99,371,0.75,43,108
100,418,0.8,34,73
101,410,0.8500000000000001,39,66
102,432,0.9,23,57
103,451,0.9500000000000001,21,39
104,451,1.0,23,35
105,115,0.0,164,305
106,131,0.05,147,296
107,145,0.1,139,294
108,155,0.15000000000000002,142,265
109,183,0.2,129,253
110,209,0.25,126,229
111,226,0.30000000000000004,117,216
112,217,0.35000000000000003,129,202
113,249,0.4,96,199
114,260,0.45,113,165
115,311,0.5,91,151
116,311,0.55,72,151
117,350,0.6000000000000001,70,106
118,357,0.65,55,122
119,366,0.7000000000000001,61,105
120,371,0.75,59,96
121,396,0.8,44,87
122,406,0.8500000000000001,37,80
123,430,0.9,27,53
124,457,0.9500000000000001,19,38
125,473,1.0,15,20
