,alive,bh_ratio,dead,transient
0,211,0.0,129,224
1,196,0.05,130,240
2,212,0.1,125,220
3,232,0.15000000000000002,118,224
4,245,0.2,112,197
5,275,0.25,81,201
6,284,0.30000000000000004,84,186
7,288,0.35000000000000003,88,158
8,301,0.4,78,172
9,312,0.45,88,135
10,340,0.5,76,114
11,352,0.55,65,122
12,333,0.6000000000000001,74,129
13,357,0.65,52,122
14,365,0.7000000000000001,54,110
15,380,0.75,41,97
16,404,0.8,41,78
17,418,0.8500000000000001,32,61
18,441,0.9,15,62
19,438,0.9500000000000001,28,44
20,469,1.0,15,25
21,195,0.0,133,214
22,196,0.05,116,242
23,222,0.1,110,230
24,242,0.15000000000000002,114,197
25,256,0.2,100,193
26,273,0.25,90,181
27,278,0.30000000000000004,96,171
28,282,0.35000000000000003,88,171
29,301,0.4,89,145
30,309,0.45,78,143
31,318,0.5,73,148
32,360,0.55,52,121
33,343,0.6000000000000001,62,118
34,360,0.65,64,99
35,377,0.7000000000000001,57,91
36,386,0.75,56,85
37,405,0.8,40,73
38,416,0.8500000000000001,32,66
39,432,0.9,29,58
40,445,0.9500000000000001,21,42
41,475,1.0,9,23
42,189,0.0,119,260
43,204,0.05,115,248
44,220,0.1,107,237
45,245,0.15000000000000002,110,197
46,253,0.2,98,190
47,236,0.25,111,198
48,260,0.30000000000000004,100,183
49,283,0.35000000000000003,87,173
50,310,0.4,80,151
51,323,0.45,78,131
52,317,0.5,70,147
53,346,0.55,61,130
54,362,0.6000000000000001,54,122
55,348,0.65,64,115
56,378,0.7000000000000001,43,98
57,394,0.75,54,76
58,420,0.8,32,61
59,420,0.8500000000000001,39,56
60,422,0.9,29,61
61,440,0.9500000000000001,19,50
62,452,1.0,22,31
63,207,0.0,114,246
64,215,0.05,102,258
65,212,0.1,123,215
66,237,0.15000000000000002,115,208
67,258,0.2,115,174
68,264,0.25,110,196
69,250,0.30000000000000004,86,211
70,282,0.35000000000000003,81,164
71,317,0.4,75,158
72,304,0.45,75,160
73,337,0.5,69,130
74,339,0.55,65,127
75,355,0.6000000000000001,54,132
76,348,0.65,51,131
77,362,0.7000000000000001,57,109
78,398,0.75,34,93
79,389,0.8,44,81
80,422,0.8500000000000001,44,47
81,436,0.9,22,49
82,437,0.9500000000000001,23,46
83,453,1.0,22,37
84,177,0.0,130,250
85,219,0.05,125,218
86,199,0.1,131,233
87,233,0.15000000000000002,121,202
88,252,0.2,80,225
89,242,0.25,105,207
90,276,0.30000000000000004,96,174
91,289,0.35000000000000003,73,186
92,302,0.4,82,156
93,318,0.45,63,161
94,323,0.5,70,135
95,326,0.55,73,131
96,356,0.6000000000000001,53,127
97,365,0.65,63,101
98,391,0.7000000000000001,49,88
99,398,0.75,46,83
100,409,0.8,34,74
101,419,0.8500000000000001,30,68
102,423,0.9,35,59
103,449,0.9500000000000001,20,50
104,462,1.0,15,34
105,187,0.0,115,256
106,228,0.05,104,226
107,223,0.1,122,213
108,221,0.15000000000000002,119,209
109,248,0.2,118,200
110,270,0.25,85,188
111,297,0.30000000000000004,105,147
112,281,0.35000000000000003,83,195
113,295,0.4,81,163
114,317,0.45,75,157
115,341,0.5,60,137
116,341,0.55,71,118
117,361,0.6000000000000001,56,106
118,375,0.65,53,97
119,373,0.7000000000000001,55,97
120,390,0.75,48,89
121,402,0.8,32,88
122,420,0.8500000000000001,38,55
123,416,0.9,31,63
124,442,0.9500000000000001,19,48
125,461,1.0,13,35
126,196,0.0,109,250
127,233,0.05,115,210
128,225,0.1,110,227
129,238,0.15000000000000002,110,209
130,240,0.2,91,224
131,246,0.25,98,201
132,268,0.30000000000000004,101,176
133,281,0.35000000000000003,86,170
134,299,0.4,81,168
135,300,0.45,81,165
136,331,0.5,59,144
137,346,0.55,66,124
138,367,0.6000000000000001,59,106
139,359,0.65,52,112
140,388,0.7000000000000001,47,91
141,384,0.75,45,89
142,409,0.8,26,87
143,430,0.8500000000000001,32,54
144,432,0.9,26,53
145,443,0.9500000000000001,20,55
146,453,1.0,24,33
147,158,0.0,151,244
148,215,0.05,115,230
149,228,0.1,119,217
150,237,0.15000000000000002,106,203
151,230,0.2,118,192
152,256,0.25,108,184
153,286,0.30000000000000004,89,176
154,288,0.35000000000000003,87,167
155,319,0.4,75,145
156,338,0.45,60,155
157,336,0.5,61,128
158,369,0.55,52,109
159,347,0.6000000000000001,77,108
160,367,0.65,55,113
161,366,0.7000000000000001,53,104
162,402,0.75,37,85
163,403,0.8,37,86
164,432,0.8500000000000001,30,53
165,451,0.9,22,39
166,435,0.9500000000000001,26,55
167,469,1.0,13,31
168,178,0.0,131,244
169,205,0.05,105,252
170,230,0.1,113,225
171,236,0.15000000000000002,118,206
172,259,0.2,106,200
173,283,0.25,92,175
174,282,0.30000000000000004,81,193
175,288,0.35000000000000003,96,167
176,298,0.4,71,170
177,305,0.45,82,152
178,330,0.5,62,148
179,345,0.55,63,130
180,357,0.6000000000000001,49,119
181,355,0.65,57,110
182,360,0.7000000000000001,46,114
183,399,0.75,45,78
184,411,0.8,45,70
185,438,0.8500000000000001,32,43
186,428,0.9,22,66
187,432,0.9500000000000001,33,48
188,458,1.0,18,34
189,178,0.0,133,250
190,195,0.05,128,220
191,210,0.1,114,251
192,242,0.15000000000000002,107,212
193,244,0.2,100,197
194,259,0.25,101,197
195,281,0.30000000000000004,98,165
196,268,0.35000000000000003,76,196
197,298,0.4,71,171
198,318,0.45,66,160
199,338,0.5,57,136
200,350,0.55,64,122
201,355,0.6000000000000001,55,119
202,368,0.65,51,105
203,398,0.7000000000000001,40,77
204,403,0.75,49,71
205,400,0.8,37,80
206,422,0.8500000000000001,31,62
207,445,0.9,20,60
208,441,0.9500000000000001,22,47
209,447,1.0,23,38
210,202,0.0,126,242
211,198,0.05,118,250
212,221,0.1,119,213
213,249,0.15000000000000002,98,227
214,243,0.2,104,212
215,252,0.25,103,193
216,250,0.30000000000000004,95,206
217,282,0.35000000000000003,80,189
218,288,0.4,85,168
219,304,0.45,91,132
220,316,0.5,78,141
221,343,0.55,72,116
222,346,0.6000000000000001,71,114
223,361,0.65,57,108
224,376,0.7000000000000001,52,106
225,405,0.75,36,81
226,400,0.8,42,74
227,424,0.8500000000000001,29,66
228,442,0.9,23,50
229,444,0.9500000000000001,21,41
230,451,1.0,20,37
231,197,0.0,112,245
232,207,0.05,116,239
233,220,0.1,105,230
234,220,0.15000000000000002,126,221
235,241,0.2,106,200
236,263,0.25,107,170
237,288,0.30000000000000004,86,174
238,287,0.35000000000000003,88,165
239,311,0.4,88,141
240,329,0.45,66,143
241,327,0.5,72,136
242,343,0.55,65,127
243,344,0.6000000000000001,59,127
244,357,0.65,55,114
245,384,0.7000000000000001,54,96
246,398,0.75,43,79
247,403,0.8,45,70
248,438,0.8500000000000001,20,62
249,434,0.9,31,47
250,442,0.9500000000000001,24,44
251,459,1.0,21,28
252,190,0.0,125,251
253,210,0.05,119,236
254,204,0.1,99,261
255,225,0.15000000000000002,102,225
256,240,0.2,114,199
257,239,0.25,116,191
258,277,0.30000000000000004,98,170
259,282,0.35000000000000003,93,169
260,303,0.4,89,148
261,291,0.45,86,150
262,331,0.5,67,140
263,333,0.55,69,132
264,351,0.6000000000000001,69,117
265,362,0.65,63,108
266,386,0.7000000000000001,60,73
267,397,0.75,37,95
268,415,0.8,36,76
269,425,0.8500000000000001,32,56
270,430,0.9,27,53
271,450,0.9500000000000001,15,41
272,456,1.0,18,36
273,191,0.0,131,240
274,210,0.05,115,227
275,223,0.1,132,196
276,233,0.15000000000000002,108,204
277,248,0.2,99,209
278,273,0.25,96,176
279,286,0.30000000000000004,106,150
280,279,0.35000000000000003,78,199
281,310,0.4,73,163
282,312,0.45,81,139
283,323,0.5,75,134
284,330,0.55,80,124
285,351,0.6000000000000001,60,118
286,362,0.65,51,110
287,377,0.7000000000000001,51,96
288,390,0.75,45,83
289,396,0.8,39,79
290,435,0.8500000000000001,26,53
291,423,0.9,36,55
292,453,0.9500000000000001,23,40
293,453,1.0,21,34
294,182,0.0,132,253
295,215,0.05,137,207
296,224,0.1,114,210
297,226,0.15000000000000002,115,217
298,255,0.2,97,200
299,249,0.25,100,196
300,285,0.30000000000000004,87,181
301,274,0.35000000000000003,74,197
302,305,0.4,79,162
303,301,0.45,93,142
304,326,0.5,73,130
305,320,0.55,71,139
306,348,0.6000000000000001,58,118
307,372,0.65,47,99
308,372,0.7000000000000001,43,102
309,383,0.75,50,94
310,408,0.8,37,75
311,404,0.8500000000000001,33,82
312,438,0.9,29,47
313,435,0.9500000000000001,34,50
314,462,1.0,17,26
315,206,0.0,134,229
316,208,0.05,111,238
317,207,0.1,114,238
318,246,0.15000000000000002,103,200
319,234,0.2,130,181
320,266,0.25,104,167
321,269,0.30000000000000004,89,183
322,280,0.35000000000000003,91,176
323,297,0.4,89,142
324,288,0.45,90,155
325,328,0.5,75,127
326,337,0.55,72,116
327,360,0.6000000000000001,54,118
328,367,0.65,53,114
329,381,0.7000000000000001,48,103
330,379,0.75,49,95
331,409,0.8,42,63
332,427,0.8500000000000001,25,65
333,429,0.9,17,62
334,455,0.9500000000000001,16,37
335,463,1.0,13,32
336,195,0.0,132,219
337,192,0.05,124,224
338,235,0.1,107,219
339,230,0.15000000000000002,115,208
340,261,0.2,107,184
341,256,0.25,104,190
342,257,0.30000000000000004,100,188
343,292,0.35000000000000003,84,179
344,293,0.4,68,183
345,329,0.45,71,132
346,320,0.5,82,138
347,340,0.55,65,124
348,354,0.6000000000000001,55,116
349,368,0.65,49,119
350,385,0.7000000000000001,43,101
351,399,0.75,45,78
352,397,0.8,49,76
353,426,0.8500000000000001,24,70
354,436,0.9,25,52
355,443,0.9500000000000001,21,43
356,441,1.0,21,46
357,203,0.0,126,229
358,215,0.05,112,228
359,202,0.1,117,230
360,255,0.15000000000000002,97,210
361,241,0.2,103,211
362,260,0.25,99,186
363,283,0.30000000000000004,86,182
364,262,0.35000000000000003,96,185
365,306,0.4,75,154
366,287,0.45,83,167
367,324,0.5,70,138
368,349,0.55,60,128
369,354,0.6000000000000001,53,127
370,377,0.65,47,104
371,384,0.7000000000000001,40,96
372,400,0.75,39,86
373,410,0.8,37,77
374,423,0.8500000000000001,33,64
375,436,0.9,20,58
376,447,0.9500000000000001,25,35
377,457,1.0,21,32
378,201,0.0,131,234
379,203,0.05,136,213
380,203,0.1,122,231
381,239,0.15000000000000002,111,193
382,248,0.2,93,203
383,272,0.25,110,173
384,265,0.30000000000000004,92,184
385,293,0.35000000000000003,89,171
386,297,0.4,78,159
387,299,0.45,92,158
388,335,0.5,84,122
389,346,0.55,67,118
390,353,0.6000000000000001,51,123
391,359,0.65,59,96
392,381,0.7000000000000001,58,90
393,396,0.75,45,85
394,405,0.8,36,87
395,426,0.8500000000000001,35,50
396,432,0.9,27,52
397,453,0.9500000000000001,19,36
398,471,1.0,11,25
399,204,0.0,133,231
400,189,0.05,117,258
401,213,0.1,125,209
402,237,0.15000000000000002,99,204
403,263,0.2,103,188
404,275,0.25,86,201
405,281,0.30000000000000004,92,168
406,284,0.35000000000000003,71,183
407,289,0.4,85,166
408,318,0.45,75,157
409,332,0.5,63,140
410,330,0.55,56,150
411,361,0.6000000000000001,56,113
412,365,0.65,49,110
413,383,0.7000000000000001,49,91
414,398,0.75,36,83
415,408,0.8,38,76
416,401,0.8500000000000001,40,73
417,431,0.9,29,53
418,440,0.9500000000000001,22,47
419,464,1.0,12,30
420,183,0.0,117,256
421,227,0.05,110,228
422,219,0.1,103,235
423,226,0.15000000000000002,121,206
424,253,0.2,92,204
425,274,0.25,88,186
426,266,0.30000000000000004,94,195
427,276,0.35000000000000003,94,175
428,300,0.4,77,171
429,333,0.45,62,141
430,323,0.5,69,138
431,355,0.55,58,130
432,348,0.6000000000000001,55,133
