,alive,bh_ratio,dead,transient
0,209,0.0,125,228
1,196,0.05,129,231
2,216,0.1,123,216
3,247,0.15000000000000002,108,205
4,236,0.2,104,209
5,257,0.25,92,210
6,280,0.30000000000000004,89,182
7,303,0.35000000000000003,73,178
8,296,0.4,84,162
9,315,0.45,70,152
10,319,0.5,78,136
11,340,0.55,62,124
12,366,0.6000000000000001,52,121
13,371,0.65,51,104
14,363,0.7000000000000001,53,105
15,391,0.75,45,87
16,392,0.8,48,85
17,414,0.8500000000000001,36,68
18,435,0.9,26,52
19,438,0.9500000000000001,24,51
20,460,1.0,21,22
21,202,0.0,108,269
22,217,0.05,115,225
23,219,0.1,100,236
24,231,0.15000000000000002,102,224
25,245,0.2,103,198
26,266,0.25,97,192
27,265,0.30000000000000004,86,198
28,284,0.35000000000000003,89,164
29,298,0.4,76,168
30,328,0.45,73,143
31,324,0.5,72,137
32,334,0.55,61,130
33,359,0.6000000000000001,64,123
34,362,0.65,62,111
35,383,0.7000000000000001,41,91
36,403,0.75,37,88
37,411,0.8,34,75
38,422,0.8500000000000001,28,68
39,421,0.9,32,61
40,444,0.9500000000000001,20,44
41,451,1.0,29,31
42,200,0.0,120,242
43,221,0.05,109,227
44,221,0.1,100,235
45,232,0.15000000000000002,110,200
46,246,0.2,97,197
47,256,0.25,94,192
48,269,0.30000000000000004,109,166
49,284,0.35000000000000003,91,184
50,291,0.4,79,165
51,312,0.45,74,156
52,309,0.5,75,159
53,345,0.55,71,122
54,346,0.6000000000000001,64,121
55,365,0.65,53,100
56,367,0.7000000000000001,58,98
57,387,0.75,40,98
58,394,0.8,48,72
59,428,0.8500000000000001,25,68
60,441,0.9,21,52
61,454,0.9500000000000001,22,31
62,460,1.0,17,28
63,215,0.0,119,226
64,215,0.05,135,219
65,221,0.1,102,227
66,222,0.15000000000000002,124,206
67,232,0.2,94,233
68,276,0.25,94,174
69,269,0.30000000000000004,91,183
70,305,0.35000000000000003,67,176
71,304,0.4,89,155
72,322,0.45,70,135
73,308,0.5,72,159
74,339,0.55,49,141
75,361,0.6000000000000001,49,128
76,384,0.65,50,91
77,395,0.7000000000000001,46,86
78,390,0.75,41,107
79,399,0.8,33,87
