,bh_ratio,alive,dead,transient
0,0.0,185,130,237
1,0.05,225,109,227
2,0.1,215,99,245
3,0.15000000000000002,232,117,198
4,0.2,239,103,202
5,0.25,258,97,201
6,0.30000000000000004,263,91,193
7,0.35000000000000003,271,92,169
8,0.4,302,91,147
9,0.45,314,74,149
10,0.5,339,62,134
11,0.55,339,75,113
12,0.6000000000000001,360,59,113
13,0.65,389,45,97
14,0.7000000000000001,379,56,95
15,0.75,393,46,90
16,0.8,422,36,65
17,0.8500000000000001,431,31,48
18,0.9,440,27,50
19,0.9500000000000001,444,24,46
20,1.0,461,15,30
21,0.0,196,118,254
22,0.05,206,133,216
23,0.1,219,119,224
24,0.15000000000000002,231,113,202
25,0.2,245,101,202
26,0.25,245,95,201
27,0.30000000000000004,268,103,171
28,0.35000000000000003,281,98,170
29,0.4,284,73,183
30,0.45,302,83,144
31,0.5,326,68,139
32,0.55,350,60,127
33,0.6000000000000001,370,56,113
34,0.65,360,64,103
35,0.7000000000000001,384,46,92
36,0.75,385,42,88
37,0.8,382,45,91
38,0.8500000000000001,418,37,63
39,0.9,446,26,42
40,0.9500000000000001,440,26,40
41,1.0,466,14,28
42,0.0,193,134,229
43,0.05,225,116,227
44,0.1,204,128,221
45,0.15000000000000002,242,115,202
46,0.2,260,98,198
47,0.25,266,93,181
48,0.30000000000000004,260,105,165
49,0.35000000000000003,273,91,166
50,0.4,320,78,144
51,0.45,321,69,143
52,0.5,326,73,139
53,0.55,351,61,131
54,0.6000000000000001,343,65,121
55,0.65,362,52,119
56,0.7000000000000001,370,49,103
57,0.75,404,37,83
58,0.8,409,41,72
59,0.8500000000000001,416,30,72
60,0.9,427,33,52
61,0.9500000000000001,428,24,59
62,1.0,458,15,34
63,0.0,182,142,238
64,0.05,216,128,220
65,0.1,217,121,226
66,0.15000000000000002,228,99,219
67,0.2,219,99,222
68,0.25,256,108,183
69,0.30000000000000004,261,105,175
70,0.35000000000000003,284,91,174
71,0.4,285,88,176
72,0.45,302,74,164
73,0.5,335,62,145
74,0.55,343,72,117
75,0.6000000000000001,348,54,137
76,0.65,375,47,112
77,0.7000000000000001,381,48,92
78,0.75,384,49,88
79,0.8,405,43,76
80,0.8500000000000001,427,30,58
81,0.9,445,25,47
82,0.9500000000000001,451,21,33
83,1.0,458,22,28
84,0.0,191,133,241
85,0.05,193,131,236
86,0.1,212,122,222
87,0.15000000000000002,241,97,219
88,0.2,269,98,195
89,0.25,263,105,185
90,0.30000000000000004,275,85,184
91,0.35000000000000003,291,77,190
92,0.4,324,71,149
93,0.45,315,74,143
94,0.5,329,62,140
95,0.55,350,75,106
96,0.6000000000000001,349,50,133
97,0.65,361,63,108
98,0.7000000000000001,385,51,98
99,0.75,398,40,77
100,0.8,396,43,83
101,0.8500000000000001,425,28,57
102,0.9,429,32,52
103,0.9500000000000001,445,18,52
104,1.0,461,13,32
105,0.0,202,122,226
106,0.05,216,115,229
107,0.1,200,110,240
108,0.15000000000000002,237,108,208
109,0.2,257,112,180
110,0.25,248,111,185
111,0.30000000000000004,275,91,195
112,0.35000000000000003,272,100,173
113,0.4,300,80,161
114,0.45,307,68,160
115,0.5,344,55,133
116,0.55,344,63,130
117,0.6000000000000001,355,44,132
118,0.65,363,51,122
119,0.7000000000000001,379,51,93
120,0.75,392,38,82
121,0.8,398,38,89
122,0.8500000000000001,420,38,62
123,0.9,436,32,46
124,0.9500000000000001,445,26,42
125,1.0,448,21,43
126,0.0,187,124,245
127,0.05,216,111,232
128,0.1,249,101,217
129,0.15000000000000002,238,91,236
130,0.2,261,103,183
131,0.25,268,86,204
132,0.30000000000000004,264,91,188
133,0.35000000000000003,285,72,184
134,0.4,309,75,164
135,0.45,321,70,149
136,0.5,329,74,133
137,0.55,346,68,122
138,0.6000000000000001,343,54,132
139,0.65,356,71,99
140,0.7000000000000001,362,65,96
141,0.75,381,40,103
142,0.8,401,37,80
143,0.8500000000000001,433,23,59
144,0.9,434,24,57
145,0.9500000000000001,448,22,41
146,1.0,461,16,28
147,0.0,203,116,246
148,0.05,198,132,222
149,0.1,233,110,222
150,0.15000000000000002,222,121,190
151,0.2,239,103,218
152,0.25,269,104,177
153,0.30000000000000004,293,74,188
154,0.35000000000000003,283,91,175
155,0.4,295,91,154
156,0.45,302,78,142
157,0.5,341,65,137
158,0.55,339,68,128
159,0.6000000000000001,354,51,126
160,0.65,375,48,98
161,0.7000000000000001,380,57,84
162,0.75,380,48,95
163,0.8,402,45,73
164,0.8500000000000001,426,34,56
165,0.9,435,27,52
166,0.9500000000000001,438,22,53
167,1.0,459,13,35
168,0.0,206,117,242
169,0.05,188,124,237
170,0.1,213,112,219
171,0.15000000000000002,220,128,198
172,0.2,249,95,210
173,0.25,257,88,206
174,0.30000000000000004,262,87,186
175,0.35000000000000003,307,86,156
176,0.4,293,72,171
177,0.45,305,75,159
178,0.5,340,57,138
179,0.55,352,64,126
180,0.6000000000000001,373,46,111
181,0.65,351,50,127
182,0.7000000000000001,374,44,106
183,0.75,401,45,84
184,0.8,383,51,96
185,0.8500000000000001,406,35,70
186,0.9,412,39,62
187,0.9500000000000001,444,22,45
188,1.0,455,13,44
189,0.0,211,109,249
190,0.05,204,106,250
