,alive,bh_ratio,dead,transient
0,214,0.0,124,208
1,215,0.05,111,243
2,218,0.1,129,213
3,225,0.15000000000000002,114,210
4,255,0.2,93,200
5,259,0.25,94,188
6,282,0.30000000000000004,98,168
7,283,0.35000000000000003,98,156
8,316,0.4,76,141
9,321,0.45,80,134
10,322,0.5,64,145
11,335,0.55,70,128
12,345,0.6000000000000001,59,123
13,377,0.65,57,91
14,372,0.7000000000000001,54,97
15,383,0.75,42,102
16,397,0.8,30,103
17,420,0.8500000000000001,31,66
18,438,0.9,28,54
19,439,0.9500000000000001,23,46
20,459,1.0,14,36
21,190,0.0,132,240
22,205,0.05,111,244
23,216,0.1,113,227
24,255,0.15000000000000002,101,206
25,241,0.2,97,206
26,286,0.25,89,168
27,260,0.30000000000000004,93,190
28,290,0.35000000000000003,81,181
29,292,0.4,79,174
30,303,0.45,76,148
31,327,0.5,81,132
32,360,0.55,53,119
33,365,0.6000000000000001,52,114
34,362,0.65,59,96
35,384,0.7000000000000001,49,86
36,375,0.75,47,101
37,408,0.8,38,72
38,415,0.8500000000000001,36,68
39,438,0.9,35,44
40,441,0.9500000000000001,26,47
41,444,1.0,29,35
42,205,0.0,116,254
43,214,0.05,111,238
44,229,0.1,111,229
45,235,0.15000000000000002,93,209
46,254,0.2,105,195
47,253,0.25,104,200
48,250,0.30000000000000004,109,186
49,283,0.35000000000000003,87,168
50,309,0.4,72,151
51,315,0.45,78,158
52,338,0.5,64,127
53,340,0.55,60,138
54,360,0.6000000000000001,60,113
55,350,0.65,62,113
56,392,0.7000000000000001,43,91
57,389,0.75,49,81
58,402,0.8,41,78
59,408,0.8500000000000001,27,80
60,421,0.9,32,60
61,448,0.9500000000000001,17,52
62,465,1.0,10,39
63,186,0.0,133,240
64,213,0.05,113,230
65,210,0.1,118,237
66,229,0.15000000000000002,101,215
67,268,0.2,88,191
68,271,0.25,105,171
69,295,0.30000000000000004,82,165
70,299,0.35000000000000003,90,159
71,300,0.4,83,156
72,309,0.45,89,139
73,343,0.5,58,136
74,345,0.55,54,138
75,355,0.6000000000000001,72,110
76,367,0.65,67,96
77,397,0.7000000000000001,47,80
78,389,0.75,52,76
79,411,0.8,35,79
80,414,0.8500000000000001,33,71
81,435,0.9,22,62
82,448,0.9500000000000001,23,42
83,468,1.0,12,30
84,201,0.0,127,239
85,204,0.05,125,228
86,215,0.1,122,215
87,242,0.15000000000000002,101,206
88,260,0.2,96,201
89,262,0.25,96,195
90,261,0.30000000000000004,99,172
91,308,0.35000000000000003,63,177
92,301,0.4,82,169
93,316,0.45,74,140
94,314,0.5,84,140
95,347,0.55,64,119
96,359,0.6000000000000001,68,118
97,380,0.65,52,92
98,367,0.7000000000000001,64,95
99,407,0.75,29,86
100,405,0.8,49,62
101,425,0.8500000000000001,31,57
102,442,0.9,27,48
103,443,0.9500000000000001,22,42
104,456,1.0,18,36
105,190,0.0,134,243
106,215,0.05,121,234
107,209,0.1,134,208
108,219,0.15000000000000002,113,218
109,239,0.2,94,216
110,262,0.25,89,198
111,273,0.30000000000000004,84,192
112,272,0.35000000000000003,95,175
113,295,0.4,91,154
114,310,0.45,70,163
115,326,0.5,62,144
116,331,0.55,61,135
117,355,0.6000000000000001,55,112
118,366,0.65,57,107
119,381,0.7000000000000001,49,92
120,404,0.75,45,77
121,408,0.8,30,90
122,413,0.8500000000000001,34,67
123,437,0.9,18,62
124,455,0.9500000000000001,21,31
125,457,1.0,18,34
126,193,0.0,134,230
127,207,0.05,128,226
128,216,0.1,125,214
129,227,0.15000000000000002,112,215
130,241,0.2,116,192
131,271,0.25,92,190
132,270,0.30000000000000004,96,185
133,267,0.35000000000000003,98,173
134,298,0.4,77,173
135,310,0.45,79,144
136,330,0.5,68,135
137,337,0.55,53,143
138,362,0.6000000000000001,61,113
139,374,0.65,57,107
140,380,0.7000000000000001,50,96
141,403,0.75,44,67
142,408,0.8,35,77
143,423,0.8500000000000001,36,63
144,434,0.9,32,45
145,432,0.9500000000000001,26,53
146,461,1.0,18,32
147,208,0.0,118,251
148,221,0.05,128,216
149,235,0.1,104,222
150,244,0.15000000000000002,110,205
151,268,0.2,88,194
152,256,0.25,105,183
153,254,0.30000000000000004,96,190
154,285,0.35000000000000003,87,171
155,310,0.4,71,170
156,316,0.45,64,167
157,325,0.5,74,135
158,354,0.55,61,119
159,365,0.6000000000000001,59,99
160,353,0.65,57,119
161,371,0.7000000000000001,39,118
162,411,0.75,42,63
163,401,0.8,39,76
164,406,0.8500000000000001,39,67
165,422,0.9,29,68
166,444,0.9500000000000001,22,45
167,451,1.0,20,38
168,190,0.0,127,235
169,204,0.05,135,220
170,227,0.1,121,208
171,235,0.15000000000000002,95,233
172,247,0.2,100,212
173,239,0.25,105,207
174,284,0.30000000000000004,90,175
175,278,0.35000000000000003,88,173
176,303,0.4,81,165
177,309,0.45,87,146
178,327,0.5,73,135
179,345,0.55,65,117
180,348,0.6000000000000001,61,122
181,368,0.65,52,111
182,370,0.7000000000000001,55,95
183,398,0.75,48,71
184,396,0.8,34,88
185,436,0.8500000000000001,22,58
186,434,0.9,27,51
187,451,0.9500000000000001,24,32
188,453,1.0,20,35
189,195,0.0,111,249
190,213,0.05,112,237
191,201,0.1,115,245
192,231,0.15000000000000002,114,213
193,253,0.2,104,204
194,261,0.25,91,204
195,282,0.30000000000000004,86,180
196,289,0.35000000000000003,91,171
197,283,0.4,98,154
198,316,0.45,70,156
199,307,0.5,90,125
200,334,0.55,66,142
201,348,0.6000000000000001,73,120
202,370,0.65,57,101
203,381,0.7000000000000001,43,110
204,383,0.75,42,93
205,387,0.8,41,91
206,413,0.8500000000000001,31,73
207,437,0.9,28,52
208,439,0.9500000000000001,23,47
209,449,1.0,17,49
210,208,0.0,110,245
211,198,0.05,122,232
212,226,0.1,107,231
213,216,0.15000000000000002,122,206
214,235,0.2,109,201
215,258,0.25,99,204
216,265,0.30000000000000004,92,185
217,285,0.35000000000000003,87,170
218,308,0.4,75,167
219,316,0.45,79,140
220,335,0.5,62,138
221,341,0.55,51,142
222,345,0.6000000000000001,60,126
223,358,0.65,53,113
224,377,0.7000000000000001,48,98
225,389,0.75,42,91
226,412,0.8,34,70
227,411,0.8500000000000001,32,79
228,441,0.9,23,47
229,448,0.9500000000000001,18,44
230,466,1.0,17,26
231,209,0.0,110,253
232,221,0.05,109,239
233,228,0.1,104,246
234,243,0.15000000000000002,106,202
235,228,0.2,96,231
236,269,0.25,104,173
237,278,0.30000000000000004,84,182
238,286,0.35000000000000003,88,171
239,278,0.4,97,163
240,315,0.45,72,144
241,331,0.5,67,142
242,320,0.55,66,143
243,390,0.6000000000000001,37,109
244,371,0.65,46,102
245,385,0.7000000000000001,41,100
246,404,0.75,38,76
247,422,0.8,28,69
248,410,0.8500000000000001,40,65
249,433,0.9,25,57
250,448,0.9500000000000001,18,40
251,463,1.0,14,38
252,217,0.0,112,242
253,211,0.05,123,232
254,221,0.1,106,233
255,249,0.15000000000000002,98,214
256,229,0.2,109,211
257,257,0.25,95,201
258,266,0.30000000000000004,97,180
259,276,0.35000000000000003,87,178
260,298,0.4,83,155
261,318,0.45,70,157
262,346,0.5,64,120
263,346,0.55,62,130
264,361,0.6000000000000001,69,99
265,370,0.65,45,115
266,371,0.7000000000000001,54,95
267,388,0.75,38,102
268,400,0.8,44,76
269,418,0.8500000000000001,31,66
270,430,0.9,20,60
271,444,0.9500000000000001,24,45
272,456,1.0,20,33
273,171,0.0,131,255
274,210,0.05,102,257
275,237,0.1,106,219
276,262,0.15000000000000002,97,211
277,249,0.2,95,208
278,249,0.25,95,201
279,252,0.30000000000000004,98,186
280,300,0.35000000000000003,81,154
281,310,0.4,69,168
282,307,0.45,71,156
283,316,0.5,78,142
284,336,0.55,74,118
285,353,0.6000000000000001,63,118
286,376,0.65,55,97
287,396,0.7000000000000001,41,89
288,391,0.75,41,87
289,402,0.8,38,73
290,416,0.8500000000000001,38,57
291,436,0.9,29,49
