,alive,bh_ratio,dead,transient
0,195,0.0,117,250
1,199,0.05,117,248
2,219,0.1,105,235
3,243,0.15000000000000002,106,198
4,250,0.2,109,190
5,263,0.25,95,184
6,273,0.30000000000000004,94,178
7,281,0.35000000000000003,83,174
8,316,0.4,73,157
9,310,0.45,66,169
10,332,0.5,66,136
11,338,0.55,58,141
12,349,0.6000000000000001,67,112
13,370,0.65,55,114
14,363,0.7000000000000001,58,102
15,403,0.75,39,84
16,413,0.8,29,79
17,419,0.8500000000000001,30,73
18,431,0.9,29,60
19,428,0.9500000000000001,23,57
20,455,1.0,17,37
21,201,0.0,120,256
22,221,0.05,118,223
23,217,0.1,123,211
24,233,0.15000000000000002,94,234
25,264,0.2,101,188
26,276,0.25,96,186
27,281,0.30000000000000004,97,162
28,290,0.35000000000000003,88,160
29,306,0.4,82,154
30,331,0.45,76,142
31,342,0.5,66,124
32,325,0.55,77,130
33,349,0.6000000000000001,63,119
34,371,0.65,56,108
35,384,0.7000000000000001,40,107
36,404,0.75,56,61
37,398,0.8,51,78
38,423,0.8500000000000001,31,63
39,434,0.9,28,48
40,444,0.9500000000000001,21,44
41,457,1.0,17,34
42,205,0.0,126,220
43,197,0.05,122,235
44,223,0.1,113,220
45,233,0.15000000000000002,118,202
46,259,0.2,94,194
47,277,0.25,78,201
48,286,0.30000000000000004,97,172
49,265,0.35000000000000003,108,169
50,306,0.4,77,163
51,309,0.45,75,152
52,326,0.5,71,135
53,349,0.55,62,128
54,336,0.6000000000000001,48,153
55,357,0.65,57,114
56,385,0.7000000000000001,47,91
57,399,0.75,39,76
58,399,0.8,42,85
59,410,0.8500000000000001,28,74
60,434,0.9,23,58
61,449,0.9500000000000001,9,52
62,460,1.0,13,39
63,197,0.0,120,247
64,200,0.05,118,238
65,221,0.1,117,218
66,237,0.15000000000000002,99,215
67,240,0.2,97,209
68,268,0.25,90,193
69,273,0.30000000000000004,91,185
70,287,0.35000000000000003,93,173
71,292,0.4,83,171
72,308,0.45,73,157
73,325,0.5,73,148
74,339,0.55,61,135
75,330,0.6000000000000001,64,127
76,358,0.65,62,113
77,356,0.7000000000000001,57,111
78,370,0.75,57,94
79,406,0.8,39,79
80,433,0.8500000000000001,27,60
81,438,0.9,29,50
82,443,0.9500000000000001,20,43
83,463,1.0,14,35
84,195,0.0,124,241
85,190,0.05,129,235
86,223,0.1,109,226
87,234,0.15000000000000002,111,202
88,272,0.2,90,196
89,248,0.25,98,203
90,280,0.30000000000000004,107,167
91,292,0.35000000000000003,101,162
92,297,0.4,98,145
93,334,0.45,64,140
94,313,0.5,77,147
95,350,0.55,69,113
96,326,0.6000000000000001,79,121
97,371,0.65,51,101
98,371,0.7000000000000001,54,97
99,401,0.75,42,82
100,420,0.8,34,64
101,431,0.8500000000000001,29,60
102,415,0.9,33,66
103,442,0.9500000000000001,30,41
104,462,1.0,12,37
105,193,0.0,133,251
106,216,0.05,107,243
107,208,0.1,119,236
108,228,0.15000000000000002,113,228
109,272,0.2,93,203
110,285,0.25,79,182
111,261,0.30000000000000004,84,193
112,297,0.35000000000000003,75,175
113,299,0.4,77,168
114,299,0.45,78,166
115,322,0.5,69,149
116,332,0.55,67,127
117,361,0.6000000000000001,47,119
118,359,0.65,56,112
119,370,0.7000000000000001,61,88
120,386,0.75,47,91
121,399,0.8,37,82
122,424,0.8500000000000001,27,68
123,431,0.9,29,56
124,441,0.9500000000000001,34,41
125,454,1.0,21,34
126,177,0.0,137,250
127,197,0.05,127,213
128,224,0.1,113,219
129,214,0.15000000000000002,99,240
