,bh_ratio,alive,dead,transient
0,0.0,205,116,242
1,0.05,228,92,249
2,0.1,212,126,217
3,0.15000000000000002,223,95,252
4,0.2,251,94,209
5,0.25,259,93,195
6,0.30000000000000004,272,89,184
7,0.35000000000000003,287,96,159
8,0.4,291,76,169
9,0.45,303,67,161
10,0.5,346,54,126
11,0.55,344,56,140
12,0.6000000000000001,354,69,112
13,0.65,365,44,123
14,0.7000000000000001,361,55,112
15,0.75,386,53,85
16,0.8,394,39,79
17,0.8500000000000001,419,32,66
18,0.9,448,23,43
19,0.9500000000000001,439,35,40
20,1.0,468,10,36
21,0.0,194,116,244
22,0.05,206,118,219
23,0.1,232,115,208
24,0.15000000000000002,248,112,197
25,0.2,257,96,208
26,0.25,264,89,210
27,0.30000000000000004,264,86,194
28,0.35000000000000003,296,93,150
29,0.4,301,68,182
30,0.45,314,72,152
31,0.5,313,73,161
32,0.55,351,69,120
33,0.6000000000000001,347,63,124
34,0.65,359,57,118
35,0.7000000000000001,380,51,90
36,0.75,386,53,83
37,0.8,406,36,76
38,0.8500000000000001,414,38,73
39,0.9,430,27,58
40,0.9500000000000001,447,22,37
41,1.0,463,16,28
42,0.0,196,114,257
43,0.05,217,134,215
44,0.1,239,114,215
45,0.15000000000000002,234,113,191
46,0.2,247,101,202
47,0.25,241,104,194
48,0.30000000000000004,267,91,193
49,0.35000000000000003,279,78,188
50,0.4,312,76,168
51,0.45,306,79,156
52,0.5,325,71,144
53,0.55,338,70,120
54,0.6000000000000001,365,49,105
55,0.65,356,53,118
56,0.7000000000000001,390,41,99
57,0.75,391,46,89
58,0.8,400,42,86
59,0.8500000000000001,422,35,65
60,0.9,433,25,52
61,0.9500000000000001,451,21,42
62,1.0,452,16,40
63,0.0,197,126,238
64,0.05,207,136,217
65,0.1,215,119,235
66,0.15000000000000002,219,103,232
67,0.2,257,102,201
68,0.25,258,99,192
69,0.30000000000000004,267,96,190
70,0.35000000000000003,284,92,166
71,0.4,309,75,159
72,0.45,304,76,161
73,0.5,315,68,154
74,0.55,336,63,128
75,0.6000000000000001,350,61,116
76,0.65,347,63,117
77,0.7000000000000001,356,57,107
78,0.75,381,50,94
79,0.8,410,33,71
80,0.8500000000000001,417,29,75
81,0.9,430,28,57
82,0.9500000000000001,456,13,43
83,1.0,453,20,35
84,0.0,192,113,265
85,0.05,211,127,229
86,0.1,237,107,227
87,0.15000000000000002,234,115,200
88,0.2,273,90,200
89,0.25,292,93,177
90,0.30000000000000004,273,82,201
91,0.35000000000000003,305,83,158
92,0.4,269,88,179
93,0.45,321,66,159
94,0.5,317,70,143
95,0.55,346,72,111
96,0.6000000000000001,354,56,122
97,0.65,389,46,91
98,0.7000000000000001,384,43,91
99,0.75,395,47,87
100,0.8,417,41,66
101,0.8500000000000001,417,25,70
102,0.9,415,29,72
103,0.9500000000000001,451,21,39
104,1.0,463,16,34
105,0.0,179,135,248
106,0.05,218,121,217
107,0.1,217,101,238
108,0.15000000000000002,254,97,206
109,0.2,248,92,214
110,0.25,264,94,187
111,0.30000000000000004,271,95,182
112,0.35000000000000003,304,79,177
113,0.4,289,85,171
114,0.45,304,71,167
115,0.5,327,74,129
116,0.55,329,62,142
117,0.6000000000000001,351,59,125
118,0.65,377,55,95
119,0.7000000000000001,388,53,87
120,0.75,398,44,81
121,0.8,408,37,72
122,0.8500000000000001,419,38,52
123,0.9,417,30,66
124,0.9500000000000001,446,15,48
125,1.0,452,14,41
126,0.0,212,114,234
127,0.05,221,104,232
128,0.1,208,121,228
129,0.15000000000000002,222,106,231
130,0.2,252,96,202
131,0.25,251,113,188
132,0.30000000000000004,263,97,185
133,0.35000000000000003,295,89,151
134,0.4,304,73,163
135,0.45,312,80,153
136,0.5,325,80,125
137,0.55,337,64,131
138,0.6000000000000001,338,67,120
139,0.65,372,44,115
140,0.7000000000000001,372,58,92
141,0.75,397,50,79
142,0.8,395,44,75
143,0.8500000000000001,418,31,67
144,0.9,425,27,67
145,0.9500000000000001,439,26,42
146,1.0,457,20,30
147,0.0,210,117,247
148,0.05,218,112,242
149,0.1,240,100,219
150,0.15000000000000002,230,112,217
151,0.2,230,101,217
152,0.25,263,93,181
153,0.30000000000000004,290,76,179
154,0.35000000000000003,291,90,165
155,0.4,287,89,165
156,0.45,315,78,135
157,0.5,340,68,131
158,0.55,335,71,125
159,0.6000000000000001,354,58,116
160,0.65,365,54,113
161,0.7000000000000001,376,63,83
162,0.75,413,34,73
163,0.8,411,31,72
164,0.8500000000000001,412,38,59
165,0.9,422,24,75
166,0.9500000000000001,445,19,48
167,1.0,459,16,30
168,0.0,186,121,254
169,0.05,218,129,216
170,0.1,214,129,212
171,0.15000000000000002,236,102,209
172,0.2,257,100,198
173,0.25,266,88,195
174,0.30000000000000004,267,97,178
175,0.35000000000000003,298,83,167
176,0.4,275,91,177
177,0.45,293,83,157
178,0.5,333,68,131
179,0.55,342,68,130
180,0.6000000000000001,353,68,117
181,0.65,365,57,102
182,0.7000000000000001,377,42,102
183,0.75,383,44,91
184,0.8,396,35,89
185,0.8500000000000001,420,31,72
186,0.9,446,18,56
187,0.9500000000000001,438,27,44
188,1.0,463,15,28
189,0.0,181,128,238
190,0.05,197,112,246
191,0.1,216,110,228
192,0.15000000000000002,241,108,211
193,0.2,247,90,214
194,0.25,247,94,217
195,0.30000000000000004,264,100,190
196,0.35000000000000003,290,81,177
197,0.4,302,87,152
198,0.45,328,74,127
199,0.5,310,76,164
200,0.55,346,59,128
201,0.6000000000000001,344,59,129
202,0.65,359,59,111
203,0.7000000000000001,379,52,98
204,0.75,392,47,79
205,0.8,404,35,79
206,0.8500000000000001,403,44,69
207,0.9,439,26,53
208,0.9500000000000001,442,14,56
209,1.0,450,20,41
210,0.0,200,138,230
211,0.05,209,116,237
212,0.1,215,128,222
213,0.15000000000000002,220,118,199
214,0.2,249,94,211
215,0.25,264,108,177
216,0.30000000000000004,291,74,179
217,0.35000000000000003,288,92,156
218,0.4,307,75,153
219,0.45,322,85,129
220,0.5,313,65,159
221,0.55,335,63,134
222,0.6000000000000001,342,58,129
223,0.65,374,50,110
224,0.7000000000000001,376,51,96
225,0.75,387,41,92
226,0.8,411,38,75
227,0.8500000000000001,423,35,64
228,0.9,429,24,58
229,0.9500000000000001,455,19,40
230,1.0,461,17,35
231,0.0,199,114,245
232,0.05,217,117,224
233,0.1,232,105,223
234,0.15000000000000002,227,105,224
235,0.2,263,97,198
236,0.25,260,84,211
237,0.30000000000000004,290,88,181
238,0.35000000000000003,286,93,173
239,0.4,295,86,157
240,0.45,319,73,156
241,0.5,331,75,125
242,0.55,344,70,116
243,0.6000000000000001,354,55,105
244,0.65,356,70,97
245,0.7000000000000001,375,47,108
246,0.75,395,36,84
247,0.8,416,38,70
248,0.8500000000000001,410,40,65
249,0.9,426,29,57
250,0.9500000000000001,438,18,52
251,1.0,461,16,31
252,0.0,194,130,241
253,0.05,211,120,223
254,0.1,214,116,236
255,0.15000000000000002,250,105,197
256,0.2,257,96,196
257,0.25,259,108,178
258,0.30000000000000004,244,95,201
259,0.35000000000000003,286,83,178
260,0.4,316,80,142
261,0.45,292,88,154
262,0.5,305,74,161
263,0.55,324,75,127
264,0.6000000000000001,370,61,103
265,0.65,383,50,90
266,0.7000000000000001,393,42,89
267,0.75,382,49,89
268,0.8,400,34,80
269,0.8500000000000001,420,33,62
270,0.9,433,22,58
271,0.9500000000000001,445,18,47
272,1.0,465,20,24
273,0.0,213,112,240
274,0.05,212,140,209
275,0.1,221,105,230
276,0.15000000000000002,239,105,214
