,alive,bh_ratio,dead,transient
0,201,0.0,116,247
1,216,0.05,122,227
2,227,0.1,115,213
3,258,0.15000000000000002,105,191
4,248,0.2,111,192
5,263,0.25,94,194
6,276,0.30000000000000004,97,172
7,273,0.35000000000000003,93,170
8,300,0.4,73,169
9,304,0.45,73,158
10,329,0.5,71,127
11,327,0.55,72,136
12,351,0.6000000000000001,54,119
13,377,0.65,45,103
14,373,0.7000000000000001,51,97
15,397,0.75,35,89
16,402,0.8,36,88
17,406,0.8500000000000001,42,68
18,416,0.9,33,68
19,436,0.9500000000000001,31,45
20,454,1.0,16,38
21,186,0.0,116,264
22,217,0.05,114,223
23,235,0.1,103,229
24,222,0.15000000000000002,112,223
25,242,0.2,104,196
26,260,0.25,93,198
27,243,0.30000000000000004,104,190
28,279,0.35000000000000003,86,179
29,301,0.4,85,163
30,318,0.45,71,163
31,310,0.5,83,139
32,347,0.55,53,136
33,338,0.6000000000000001,72,117
34,351,0.65,65,110
35,375,0.7000000000000001,39,118
36,401,0.75,37,78
37,389,0.8,48,79
38,421,0.8500000000000001,22,67
39,429,0.9,29,60
40,432,0.9500000000000001,24,53
41,460,1.0,15,33
42,189,0.0,115,259
43,213,0.05,130,218
44,221,0.1,110,213
45,245,0.15000000000000002,99,214
46,236,0.2,105,207
47,264,0.25,100,200
48,291,0.30000000000000004,80,174
49,290,0.35000000000000003,93,170
50,289,0.4,88,163
51,305,0.45,84,147
52,330,0.5,69,135
53,341,0.55,69,115
54,348,0.6000000000000001,63,126
55,367,0.65,57,101
56,382,0.7000000000000001,51,77
57,401,0.75,35,85
58,419,0.8,30,76
59,420,0.8500000000000001,26,73
60,413,0.9,36,61
61,434,0.9500000000000001,24,55
62,450,1.0,19,35
63,196,0.0,121,254
64,207,0.05,116,244
65,228,0.1,100,220
66,245,0.15000000000000002,107,194
67,239,0.2,112,202
68,255,0.25,93,206
69,262,0.30000000000000004,90,200
70,300,0.35000000000000003,78,166
71,286,0.4,86,166
72,314,0.45,76,143
73,330,0.5,82,131
74,320,0.55,76,138
75,352,0.6000000000000001,65,118
76,371,0.65,45,116
77,365,0.7000000000000001,57,103
78,390,0.75,49,89
79,406,0.8,29,79
80,408,0.8500000000000001,36,72
81,433,0.9,23,56
82,441,0.9500000000000001,21,50
83,454,1.0,17,31
84,197,0.0,120,255
85,210,0.05,116,234
86,240,0.1,112,220
87,243,0.15000000000000002,106,213
88,246,0.2,95,213
89,270,0.25,97,189
90,300,0.30000000000000004,61,193
91,281,0.35000000000000003,96,175
92,292,0.4,76,171
93,302,0.45,84,148
94,338,0.5,66,133
95,332,0.55,62,132
96,354,0.6000000000000001,59,124
97,359,0.65,55,116
98,383,0.7000000000000001,46,92
99,393,0.75,49,89
100,406,0.8,33,82
101,413,0.8500000000000001,37,61
102,433,0.9,31,46
103,454,0.9500000000000001,23,32
104,461,1.0,16,32
105,189,0.0,117,257
106,189,0.05,120,238
107,242,0.1,102,228
108,240,0.15000000000000002,115,205
109,270,0.2,94,193
110,261,0.25,104,185
111,277,0.30000000000000004,81,199
112,287,0.35000000000000003,95,156
113,286,0.4,81,173
114,321,0.45,80,141
115,332,0.5,76,128
116,347,0.55,70,115
117,361,0.6000000000000001,62,106
118,352,0.65,59,111
119,377,0.7000000000000001,46,106
120,394,0.75,41,79
121,401,0.8,41,77
122,421,0.8500000000000001,32,67
123,415,0.9,34,65
124,440,0.9500000000000001,19,59
125,456,1.0,17,32
126,214,0.0,126,227
127,206,0.05,122,229
128,210,0.1,118,219
129,244,0.15000000000000002,102,209
130,250,0.2,105,210
131,238,0.25,104,206
132,275,0.30000000000000004,93,175
133,285,0.35000000000000003,89,173
134,303,0.4,79,160
135,301,0.45,86,153
136,341,0.5,67,132
137,343,0.55,62,134
138,356,0.6000000000000001,63,114
139,374,0.65,54,111
140,386,0.7000000000000001,37,94
141,399,0.75,34,91
142,416,0.8,33,69
143,418,0.8500000000000001,31,66
144,438,0.9,26,52
145,447,0.9500000000000001,22,44
146,467,1.0,15,28
147,209,0.0,128,233
148,208,0.05,106,256
149,227,0.1,107,221
150,239,0.15000000000000002,117,194
151,244,0.2,101,191
152,263,0.25,88,202
153,294,0.30000000000000004,88,159
154,278,0.35000000000000003,85,171
155,301,0.4,73,170
156,309,0.45,76,162
157,343,0.5,68,135
158,346,0.55,68,124
159,364,0.6000000000000001,60,102
160,366,0.65,56,113
161,377,0.7000000000000001,54,88
162,398,0.75,54,70
163,408,0.8,34,77
164,432,0.8500000000000001,31,60
165,437,0.9,27,50
166,447,0.9500000000000001,19,50
167,453,1.0,20,37
168,190,0.0,116,255
169,185,0.05,127,235
170,226,0.1,105,231
171,238,0.15000000000000002,107,216
172,229,0.2,107,214
173,251,0.25,87,212
174,274,0.30000000000000004,109,157
175,277,0.35000000000000003,94,165
176,320,0.4,75,141
177,319,0.45,74,142
178,330,0.5,68,137
179,339,0.55,70,133
180,351,0.6000000000000001,62,113
181,358,0.65,64,101
182,362,0.7000000000000001,54,110
183,387,0.75,55,82
184,407,0.8,37,78
185,420,0.8500000000000001,27,68
186,418,0.9,34,58
187,447,0.9500000000000001,21,40
188,456,1.0,16,33
189,201,0.0,132,235
190,222,0.05,112,231
191,221,0.1,98,239
192,233,0.15000000000000002,118,209
193,247,0.2,103,197
194,252,0.25,101,199
195,288,0.30000000000000004,81,181
196,278,0.35000000000000003,86,182
197,293,0.4,83,164
198,292,0.45,78,161
199,316,0.5,74,143
200,354,0.55,62,121
201,347,0.6000000000000001,58,121
202,355,0.65,67,100
203,376,0.7000000000000001,48,105
204,384,0.75,48,93
205,405,0.8,45,70
206,424,0.8500000000000001,35,55
207,425,0.9,34,50
208,450,0.9500000000000001,21,41
209,456,1.0,22,26
210,206,0.0,113,260
211,195,0.05,122,239
212,229,0.1,118,209
213,234,0.15000000000000002,105,216
214,247,0.2,98,199
215,270,0.25,86,198
216,272,0.30000000000000004,80,194
217,284,0.35000000000000003,103,156
218,303,0.4,83,145
219,335,0.45,71,138
220,319,0.5,76,150
221,343,0.55,62,132
222,366,0.6000000000000001,59,101
223,361,0.65,62,98
224,393,0.7000000000000001,48,81
225,397,0.75,43,77
226,408,0.8,41,67
227,426,0.8500000000000001,37,59
228,422,0.9,30,65
229,455,0.9500000000000001,15,42
230,455,1.0,21,33
231,205,0.0,110,254
232,224,0.05,115,229
233,216,0.1,113,231
234,237,0.15000000000000002,98,220
235,235,0.2,101,215
236,258,0.25,81,205
237,280,0.30000000000000004,91,175
238,292,0.35000000000000003,89,169
239,290,0.4,83,169
240,311,0.45,85,148
241,341,0.5,71,121
242,344,0.55,62,129
243,353,0.6000000000000001,70,110
244,379,0.65,39,107
245,384,0.7000000000000001,36,103
246,412,0.75,38,72
247,401,0.8,48,70
248,403,0.8500000000000001,40,70
249,444,0.9,24,45
250,439,0.9500000000000001,30,43
251,455,1.0,19,40
252,183,0.0,141,232
253,193,0.05,125,252
254,232,0.1,112,216
255,236,0.15000000000000002,101,218
256,244,0.2,107,198
257,259,0.25,92,199
258,292,0.30000000000000004,86,166
259,275,0.35000000000000003,95,177
260,307,0.4,71,166
261,324,0.45,70,141
262,335,0.5,69,124
263,348,0.55,61,122
264,352,0.6000000000000001,60,113
265,369,0.65,54,98
266,370,0.7000000000000001,45,110
267,396,0.75,40,84
268,387,0.8,45,81
269,411,0.8500000000000001,34,78
270,437,0.9,33,46
271,442,0.9500000000000001,21,49
272,457,1.0,24,27
273,184,0.0,120,256
274,197,0.05,111,259
275,215,0.1,99,231
276,245,0.15000000000000002,90,221
277,252,0.2,97,209
278,281,0.25,103,167
279,267,0.30000000000000004,104,179
280,274,0.35000000000000003,96,173
281,311,0.4,85,155
282,324,0.45,69,132
283,339,0.5,64,131
284,344,0.55,58,136
285,352,0.6000000000000001,62,110
286,367,0.65,57,103
287,376,0.7000000000000001,51,98
288,395,0.75,37,92
289,430,0.8,29,68
290,431,0.8500000000000001,21,67
291,422,0.9,30,68
292,438,0.9500000000000001,28,48
293,460,1.0,15,33
294,204,0.0,121,240
295,218,0.05,108,233
296,190,0.1,124,230
297,240,0.15000000000000002,114,200
298,234,0.2,108,215
299,269,0.25,101,188
300,275,0.30000000000000004,83,185
301,288,0.35000000000000003,98,153
302,304,0.4,81,157
303,341,0.45,64,142
304,320,0.5,74,135
305,339,0.55,66,125
306,357,0.6000000000000001,67,106
307,348,0.65,58,121
308,383,0.7000000000000001,45,99
309,384,0.75,47,89
310,411,0.8,40,64
311,407,0.8500000000000001,35,73
312,437,0.9,26,48
313,434,0.9500000000000001,31,50
314,458,1.0,18,31
315,207,0.0,111,258
316,217,0.05,99,250
317,221,0.1,117,232
318,255,0.15000000000000002,121,181
319,258,0.2,92,198
320,244,0.25,103,217
321,266,0.30000000000000004,100,170
322,291,0.35000000000000003,97,161
323,295,0.4,89,155
324,295,0.45,82,153
325,344,0.5,72,132
326,353,0.55,56,126
327,367,0.6000000000000001,61,101
328,363,0.65,49,113
329,367,0.7000000000000001,66,88
330,413,0.75,40,66
331,407,0.8,35,81
332,427,0.8500000000000001,30,61
333,428,0.9,32,47
334,449,0.9500000000000001,22,39
335,458,1.0,22,22
336,189,0.0,123,254
337,188,0.05,118,248
338,238,0.1,97,223
339,227,0.15000000000000002,124,205
340,232,0.2,108,212
341,230,0.25,107,206
342,264,0.30000000000000004,99,177
343,293,0.35000000000000003,79,180
344,303,0.4,74,176
345,317,0.45,85,131
346,329,0.5,64,150
347,341,0.55,61,134
348,349,0.6000000000000001,67,111
349,353,0.65,65,107
350,385,0.7000000000000001,55,83
351,401,0.75,37,92
352,400,0.8,37,81
353,418,0.8500000000000001,40,59
354,430,0.9,26,57
355,441,0.9500000000000001,22,45
356,466,1.0,15,36
357,191,0.0,129,234
358,214,0.05,112,235
359,223,0.1,106,226
360,243,0.15000000000000002,112,202
361,234,0.2,116,189
362,263,0.25,95,189
363,270,0.30000000000000004,89,186
364,305,0.35000000000000003,83,160
365,301,0.4,76,172
366,314,0.45,80,141
367,335,0.5,60,149
368,320,0.55,73,138
369,345,0.6000000000000001,64,124
370,352,0.65,58,113
371,363,0.7000000000000001,55,103
372,395,0.75,39,91
373,403,0.8,36,86
374,422,0.8500000000000001,29,65
375,425,0.9,33,54
376,444,0.9500000000000001,30,38
377,464,1.0,17,26
378,213,0.0,112,241
379,197,0.05,123,228
380,230,0.1,102,218
381,249,0.15000000000000002,95,221
382,259,0.2,102,192
383,248,0.25,101,189
384,258,0.30000000000000004,76,216
385,277,0.35000000000000003,93,174
386,316,0.4,79,141
387,332,0.45,66,149
388,330,0.5,63,143
389,329,0.55,60,141
390,366,0.6000000000000001,55,115
391,370,0.65,51,106
392,383,0.7000000000000001,56,86
393,399,0.75,43,77
394,407,0.8,40,77
395,416,0.8500000000000001,36,63
396,437,0.9,30,42
397,451,0.9500000000000001,21,45
398,464,1.0,17,28
399,192,0.0,122,240
400,188,0.05,139,238
401,208,0.1,121,228
402,229,0.15000000000000002,108,217
403,224,0.2,103,222
404,269,0.25,86,189
405,284,0.30000000000000004,83,184
406,297,0.35000000000000003,80,161
407,323,0.4,61,159
408,320,0.45,75,152
409,324,0.5,74,133
410,340,0.55,57,143
411,354,0.6000000000000001,60,106
412,364,0.65,68,92
413,375,0.7000000000000001,48,97
414,380,0.75,36,106
415,409,0.8,38,76
416,410,0.8500000000000001,40,68
417,415,0.9,31,66
418,440,0.9500000000000001,24,49
419,464,1.0,16,27
420,203,0.0,118,244
421,230,0.05,114,226
422,207,0.1,113,228
423,231,0.15000000000000002,118,209
424,246,0.2,96,211
425,255,0.25,108,188
426,276,0.30000000000000004,102,171
427,290,0.35000000000000003,81,173
428,300,0.4,68,176
429,295,0.45,75,162
430,339,0.5,71,135
431,331,0.55,69,136
432,341,0.6000000000000001,70,110
433,365,0.65,60,105
434,385,0.7000000000000001,46,98
435,413,0.75,38,67
436,409,0.8,40,67
437,429,0.8500000000000001,31,58
438,419,0.9,36,56
439,434,0.9500000000000001,23,54
440,452,1.0,20,34
441,190,0.0,128,234
442,223,0.05,101,252
443,214,0.1,106,241
444,215,0.15000000000000002,128,214
445,246,0.2,103,209
446,258,0.25,99,193
447,279,0.30000000000000004,71,201
448,288,0.35000000000000003,92,165
449,295,0.4,83,162
450,326,0.45,65,152
451,339,0.5,69,126
452,324,0.55,60,146
453,357,0.6000000000000001,67,106
454,362,0.65,68,94
455,374,0.7000000000000001,44,111
456,387,0.75,54,80
457,401,0.8,36,81
458,419,0.8500000000000001,36,65
459,437,0.9,25,48
