,alive,bh_ratio,dead,transient
0,187,0.0,137,233
1,200,0.05,116,248
2,225,0.1,99,239
3,245,0.15000000000000002,98,222
4,262,0.2,86,215
5,258,0.25,86,211
6,279,0.30000000000000004,92,178
7,269,0.35000000000000003,100,173
8,302,0.4,87,148
9,317,0.45,73,149
10,322,0.5,83,132
11,341,0.55,74,121
12,360,0.6000000000000001,50,123
13,365,0.65,59,121
14,374,0.7000000000000001,51,95
15,365,0.75,55,99
16,397,0.8,41,86
17,419,0.8500000000000001,41,60
18,433,0.9,24,62
19,431,0.9500000000000001,23,54
20,467,1.0,16,28
21,219,0.0,116,232
22,207,0.05,115,235
23,212,0.1,124,221
24,249,0.15000000000000002,104,212
25,239,0.2,117,195
26,256,0.25,87,202
27,261,0.30000000000000004,108,178
28,285,0.35000000000000003,87,167
29,283,0.4,66,204
30,297,0.45,79,163
31,323,0.5,85,126
32,353,0.55,59,125
33,337,0.6000000000000001,64,118
34,363,0.65,66,96
35,383,0.7000000000000001,59,82
36,401,0.75,44,75
37,414,0.8,36,72
38,416,0.8500000000000001,36,68
39,425,0.9,31,58
40,453,0.9500000000000001,15,49
41,458,1.0,18,32
42,192,0.0,134,231
43,200,0.05,126,231
44,228,0.1,101,237
45,236,0.15000000000000002,101,218
46,247,0.2,100,205
47,267,0.25,96,196
48,272,0.30000000000000004,104,172
49,306,0.35000000000000003,84,160
50,288,0.4,94,166
51,307,0.45,68,160
52,324,0.5,67,138
53,339,0.55,69,127
54,356,0.6000000000000001,53,128
55,352,0.65,63,115
56,388,0.7000000000000001,48,81
57,401,0.75,43,77
58,391,0.8,48,77
59,429,0.8500000000000001,20,66
60,437,0.9,28,49
61,441,0.9500000000000001,22,54
62,458,1.0,20,29
63,192,0.0,135,223
64,196,0.05,109,242
65,224,0.1,115,220
66,229,0.15000000000000002,100,229
67,255,0.2,102,189
68,248,0.25,95,205
69,282,0.30000000000000004,89,177
70,282,0.35000000000000003,89,172
71,290,0.4,86,160
72,341,0.45,63,135
73,337,0.5,62,133
74,368,0.55,47,123
75,336,0.6000000000000001,59,132
76,369,0.65,60,103
77,368,0.7000000000000001,51,110
78,377,0.75,47,97
79,395,0.8,48,71
80,435,0.8500000000000001,22,60
81,427,0.9,25,64
82,442,0.9500000000000001,31,37
83,465,1.0,13,29
84,202,0.0,118,236
85,214,0.05,115,232
86,216,0.1,114,224
87,210,0.15000000000000002,112,227
88,252,0.2,98,208
89,265,0.25,97,181
90,290,0.30000000000000004,86,179
91,274,0.35000000000000003,96,176
92,313,0.4,68,162
93,317,0.45,69,149
94,345,0.5,63,130
95,336,0.55,64,123
96,356,0.6000000000000001,60,115
97,350,0.65,56,119
98,374,0.7000000000000001,48,100
99,398,0.75,44,68
100,413,0.8,36,75
101,416,0.8500000000000001,32,75
102,434,0.9,25,53
103,445,0.9500000000000001,22,37
104,449,1.0,21,39
105,194,0.0,133,242
106,202,0.05,122,241
107,202,0.1,120,226
108,221,0.15000000000000002,97,232
109,260,0.2,102,196
110,265,0.25,89,194
111,277,0.30000000000000004,90,172
112,291,0.35000000000000003,81,170
113,316,0.4,85,140
114,302,0.45,74,153
115,330,0.5,63,145
116,339,0.55,73,123
117,336,0.6000000000000001,62,130
118,367,0.65,53,102
119,372,0.7000000000000001,53,95
120,402,0.75,49,78
121,406,0.8,50,67
122,419,0.8500000000000001,39,62
123,430,0.9,27,60
124,453,0.9500000000000001,18,43
125,449,1.0,18,45
126,184,0.0,126,263
127,198,0.05,123,241
128,218,0.1,120,218
129,237,0.15000000000000002,104,218
130,240,0.2,89,231
131,254,0.25,98,189
132,274,0.30000000000000004,79,190
133,281,0.35000000000000003,81,182
134,303,0.4,67,168
135,326,0.45,68,143
136,310,0.5,86,146
137,334,0.55,66,128
138,327,0.6000000000000001,67,131
139,365,0.65,51,102
140,377,0.7000000000000001,45,101
141,380,0.75,42,96
142,407,0.8,39,76
143,418,0.8500000000000001,31,63
144,438,0.9,25,56
145,446,0.9500000000000001,16,55
146,450,1.0,26,27
147,207,0.0,119,252
148,230,0.05,118,207
149,219,0.1,119,220
150,243,0.15000000000000002,92,232
151,266,0.2,105,174
152,265,0.25,83,197
153,258,0.30000000000000004,96,189
154,303,0.35000000000000003,76,166
155,295,0.4,87,160
156,317,0.45,61,154
157,327,0.5,72,141
158,336,0.55,73,116
159,363,0.6000000000000001,57,113
160,380,0.65,55,92
161,376,0.7000000000000001,47,95
162,395,0.75,33,91
163,415,0.8,38,61
164,404,0.8500000000000001,34,85
165,429,0.9,32,50
166,439,0.9500000000000001,25,46
167,459,1.0,16,32
168,203,0.0,119,236
169,207,0.05,124,225
170,216,0.1,119,222
171,221,0.15000000000000002,125,205
172,227,0.2,122,195
173,256,0.25,88,209
174,278,0.30000000000000004,85,179
175,295,0.35000000000000003,92,150
176,293,0.4,81,166
177,300,0.45,77,157
178,316,0.5,75,139
179,333,0.55,62,155
180,356,0.6000000000000001,66,104
181,369,0.65,53,111
182,385,0.7000000000000001,45,91
183,385,0.75,47,94
184,398,0.8,37,85
