,alive,bh_ratio,dead,transient
0,166,0.0,136,251
1,207,0.05,111,242
2,210,0.1,109,235
3,232,0.15000000000000002,109,205
4,233,0.2,108,207
5,252,0.25,85,200
6,254,0.30000000000000004,98,191
7,297,0.35000000000000003,82,171
8,298,0.4,80,172
9,308,0.45,76,154
10,316,0.5,75,137
11,352,0.55,54,126
12,350,0.6000000000000001,66,117
13,370,0.65,56,97
14,379,0.7000000000000001,42,108
15,390,0.75,37,93
16,408,0.8,38,70
17,422,0.8500000000000001,36,68
18,438,0.9,31,41
19,440,0.9500000000000001,27,45
20,461,1.0,23,25
21,192,0.0,134,236
22,205,0.05,114,234
23,231,0.1,101,231
24,246,0.15000000000000002,109,210
25,240,0.2,105,195
26,252,0.25,107,193
27,293,0.30000000000000004,75,193
28,302,0.35000000000000003,74,173
29,308,0.4,75,164
30,313,0.45,83,141
31,315,0.5,72,148
32,328,0.55,78,132
33,347,0.6000000000000001,58,130
34,376,0.65,53,98
35,390,0.7000000000000001,44,89
36,409,0.75,35,83
37,404,0.8,43,69
38,426,0.8500000000000001,28,62
39,437,0.9,15,60
40,439,0.9500000000000001,20,56
41,454,1.0,16,41
42,203,0.0,127,242
43,210,0.05,109,242
44,217,0.1,129,208
45,235,0.15000000000000002,94,236
46,255,0.2,108,207
47,259,0.25,98,194
48,269,0.30000000000000004,99,181
49,309,0.35000000000000003,71,156
50,310,0.4,74,159
51,306,0.45,80,169
52,331,0.5,60,138
53,335,0.55,74,129
54,350,0.6000000000000001,56,127
55,361,0.65,53,109
56,373,0.7000000000000001,48,102
57,388,0.75,45,91
58,417,0.8,35,72
59,418,0.8500000000000001,39,54
60,431,0.9,23,59
61,451,0.9500000000000001,15,44
62,462,1.0,11,39
63,191,0.0,129,243
64,199,0.05,124,228
65,216,0.1,116,222
66,243,0.15000000000000002,99,212
67,225,0.2,122,196
68,283,0.25,92,179
69,260,0.30000000000000004,90,189
70,292,0.35000000000000003,82,168
71,304,0.4,80,155
72,302,0.45,67,165
73,330,0.5,64,142
74,333,0.55,69,126
75,370,0.6000000000000001,52,112
76,390,0.65,45,97
77,376,0.7000000000000001,54,89
78,399,0.75,39,84
79,417,0.8,32,78
80,417,0.8500000000000001,34,67
81,429,0.9,28,54
82,438,0.9500000000000001,25,45
83,462,1.0,17,28
84,187,0.0,144,220
