,bh_ratio,alive,dead,transient
0,0.0,174,128,252
1,0.05,209,119,231
2,0.1,217,119,227
3,0.15000000000000002,239,112,208
4,0.2,254,97,207
5,0.25,248,98,198
6,0.30000000000000004,292,81,184
7,0.35000000000000003,301,67,173
8,0.4,277,102,159
9,0.45,306,81,151
10,0.5,317,85,136
11,0.55,350,61,114
12,0.6000000000000001,355,58,113
13,0.65,368,55,105
14,0.7000000000000001,382,50,86
15,0.75,397,41,87
16,0.8,405,39,80
17,0.8500000000000001,418,38,60
18,0.9,422,33,58
19,0.9500000000000001,456,18,37
20,1.0,461,14,34
21,0.0,177,130,254
22,0.05,210,118,236
23,0.1,216,118,215
24,0.15000000000000002,255,93,215
25,0.2,245,112,198
26,0.25,257,105,186
27,0.30000000000000004,275,95,171
28,0.35000000000000003,264,88,188
29,0.4,293,82,151
30,0.45,310,71,148
31,0.5,336,66,131
32,0.55,366,50,120
33,0.6000000000000001,343,81,107
34,0.65,361,57,111
35,0.7000000000000001,375,48,95
36,0.75,388,43,89
37,0.8,413,31,70
38,0.8500000000000001,410,38,67
39,0.9,430,32,57
40,0.9500000000000001,451,17,47
41,1.0,468,11,29
42,0.0,211,112,240
43,0.05,193,109,259
44,0.1,225,117,221
45,0.15000000000000002,235,129,196
46,0.2,258,93,201
47,0.25,272,104,186
48,0.30000000000000004,284,101,161
49,0.35000000000000003,290,76,183
50,0.4,308,68,171
51,0.45,324,67,148
52,0.5,328,72,145
53,0.55,342,60,124
54,0.6000000000000001,335,75,114
55,0.65,366,55,107
56,0.7000000000000001,362,51,110
57,0.75,405,52,66
58,0.8,405,47,69
59,0.8500000000000001,425,31,60
60,0.9,427,20,67
61,0.9500000000000001,436,15,58
62,1.0,447,21,40
63,0.0,187,107,267
64,0.05,197,123,234
65,0.1,216,113,217
66,0.15000000000000002,237,113,202
67,0.2,244,113,197
68,0.25,253,97,205
69,0.30000000000000004,280,92,186
70,0.35000000000000003,279,111,153
71,0.4,295,65,185
72,0.45,311,82,157
73,0.5,344,65,128
74,0.55,347,61,129
75,0.6000000000000001,354,60,112
76,0.65,386,37,110
77,0.7000000000000001,400,43,77
78,0.75,376,48,95
79,0.8,404,35,86
80,0.8500000000000001,402,36,76
81,0.9,427,27,64
82,0.9500000000000001,449,20,42
83,1.0,460,19,32
84,0.0,204,118,237
85,0.05,201,123,236
86,0.1,234,105,224
87,0.15000000000000002,237,118,195
88,0.2,233,103,210
89,0.25,251,91,211
90,0.30000000000000004,277,111,152
91,0.35000000000000003,305,86,149
92,0.4,314,77,153
93,0.45,319,72,157
94,0.5,332,66,133
95,0.55,341,54,139
96,0.6000000000000001,371,45,115
97,0.65,373,49,109
98,0.7000000000000001,378,52,101
99,0.75,388,44,87
100,0.8,413,35,81
101,0.8500000000000001,425,29,65
102,0.9,428,23,59
103,0.9500000000000001,438,32,39
104,1.0,453,15,38
105,0.0,198,130,250
106,0.05,218,131,215
107,0.1,193,114,240
108,0.15000000000000002,241,103,207
109,0.2,244,95,219
110,0.25,260,96,193
111,0.30000000000000004,267,105,179
112,0.35000000000000003,293,75,183
113,0.4,299,100,153
114,0.45,311,72,153
115,0.5,299,86,145
116,0.55,329,82,130
117,0.6000000000000001,340,71,127
118,0.65,335,65,134
119,0.7000000000000001,367,50,101
120,0.75,388,42,90
121,0.8,404,43,70
122,0.8500000000000001,420,30,65
123,0.9,438,22,52
124,0.9500000000000001,448,19,43
125,1.0,453,19,37
126,0.0,196,135,233
127,0.05,214,123,221
128,0.1,208,117,233
129,0.15000000000000002,238,101,221
130,0.2,235,113,206
131,0.25,265,94,197
132,0.30000000000000004,266,84,197
133,0.35000000000000003,297,81,165
134,0.4,300,86,154
135,0.45,317,84,140
136,0.5,321,60,150
137,0.55,353,62,121
138,0.6000000000000001,358,55,119
139,0.65,349,59,121
140,0.7000000000000001,372,61,82
141,0.75,400,42,85
142,0.8,405,49,62
143,0.8500000000000001,435,22,58
144,0.9,428,27,55
145,0.9500000000000001,450,23,38
146,1.0,463,17,30
147,0.0,208,123,244
148,0.05,189,130,239
149,0.1,225,124,202
150,0.15000000000000002,248,110,198
151,0.2,278,95,194
152,0.25,250,87,206
153,0.30000000000000004,276,89,188
154,0.35000000000000003,275,98,175
155,0.4,298,66,186
156,0.45,310,77,156
157,0.5,318,73,144
158,0.55,347,54,135
159,0.6000000000000001,360,57,118
160,0.65,366,52,107
161,0.7000000000000001,374,52,106
162,0.75,399,38,84
163,0.8,403,33,83
164,0.8500000000000001,416,34,69
165,0.9,422,34,61
166,0.9500000000000001,441,29,44
167,1.0,465,10,37
168,0.0,203,116,242
169,0.05,195,130,229
170,0.1,186,128,238
171,0.15000000000000002,224,110,225
172,0.2,269,89,200
173,0.25,248,107,194
174,0.30000000000000004,269,96,175
175,0.35000000000000003,294,90,151
176,0.4,285,90,160
177,0.45,299,81,164
178,0.5,315,68,152
179,0.55,344,65,114
180,0.6000000000000001,322,81,119
181,0.65,364,45,112
182,0.7000000000000001,376,49,96
183,0.75,397,35,94
184,0.8,402,46,70
185,0.8500000000000001,418,34,64
186,0.9,435,24,55
187,0.9500000000000001,451,17,42
188,1.0,468,13,27
189,0.0,179,138,237
190,0.05,219,103,247
191,0.1,213,122,232
192,0.15000000000000002,236,100,220
193,0.2,257,105,191
194,0.25,251,109,198
195,0.30000000000000004,275,88,185
196,0.35000000000000003,287,89,166
197,0.4,306,84,160
198,0.45,294,80,155
199,0.5,314,65,150
200,0.55,330,66,137
201,0.6000000000000001,352,61,120
202,0.65,377,52,106
203,0.7000000000000001,373,54,100
204,0.75,403,35,88
205,0.8,408,34,73
206,0.8500000000000001,412,36,73
207,0.9,431,29,61
208,0.9500000000000001,453,13,47
209,1.0,459,14,35
210,0.0,198,116,251
211,0.05,209,128,222
212,0.1,231,108,217
213,0.15000000000000002,216,137,191
214,0.2,275,91,194
215,0.25,248,95,198
216,0.30000000000000004,279,85,176
217,0.35000000000000003,280,75,189
218,0.4,296,82,167
219,0.45,290,92,160
220,0.5,343,59,140
221,0.55,343,66,132
222,0.6000000000000001,356,59,111
223,0.65,365,57,110
224,0.7000000000000001,367,50,108
225,0.75,381,51,104
226,0.8,406,30,82
227,0.8500000000000001,415,38,63
228,0.9,423,27,69
229,0.9500000000000001,433,25,50
230,1.0,454,25,26
231,0.0,195,123,240
232,0.05,226,101,243
233,0.1,220,113,222
234,0.15000000000000002,227,109,216
235,0.2,249,108,202
236,0.25,267,73,200
237,0.30000000000000004,255,101,191
238,0.35000000000000003,285,90,164
239,0.4,305,90,132
240,0.45,327,74,134
241,0.5,331,63,143
242,0.55,339,63,135
243,0.6000000000000001,349,53,125
244,0.65,363,44,119
245,0.7000000000000001,378,49,102
246,0.75,412,32,76
247,0.8,416,43,60
248,0.8500000000000001,394,36,84
249,0.9,430,35,55
250,0.9500000000000001,428,30,54
251,1.0,465,15,27
252,0.0,205,114,249
253,0.05,201,129,228
254,0.1,216,112,226
255,0.15000000000000002,221,112,222
256,0.2,254,104,199
257,0.25,265,109,181
258,0.30000000000000004,279,93,182
259,0.35000000000000003,311,81,156
260,0.4,295,92,161
261,0.45,312,76,144
262,0.5,316,90,127
263,0.55,343,73,118
264,0.6000000000000001,344,73,107
265,0.65,364,53,108
266,0.7000000000000001,374,52,100
267,0.75,393,41,84
268,0.8,415,34,69
269,0.8500000000000001,414,43,55
270,0.9,439,27,53
271,0.9500000000000001,431,31,49
272,1.0,457,19,33
273,0.0,187,134,256
274,0.05,203,132,217
275,0.1,226,112,226
276,0.15000000000000002,242,107,203
277,0.2,239,99,208
278,0.25,271,94,191
279,0.30000000000000004,282,88,184
280,0.35000000000000003,294,97,161
281,0.4,308,85,160
282,0.45,318,74,152
283,0.5,310,82,142
284,0.55,343,52,144
