,bh_ratio,alive,dead,transient
0,0.0,223,107,237
1,0.05,201,132,232
2,0.1,240,97,231
3,0.15000000000000002,236,112,203
4,0.2,254,108,191
5,0.25,233,108,202
6,0.30000000000000004,270,91,193
7,0.35000000000000003,311,74,160
8,0.4,287,89,178
9,0.45,315,81,140
10,0.5,327,60,157
11,0.55,332,71,124
12,0.6000000000000001,343,65,111
13,0.65,376,50,99
14,0.7000000000000001,358,49,114
15,0.75,381,50,93
16,0.8,406,35,81
17,0.8500000000000001,419,31,59
18,0.9,419,22,71
19,0.9500000000000001,448,19,41
20,1.0,458,17,35
21,0.0,181,138,236
22,0.05,221,123,227
23,0.1,245,106,199
24,0.15000000000000002,233,108,202
25,0.2,231,97,222
26,0.25,263,93,200
27,0.30000000000000004,272,89,183
28,0.35000000000000003,288,80,173
29,0.4,287,79,177
30,0.45,315,87,136
31,0.5,317,78,138
32,0.55,353,60,127
33,0.6000000000000001,353,57,135
34,0.65,371,54,110
35,0.7000000000000001,380,45,103
36,0.75,392,45,82
37,0.8,415,31,75
38,0.8500000000000001,406,40,68
39,0.9,438,26,50
40,0.9500000000000001,441,27,41
41,1.0,452,21,40
42,0.0,205,114,239
43,0.05,188,123,234
44,0.1,229,116,215
45,0.15000000000000002,235,109,209
46,0.2,256,93,207
47,0.25,270,85,210
48,0.30000000000000004,300,95,156
49,0.35000000000000003,280,92,179
50,0.4,303,99,141
51,0.45,316,79,134
52,0.5,337,74,128
53,0.55,335,67,134
54,0.6000000000000001,340,66,118
55,0.65,374,53,100
56,0.7000000000000001,382,56,78
57,0.75,373,55,102
58,0.8,413,35,72
59,0.8500000000000001,432,29,51
60,0.9,417,37,59
61,0.9500000000000001,440,20,51
62,1.0,448,21,40
63,0.0,221,115,241
64,0.05,202,123,229
65,0.1,218,103,243
66,0.15000000000000002,238,117,202
67,0.2,241,91,213
68,0.25,271,90,200
69,0.30000000000000004,281,90,182
70,0.35000000000000003,300,77,165
71,0.4,298,88,156
72,0.45,320,68,157
73,0.5,316,78,140
74,0.55,347,70,115
75,0.6000000000000001,356,61,122
76,0.65,358,56,109
77,0.7000000000000001,366,55,103
78,0.75,401,42,78
79,0.8,398,47,73
80,0.8500000000000001,417,33,70
81,0.9,428,32,52
82,0.9500000000000001,446,26,41
83,1.0,448,19,41
84,0.0,203,106,271
85,0.05,194,121,232
86,0.1,209,108,222
87,0.15000000000000002,223,111,227
88,0.2,246,97,208
89,0.25,264,98,191
90,0.30000000000000004,267,89,183
91,0.35000000000000003,284,86,172
92,0.4,309,83,155
93,0.45,317,62,164
94,0.5,333,61,145
95,0.55,329,70,129
96,0.6000000000000001,349,71,105
97,0.65,358,57,114
98,0.7000000000000001,389,32,102
99,0.75,399,31,89
100,0.8,400,32,88
101,0.8500000000000001,422,26,75
102,0.9,433,27,48
103,0.9500000000000001,448,19,46
104,1.0,455,23,27
105,0.0,189,120,250
106,0.05,203,118,254
107,0.1,211,117,230
108,0.15000000000000002,247,113,215
109,0.2,251,94,214
110,0.25,263,85,206
111,0.30000000000000004,283,102,163
112,0.35000000000000003,297,80,171
113,0.4,314,73,149
114,0.45,309,93,139
115,0.5,326,65,139
116,0.55,355,53,126
117,0.6000000000000001,353,60,122
118,0.65,363,54,111
119,0.7000000000000001,396,44,82
120,0.75,384,54,83
121,0.8,410,37,72
122,0.8500000000000001,424,33,56
123,0.9,428,24,67
124,0.9500000000000001,441,22,54
125,1.0,459,20,24
126,0.0,198,119,257
127,0.05,226,111,224
128,0.1,233,118,203
129,0.15000000000000002,248,98,213
130,0.2,236,119,185
131,0.25,248,98,203
132,0.30000000000000004,277,91,177
133,0.35000000000000003,284,93,165
134,0.4,301,77,164
135,0.45,334,71,137
136,0.5,331,76,134
137,0.55,320,78,131
138,0.6000000000000001,345,64,114
139,0.65,360,57,119
140,0.7000000000000001,384,54,96
141,0.75,396,43,86
142,0.8,410,40,71
143,0.8500000000000001,419,29,59
144,0.9,422,35,60
145,0.9500000000000001,441,17,53
146,1.0,454,21,31
147,0.0,206,123,245
148,0.05,214,119,228
149,0.1,225,122,210
150,0.15000000000000002,229,109,212
151,0.2,253,104,193
152,0.25,279,74,198
153,0.30000000000000004,275,90,188
154,0.35000000000000003,298,76,186
155,0.4,322,72,153
156,0.45,310,80,144
157,0.5,347,61,121
158,0.55,331,76,118
159,0.6000000000000001,370,54,111
160,0.65,386,47,95
161,0.7000000000000001,369,61,93
162,0.75,385,49,92
163,0.8,411,28,72
164,0.8500000000000001,429,44,47
165,0.9,429,28,53
166,0.9500000000000001,453,26,26
167,1.0,454,21,33
168,0.0,209,113,248
169,0.05,205,122,235
170,0.1,209,121,224
171,0.15000000000000002,232,101,218
172,0.2,249,96,201
173,0.25,274,108,170
174,0.30000000000000004,300,92,168
175,0.35000000000000003,283,90,173
176,0.4,294,86,170
177,0.45,305,79,159
178,0.5,337,61,139
179,0.55,324,74,139
180,0.6000000000000001,348,64,112
181,0.65,364,43,120
182,0.7000000000000001,372,45,110
183,0.75,395,48,80
184,0.8,405,37,79
185,0.8500000000000001,413,41,65
186,0.9,433,26,55
187,0.9500000000000001,446,23,48
188,1.0,452,25,32
189,0.0,225,104,243
190,0.05,197,112,254
191,0.1,228,98,230
192,0.15000000000000002,225,106,218
193,0.2,255,93,206
194,0.25,275,87,199
195,0.30000000000000004,264,87,192
196,0.35000000000000003,276,87,179
197,0.4,283,80,173
198,0.45,304,78,159
199,0.5,333,66,139
200,0.55,324,59,147
201,0.6000000000000001,356,66,96
202,0.65,375,45,114
203,0.7000000000000001,372,55,100
204,0.75,398,35,87
205,0.8,413,35,68
206,0.8500000000000001,414,30,76
207,0.9,434,25,56
208,0.9500000000000001,452,24,34
209,1.0,462,15,30
210,0.0,202,109,252
211,0.05,193,111,253
212,0.1,199,125,236
213,0.15000000000000002,223,111,217
214,0.2,231,114,205
215,0.25,270,105,171
216,0.30000000000000004,281,97,164
217,0.35000000000000003,265,107,169
218,0.4,297,78,173
219,0.45,316,67,149
220,0.5,331,65,141
221,0.55,342,65,126
222,0.6000000000000001,361,61,112
223,0.65,385,50,98
224,0.7000000000000001,381,51,92
225,0.75,389,47,89
226,0.8,403,38,79
227,0.8500000000000001,430,29,59
228,0.9,438,19,53
229,0.9500000000000001,441,29,45
230,1.0,463,17,28
231,0.0,196,118,254
232,0.05,227,105,222
233,0.1,213,109,238
234,0.15000000000000002,233,108,212
235,0.2,240,102,211
236,0.25,267,83,206
237,0.30000000000000004,267,96,184
238,0.35000000000000003,295,82,159
239,0.4,315,73,146
240,0.45,298,81,163
241,0.5,343,58,132
242,0.55,361,51,115
243,0.6000000000000001,353,57,118
244,0.65,351,61,117
245,0.7000000000000001,401,46,75
246,0.75,401,39,85
247,0.8,401,39,70
248,0.8500000000000001,411,34,71
249,0.9,442,25,50
250,0.9500000000000001,446,24,39
