,bh_ratio,alive,dead,transient
0,0.0,219,124,231
1,0.05,201,119,243
2,0.1,223,113,215
3,0.15000000000000002,218,118,212
4,0.2,252,91,217
5,0.25,266,98,178
6,0.30000000000000004,277,102,161
7,0.35000000000000003,297,78,164
8,0.4,326,70,151
9,0.45,303,86,145
10,0.5,332,71,134
11,0.55,333,72,127
12,0.6000000000000001,359,59,114
13,0.65,379,37,109
14,0.7000000000000001,390,40,92
15,0.75,388,46,90
16,0.8,412,30,80
17,0.8500000000000001,429,31,59
18,0.9,437,25,53
19,0.9500000000000001,458,20,29
20,1.0,454,12,42
21,0.0,197,120,250
22,0.05,204,117,238
23,0.1,222,124,212
24,0.15000000000000002,229,107,215
25,0.2,257,86,211
26,0.25,274,86,190
27,0.30000000000000004,297,81,181
28,0.35000000000000003,263,97,191
29,0.4,303,72,161
30,0.45,323,77,130
31,0.5,332,84,132
32,0.55,318,70,141
33,0.6000000000000001,355,53,117
34,0.65,368,60,103
35,0.7000000000000001,374,44,111
36,0.75,399,36,98
37,0.8,390,36,90
38,0.8500000000000001,416,29,74
39,0.9,432,32,48
40,0.9500000000000001,446,16,48
41,1.0,454,18,34
42,0.0,192,144,228
43,0.05,206,121,219
44,0.1,225,110,232
45,0.15000000000000002,233,111,207
46,0.2,238,115,187
47,0.25,257,103,186
48,0.30000000000000004,266,97,179
49,0.35000000000000003,280,83,176
50,0.4,312,86,157
51,0.45,314,70,154
52,0.5,308,71,159
53,0.55,340,61,130
54,0.6000000000000001,351,61,113
55,0.65,360,59,103
56,0.7000000000000001,366,47,110
57,0.75,396,49,77
58,0.8,399,45,70
59,0.8500000000000001,414,33,72
60,0.9,426,29,61
61,0.9500000000000001,455,15,40
62,1.0,450,18,39
63,0.0,179,140,243
64,0.05,202,119,238
65,0.1,216,117,220
66,0.15000000000000002,222,126,192
67,0.2,244,95,208
68,0.25,252,106,186
69,0.30000000000000004,286,87,175
70,0.35000000000000003,294,96,159
71,0.4,302,89,152
72,0.45,302,85,153
73,0.5,317,67,161
74,0.55,339,65,131
75,0.6000000000000001,363,47,123
76,0.65,372,47,109
77,0.7000000000000001,374,51,102
78,0.75,378,45,102
79,0.8,407,38,71
80,0.8500000000000001,417,30,67
81,0.9,437,28,43
82,0.9500000000000001,441,21,45
83,1.0,464,14,35
84,0.0,200,108,252
85,0.05,211,110,243
86,0.1,240,102,225
87,0.15000000000000002,237,101,215
88,0.2,234,103,213
89,0.25,251,101,195
90,0.30000000000000004,252,115,195
91,0.35000000000000003,265,102,181
92,0.4,306,73,163
93,0.45,317,80,144
94,0.5,335,62,133
95,0.55,339,75,111
96,0.6000000000000001,342,66,113
97,0.65,359,51,111
98,0.7000000000000001,377,55,84
99,0.75,383,53,78
100,0.8,410,40,68
101,0.8500000000000001,416,35,71
102,0.9,437,32,47
103,0.9500000000000001,449,15,52
104,1.0,460,17,35
105,0.0,186,129,243
106,0.05,234,119,234
107,0.1,204,106,245
108,0.15000000000000002,238,117,195
109,0.2,236,94,216
110,0.25,271,83,198
111,0.30000000000000004,289,93,164
112,0.35000000000000003,283,84,176
113,0.4,293,93,165
114,0.45,312,72,157
115,0.5,341,59,150
116,0.55,350,66,117
117,0.6000000000000001,355,60,115
118,0.65,364,49,107
119,0.7000000000000001,388,44,93
120,0.75,394,46,90
121,0.8,415,34,73
122,0.8500000000000001,424,33,70
123,0.9,425,28,61
124,0.9500000000000001,454,16,43
125,1.0,460,23,22
126,0.0,184,140,236
127,0.05,215,118,223
128,0.1,227,110,223
129,0.15000000000000002,222,117,220
130,0.2,241,105,206
131,0.25,263,107,177
132,0.30000000000000004,264,95,183
133,0.35000000000000003,286,90,169
134,0.4,314,81,150
135,0.45,344,60,134
136,0.5,332,65,139
137,0.55,346,70,113
138,0.6000000000000001,354,55,127
139,0.65,364,55,112
140,0.7000000000000001,375,48,104
141,0.75,395,38,90
142,0.8,427,29,63
143,0.8500000000000001,423,32,61
144,0.9,438,18,60
145,0.9500000000000001,443,21,48
146,1.0,455,8,48
147,0.0,205,134,234
148,0.05,204,115,251
149,0.1,214,107,241
150,0.15000000000000002,226,110,223
151,0.2,254,103,187
152,0.25,262,96,176
153,0.30000000000000004,289,75,192
154,0.35000000000000003,298,87,158
155,0.4,310,83,156
156,0.45,319,83,148
157,0.5,348,63,131
158,0.55,333,73,124
159,0.6000000000000001,342,71,109
160,0.65,379,53,97
161,0.7000000000000001,358,64,102
162,0.75,401,40,75
163,0.8,400,46,77
164,0.8500000000000001,427,26,67
165,0.9,437,19,60
166,0.9500000000000001,440,21,50
167,1.0,463,15,35
168,0.0,178,140,229
169,0.05,196,118,252
170,0.1,218,110,220
171,0.15000000000000002,220,115,219
172,0.2,258,87,208
173,0.25,256,104,203
174,0.30000000000000004,276,82,183
175,0.35000000000000003,289,78,188
176,0.4,304,72,160
177,0.45,320,77,140
178,0.5,329,64,142
179,0.55,326,63,145
180,0.6000000000000001,347,64,117
181,0.65,361,57,106
182,0.7000000000000001,387,51,92
183,0.75,376,46,99
184,0.8,414,39,69
185,0.8500000000000001,419,32,63
186,0.9,432,20,68
187,0.9500000000000001,444,27,48
188,1.0,454,19,37
189,0.0,205,124,241
190,0.05,200,127,227
191,0.1,213,117,237
192,0.15000000000000002,235,107,211
193,0.2,249,86,213
194,0.25,247,93,215
195,0.30000000000000004,270,99,169
196,0.35000000000000003,295,84,170
197,0.4,308,77,149
198,0.45,332,59,158
199,0.5,317,74,141
200,0.55,337,60,130
201,0.6000000000000001,338,52,145
202,0.65,349,66,122
203,0.7000000000000001,376,56,90
204,0.75,387,49,84
205,0.8,400,45,81
206,0.8500000000000001,406,30,85
207,0.9,450,22,48
208,0.9500000000000001,448,22,40
209,1.0,446,23,40
210,0.0,198,125,229
211,0.05,212,99,253
212,0.1,213,122,213
213,0.15000000000000002,234,93,212
214,0.2,235,98,224
215,0.25,272,90,191
216,0.30000000000000004,277,92,170
217,0.35000000000000003,283,76,185
218,0.4,310,75,155
219,0.45,318,70,159
220,0.5,341,61,133
221,0.55,349,54,132
222,0.6000000000000001,343,60,123
223,0.65,389,33,122
224,0.7000000000000001,380,45,90
225,0.75,376,52,92
226,0.8,401,39,82
227,0.8500000000000001,416,28,74
228,0.9,447,21,46
229,0.9500000000000001,456,20,39
230,1.0,453,13,37
231,0.0,202,118,250
232,0.05,200,118,234
233,0.1,224,110,223
234,0.15000000000000002,232,113,200
235,0.2,250,109,193
236,0.25,256,97,198
237,0.30000000000000004,286,71,190
238,0.35000000000000003,285,87,167
239,0.4,309,80,155
240,0.45,309,74,162
241,0.5,312,66,159
242,0.55,348,70,126
243,0.6000000000000001,342,64,123
244,0.65,354,59,117
245,0.7000000000000001,384,52,95
246,0.75,399,50,75
247,0.8,402,42,81
