,alive,bh_ratio,dead,transient
0,209,0.0,121,221
1,214,0.05,109,238
2,219,0.1,116,219
3,228,0.15000000000000002,108,217
4,261,0.2,87,212
5,252,0.25,86,207
6,306,0.30000000000000004,76,173
7,285,0.35000000000000003,90,175
8,281,0.4,88,174
9,296,0.45,92,156
10,336,0.5,59,139
11,346,0.55,62,122
12,362,0.6000000000000001,64,99
13,366,0.65,51,111
14,375,0.7000000000000001,52,110
15,402,0.75,45,73
16,395,0.8,40,82
17,416,0.8500000000000001,39,63
18,446,0.9,21,44
19,452,0.9500000000000001,14,53
20,460,1.0,7,43
21,179,0.0,130,251
22,197,0.05,136,227
23,232,0.1,112,209
24,202,0.15000000000000002,130,213
25,282,0.2,89,192
26,254,0.25,86,214
27,269,0.30000000000000004,90,187
28,282,0.35000000000000003,95,160
29,306,0.4,86,140
30,324,0.45,85,130
31,328,0.5,64,144
32,341,0.55,55,141
33,351,0.6000000000000001,65,112
34,360,0.65,58,114
35,376,0.7000000000000001,57,90
36,391,0.75,38,93
37,399,0.8,52,63
38,420,0.8500000000000001,35,61
39,445,0.9,20,49
40,453,0.9500000000000001,19,37
41,448,1.0,27,36
42,181,0.0,137,240
43,192,0.05,125,241
44,222,0.1,133,203
45,235,0.15000000000000002,108,214
46,229,0.2,111,209
47,262,0.25,101,187
48,282,0.30000000000000004,95,166
49,275,0.35000000000000003,95,173
50,309,0.4,62,162
51,314,0.45,75,149
52,327,0.5,79,123
53,356,0.55,66,119
54,355,0.6000000000000001,67,108
55,372,0.65,48,106
56,391,0.7000000000000001,46,92
57,402,0.75,48,73
58,398,0.8,44,83
59,410,0.8500000000000001,36,66
60,440,0.9,27,46
61,444,0.9500000000000001,21,45
62,449,1.0,22,38
63,201,0.0,107,261
64,183,0.05,116,260
65,237,0.1,105,222
66,243,0.15000000000000002,101,210
67,236,0.2,99,221
68,266,0.25,94,191
69,275,0.30000000000000004,88,185
70,288,0.35000000000000003,92,164
71,313,0.4,75,150
72,329,0.45,64,143
73,325,0.5,65,150
74,332,0.55,66,128
75,357,0.6000000000000001,55,116
76,386,0.65,54,93
77,373,0.7000000000000001,56,95
78,397,0.75,44,76
79,412,0.8,26,79
80,424,0.8500000000000001,26,69
81,434,0.9,26,55
82,469,0.9500000000000001,12,28
83,461,1.0,19,28
84,209,0.0,123,251
85,184,0.05,127,247
86,212,0.1,133,218
87,239,0.15000000000000002,93,232
88,214,0.2,119,211
89,261,0.25,88,206
90,270,0.30000000000000004,88,195
91,283,0.35000000000000003,96,167
92,305,0.4,69,163
93,320,0.45,81,137
94,323,0.5,59,155
95,356,0.55,54,115
96,354,0.6000000000000001,60,114
97,360,0.65,50,119
98,368,0.7000000000000001,53,108
99,388,0.75,46,85
100,409,0.8,41,66
101,417,0.8500000000000001,29,80
102,433,0.9,23,62
103,447,0.9500000000000001,20,44
104,453,1.0,14,41
105,228,0.0,110,239
106,229,0.05,112,226
107,214,0.1,113,220
108,200,0.15000000000000002,110,234
109,249,0.2,90,211
110,258,0.25,90,201
111,273,0.30000000000000004,98,181
112,274,0.35000000000000003,100,179
113,313,0.4,79,149
114,307,0.45,77,159
115,334,0.5,71,134
116,330,0.55,67,140
117,345,0.6000000000000001,52,125
118,377,0.65,43,103
119,394,0.7000000000000001,45,99
120,405,0.75,41,73
121,405,0.8,39,67
122,416,0.8500000000000001,33,72
123,425,0.9,29,58
124,449,0.9500000000000001,18,43
125,463,1.0,20,26
126,184,0.0,135,245
127,224,0.05,133,212
128,237,0.1,107,223
129,246,0.15000000000000002,79,236
130,265,0.2,92,198
131,239,0.25,102,202
132,284,0.30000000000000004,91,171
133,294,0.35000000000000003,88,166
134,289,0.4,77,170
135,305,0.45,71,160
136,314,0.5,68,156
137,348,0.55,62,133
138,353,0.6000000000000001,55,116
139,380,0.65,51,103
140,356,0.7000000000000001,57,108
141,381,0.75,45,96
142,408,0.8,43,65
143,423,0.8500000000000001,31,67
144,432,0.9,29,59
145,440,0.9500000000000001,25,41
146,453,1.0,23,35
147,189,0.0,121,250
148,210,0.05,125,227
149,227,0.1,118,206
150,235,0.15000000000000002,101,225
151,236,0.2,114,207
152,256,0.25,105,188
153,273,0.30000000000000004,96,178
154,289,0.35000000000000003,82,168
155,290,0.4,81,165
156,315,0.45,79,138
157,322,0.5,69,160
158,334,0.55,66,138
159,363,0.6000000000000001,67,98
160,350,0.65,54,125
161,379,0.7000000000000001,42,106
162,395,0.75,46,86
163,414,0.8,39,67
164,427,0.8500000000000001,29,62
165,414,0.9,32,68
166,439,0.9500000000000001,26,42
167,449,1.0,20,45
168,172,0.0,148,243
169,210,0.05,118,227
170,211,0.1,106,243
171,235,0.15000000000000002,105,217
172,250,0.2,100,199
173,262,0.25,97,188
174,254,0.30000000000000004,99,194
175,289,0.35000000000000003,88,161
176,297,0.4,81,157
177,308,0.45,87,142
178,344,0.5,61,134
179,333,0.55,62,137
180,350,0.6000000000000001,54,121
181,380,0.65,56,93
182,365,0.7000000000000001,59,103
183,396,0.75,41,90
184,382,0.8,49,85
185,427,0.8500000000000001,26,67
186,426,0.9,32,59
187,433,0.9500000000000001,31,48
188,454,1.0,16,40
189,196,0.0,127,233
190,195,0.05,122,238
191,219,0.1,116,226
192,236,0.15000000000000002,111,201
193,235,0.2,99,222
194,259,0.25,107,189
195,290,0.30000000000000004,74,179
196,298,0.35000000000000003,84,167
197,286,0.4,98,166
198,302,0.45,86,154
199,314,0.5,70,145
200,356,0.55,65,115
201,345,0.6000000000000001,69,135
202,362,0.65,50,121
203,371,0.7000000000000001,51,100
204,386,0.75,54,80
205,396,0.8,41,75
206,415,0.8500000000000001,41,65
207,436,0.9,25,57
208,450,0.9500000000000001,20,42
209,470,1.0,12,27
210,194,0.0,131,233
211,203,0.05,112,248
212,213,0.1,95,239
213,228,0.15000000000000002,111,207
214,263,0.2,101,183
215,261,0.25,103,194
216,257,0.30000000000000004,106,188
217,287,0.35000000000000003,85,164
218,304,0.4,92,146
219,312,0.45,75,158
220,317,0.5,71,152
221,365,0.55,63,110
222,369,0.6000000000000001,55,104
223,353,0.65,62,104
224,392,0.7000000000000001,40,92
225,396,0.75,38,88
226,416,0.8,38,60
227,408,0.8500000000000001,31,77
228,423,0.9,31,62
229,441,0.9500000000000001,21,44
230,452,1.0,23,33
231,198,0.0,116,255
232,209,0.05,108,245
233,214,0.1,124,232
234,237,0.15000000000000002,114,202
235,229,0.2,97,224
236,265,0.25,80,207
237,281,0.30000000000000004,87,169
238,290,0.35000000000000003,97,171
239,309,0.4,75,154
240,317,0.45,70,151
241,318,0.5,63,153
242,337,0.55,65,130
243,359,0.6000000000000001,63,110
244,371,0.65,56,103
245,383,0.7000000000000001,49,99
246,401,0.75,42,75
247,413,0.8,40,77
248,411,0.8500000000000001,37,63
249,439,0.9,22,47
250,434,0.9500000000000001,35,41
251,451,1.0,24,36
252,193,0.0,103,266
253,190,0.05,119,256
254,204,0.1,124,224
255,230,0.15000000000000002,112,215
256,271,0.2,92,192
257,249,0.25,110,190
258,265,0.30000000000000004,87,191
259,284,0.35000000000000003,80,182
260,311,0.4,61,164
261,313,0.45,62,163
262,319,0.5,73,134
263,329,0.55,71,126
264,367,0.6000000000000001,50,119
265,373,0.65,49,114
266,365,0.7000000000000001,63,99
267,385,0.75,49,84
268,392,0.8,41,85
269,422,0.8500000000000001,36,64
270,423,0.9,24,61
271,443,0.9500000000000001,21,42
272,456,1.0,27,26
273,202,0.0,105,258
274,208,0.05,112,242
275,216,0.1,127,221
276,224,0.15000000000000002,105,225
277,246,0.2,96,201
278,235,0.25,109,201
279,290,0.30000000000000004,96,168
280,291,0.35000000000000003,77,176
281,310,0.4,85,154
282,323,0.45,72,142
283,339,0.5,58,144
284,359,0.55,57,123
285,355,0.6000000000000001,66,103
286,371,0.65,52,105
287,374,0.7000000000000001,49,96
288,405,0.75,38,77
289,416,0.8,38,63
290,413,0.8500000000000001,39,59
291,431,0.9,29,55
292,438,0.9500000000000001,27,46
293,467,1.0,13,32
294,213,0.0,132,233
295,197,0.05,123,231
296,209,0.1,120,228
297,227,0.15000000000000002,119,205
298,232,0.2,116,202
299,262,0.25,99,194
300,293,0.30000000000000004,74,187
301,305,0.35000000000000003,84,155
302,310,0.4,72,162
303,306,0.45,68,161
304,331,0.5,74,126
305,352,0.55,55,118
306,359,0.6000000000000001,46,131
307,354,0.65,57,122
308,381,0.7000000000000001,44,110
309,387,0.75,38,104
310,398,0.8,49,73
311,421,0.8500000000000001,30,65
312,422,0.9,35,59
313,437,0.9500000000000001,24,44
314,450,1.0,23,34
315,178,0.0,126,260
316,211,0.05,120,235
317,212,0.1,104,243
318,223,0.15000000000000002,117,202
319,228,0.2,102,231
320,258,0.25,110,185
321,282,0.30000000000000004,91,178
322,283,0.35000000000000003,87,170
323,307,0.4,72,164
324,318,0.45,77,142
325,322,0.5,65,149
326,326,0.55,60,147
327,352,0.6000000000000001,60,119
328,360,0.65,57,108
329,378,0.7000000000000001,51,95
330,406,0.75,36,76
331,390,0.8,38,93
332,435,0.8500000000000001,22,62
333,444,0.9,18,53
334,449,0.9500000000000001,19,41
335,452,1.0,15,43
336,201,0.0,130,232
337,202,0.05,111,251
338,213,0.1,111,226
339,237,0.15000000000000002,111,211
340,236,0.2,114,211
341,262,0.25,82,210
342,296,0.30000000000000004,72,178
343,279,0.35000000000000003,97,160
344,294,0.4,76,168
345,309,0.45,84,141
346,318,0.5,66,150
347,346,0.55,67,121
348,338,0.6000000000000001,63,123
349,357,0.65,61,103
350,368,0.7000000000000001,62,95
351,399,0.75,39,82
352,413,0.8,32,83
353,417,0.8500000000000001,26,78
354,428,0.9,35,49
355,443,0.9500000000000001,24,49
356,459,1.0,15,40
357,193,0.0,124,249
358,179,0.05,128,241
359,222,0.1,120,213
360,228,0.15000000000000002,103,224
361,248,0.2,103,194
362,266,0.25,92,196
363,269,0.30000000000000004,97,185
364,292,0.35000000000000003,83,172
365,305,0.4,83,155
366,320,0.45,65,160
367,334,0.5,71,123
368,352,0.55,61,119
369,330,0.6000000000000001,61,137
370,360,0.65,43,116
371,375,0.7000000000000001,48,102
372,385,0.75,44,85
373,396,0.8,45,81
374,419,0.8500000000000001,31,72
375,438,0.9,21,59
376,450,0.9500000000000001,18,46
377,445,1.0,21,43
378,203,0.0,127,238
379,213,0.05,97,260
380,212,0.1,116,221
381,233,0.15000000000000002,107,209
382,252,0.2,105,189
383,262,0.25,96,195
384,277,0.30000000000000004,86,192
385,276,0.35000000000000003,89,174
386,305,0.4,82,164
387,322,0.45,72,152
388,323,0.5,76,143
389,350,0.55,65,119
390,342,0.6000000000000001,69,122
391,363,0.65,56,113
392,375,0.7000000000000001,54,93
393,397,0.75,42,83
394,402,0.8,40,80
395,421,0.8500000000000001,34,63
396,419,0.9,30,68
397,438,0.9500000000000001,29,41
398,453,1.0,26,31
399,210,0.0,112,247
400,208,0.05,117,241
401,237,0.1,110,233
402,243,0.15000000000000002,112,215
403,256,0.2,97,210
404,281,0.25,95,193
405,275,0.30000000000000004,82,186
406,283,0.35000000000000003,90,173
407,289,0.4,85,170
408,312,0.45,73,157
409,332,0.5,60,146
410,328,0.55,77,134
411,355,0.6000000000000001,56,117
412,360,0.65,56,104
413,368,0.7000000000000001,53,92
414,377,0.75,49,91
415,407,0.8,45,66
416,428,0.8500000000000001,33,54
417,422,0.9,34,52
418,448,0.9500000000000001,21,42
419,462,1.0,15,32
420,186,0.0,124,266
421,223,0.05,122,221
422,238,0.1,112,201
423,221,0.15000000000000002,110,220
424,228,0.2,108,221
425,263,0.25,96,192
426,285,0.30000000000000004,82,180
427,288,0.35000000000000003,84,171
428,303,0.4,73,170
429,336,0.45,69,138
430,327,0.5,59,158
431,347,0.55,55,134
432,352,0.6000000000000001,65,113
433,368,0.65,49,99
434,380,0.7000000000000001,53,97
435,400,0.75,44,75
436,409,0.8,44,68
437,409,0.8500000000000001,31,82
438,432,0.9,26,62
439,444,0.9500000000000001,27,38
440,460,1.0,17,32
441,206,0.0,133,222
442,205,0.05,129,227
443,214,0.1,123,222
444,236,0.15000000000000002,107,213
445,255,0.2,110,194
446,264,0.25,106,180
447,280,0.30000000000000004,74,193
448,278,0.35000000000000003,101,169
449,302,0.4,85,154
450,303,0.45,74,155
451,287,0.5,75,170
452,333,0.55,70,123
453,366,0.6000000000000001,51,112
454,366,0.65,51,108
455,390,0.7000000000000001,38,104
456,384,0.75,48,82
457,395,0.8,41,90
458,422,0.8500000000000001,27,65
459,426,0.9,38,52
460,442,0.9500000000000001,17,47
461,457,1.0,19,32
462,182,0.0,134,244
463,204,0.05,118,234
464,236,0.1,111,216
