,alive,bh_ratio,dead,transient
0,191,0.0,118,247
1,213,0.05,116,235
2,223,0.1,108,238
3,242,0.15000000000000002,113,206
4,239,0.2,99,213
5,263,0.25,91,195
6,278,0.30000000000000004,83,189
7,302,0.35000000000000003,67,177
8,301,0.4,68,174
9,307,0.45,82,146
10,322,0.5,62,163
11,334,0.55,81,115
12,340,0.6000000000000001,65,120
13,362,0.65,56,108
14,402,0.7000000000000001,38,89
15,388,0.75,49,82
16,403,0.8,44,80
17,412,0.8500000000000001,32,70
18,427,0.9,31,52
19,442,0.9500000000000001,23,49
20,461,1.0,13,39
21,201,0.0,126,244
22,213,0.05,96,251
23,216,0.1,110,225
24,230,0.15000000000000002,119,209
25,255,0.2,102,208
26,244,0.25,105,207
27,285,0.30000000000000004,94,180
28,289,0.35000000000000003,79,173
29,305,0.4,79,163
30,329,0.45,61,159
31,330,0.5,67,133
32,344,0.55,65,131
33,374,0.6000000000000001,59,101
34,359,0.65,63,103
35,390,0.7000000000000001,52,92
36,390,0.75,47,84
37,401,0.8,42,70
38,430,0.8500000000000001,26,59
39,448,0.9,24,47
40,432,0.9500000000000001,29,48
41,455,1.0,16,38
42,196,0.0,117,251
43,201,0.05,142,224
44,210,0.1,136,211
45,238,0.15000000000000002,118,210
46,231,0.2,98,208
47,270,0.25,98,170
48,287,0.30000000000000004,86,183
49,301,0.35000000000000003,81,170
50,320,0.4,68,152
51,299,0.45,76,162
52,334,0.5,65,143
53,346,0.55,71,113
54,360,0.6000000000000001,64,115
55,356,0.65,61,103
56,381,0.7000000000000001,53,95
57,401,0.75,40,85
58,398,0.8,40,79
59,426,0.8500000000000001,33,58
60,439,0.9,22,52
61,453,0.9500000000000001,18,40
62,471,1.0,17,21
63,206,0.0,113,251
64,210,0.05,109,253
65,241,0.1,97,241
66,227,0.15000000000000002,107,215
67,238,0.2,110,202
68,260,0.25,100,184
69,277,0.30000000000000004,86,174
70,297,0.35000000000000003,95,155
71,326,0.4,72,141
72,322,0.45,73,146
73,317,0.5,83,136
74,338,0.55,66,137
75,361,0.6000000000000001,50,124
76,386,0.65,40,104
77,380,0.7000000000000001,53,96
78,410,0.75,32,82
79,411,0.8,31,83
80,411,0.8500000000000001,33,73
81,432,0.9,26,56
82,436,0.9500000000000001,18,57
83,466,1.0,17,22
84,192,0.0,113,253
85,209,0.05,126,224
86,235,0.1,110,206
87,235,0.15000000000000002,106,218
88,228,0.2,113,216
89,268,0.25,79,212
90,268,0.30000000000000004,104,169
91,288,0.35000000000000003,78,185
92,296,0.4,82,162
93,322,0.45,67,160
94,328,0.5,71,145
95,366,0.55,52,112
96,366,0.6000000000000001,59,113
97,379,0.65,55,88
98,369,0.7000000000000001,53,95
99,381,0.75,44,92
100,420,0.8,40,59
101,425,0.8500000000000001,27,75
102,433,0.9,26,51
103,450,0.9500000000000001,29,33
104,448,1.0,16,43
105,167,0.0,133,254
106,203,0.05,127,229
107,235,0.1,109,210
108,251,0.15000000000000002,93,202
109,236,0.2,99,221
110,265,0.25,94,200
111,275,0.30000000000000004,93,176
112,277,0.35000000000000003,102,165
113,289,0.4,85,165
114,323,0.45,74,137
115,327,0.5,78,129
116,347,0.55,55,137
117,369,0.6000000000000001,63,93
118,361,0.65,50,116
119,371,0.7000000000000001,60,98
120,384,0.75,41,103
121,419,0.8,31,72
122,425,0.8500000000000001,32,60
123,436,0.9,21,56
124,455,0.9500000000000001,21,38
125,447,1.0,28,31
126,201,0.0,117,254
127,218,0.05,115,236
