,alive,bh_ratio,dead,transient
0,194,0.0,122,237
1,217,0.05,119,225
2,219,0.1,101,249
3,238,0.15000000000000002,93,218
4,256,0.2,90,190
5,268,0.25,82,203
6,292,0.30000000000000004,86,171
7,275,0.35000000000000003,85,177
8,304,0.4,75,156
9,330,0.45,74,143
10,338,0.5,72,135
11,336,0.55,70,122
12,331,0.6000000000000001,70,126
13,360,0.65,56,114
14,396,0.7000000000000001,49,83
15,405,0.75,44,66
16,409,0.8,39,66
17,415,0.8500000000000001,30,71
18,424,0.9,35,55
19,442,0.9500000000000001,28,47
20,457,1.0,12,47
21,212,0.0,104,250
22,232,0.05,115,214
23,227,0.1,107,232
24,240,0.15000000000000002,101,212
25,233,0.2,122,190
26,268,0.25,94,183
27,279,0.30000000000000004,94,177
28,284,0.35000000000000003,87,171
29,304,0.4,83,157
30,301,0.45,75,163
31,340,0.5,77,126
32,332,0.55,78,125
33,341,0.6000000000000001,62,126
34,369,0.65,53,106
35,375,0.7000000000000001,51,99
36,389,0.75,42,88
37,396,0.8,36,87
38,409,0.8500000000000001,31,80
39,414,0.9,41,57
40,444,0.9500000000000001,18,49
41,465,1.0,17,26
42,193,0.0,122,241
43,193,0.05,124,237
44,223,0.1,108,228
45,240,0.15000000000000002,109,200
46,236,0.2,101,209
47,280,0.25,95,180
48,264,0.30000000000000004,102,183
49,303,0.35000000000000003,75,170
50,324,0.4,69,138
51,309,0.45,67,166
52,333,0.5,72,127
53,335,0.55,56,136
54,374,0.6000000000000001,36,125
55,334,0.65,77,111
56,370,0.7000000000000001,58,96
57,392,0.75,42,93
58,390,0.8,44,87
59,409,0.8500000000000001,24,90
60,430,0.9,32,51
61,444,0.9500000000000001,24,39
62,455,1.0,19,36
63,205,0.0,128,224
64,211,0.05,114,246
65,242,0.1,105,208
66,247,0.15000000000000002,98,201
67,257,0.2,97,197
68,262,0.25,98,185
69,282,0.30000000000000004,83,181
70,290,0.35000000000000003,92,167
71,320,0.4,63,159
72,284,0.45,84,168
73,323,0.5,78,131
74,344,0.55,61,137
75,365,0.6000000000000001,40,128
76,362,0.65,52,121
77,379,0.7000000000000001,59,83
78,384,0.75,54,94
79,399,0.8,39,81
80,428,0.8500000000000001,33,56
81,432,0.9,24,60
82,444,0.9500000000000001,29,38
83,460,1.0,17,30
84,183,0.0,132,240
85,205,0.05,121,224
86,209,0.1,128,219
87,227,0.15000000000000002,107,218
88,264,0.2,90,203
89,264,0.25,94,193
90,255,0.30000000000000004,104,175
91,297,0.35000000000000003,80,176
92,295,0.4,76,164
93,312,0.45,74,148
94,317,0.5,69,160
95,362,0.55,56,129
96,365,0.6000000000000001,55,106
97,378,0.65,48,108
98,373,0.7000000000000001,56,86
99,396,0.75,46,81
100,397,0.8,57,60
101,413,0.8500000000000001,43,64
102,432,0.9,34,43
103,454,0.9500000000000001,15,44
104,452,1.0,18,34
105,176,0.0,125,255
106,214,0.05,106,237
107,221,0.1,112,223
108,224,0.15000000000000002,120,206
109,246,0.2,105,216
110,255,0.25,109,187
111,278,0.30000000000000004,94,193
112,290,0.35000000000000003,80,175
113,307,0.4,65,177
114,294,0.45,78,162
115,315,0.5,78,138
116,330,0.55,65,137
117,342,0.6000000000000001,57,128
118,380,0.65,58,83
119,377,0.7000000000000001,52,99
120,377,0.75,60,83
121,405,0.8,40,78
122,419,0.8500000000000001,42,56
123,438,0.9,27,47
124,437,0.9500000000000001,17,56
125,451,1.0,25,32
126,207,0.0,120,229
127,217,0.05,108,240
128,217,0.1,103,238
129,229,0.15000000000000002,114,212
