,alive,bh_ratio,dead,transient
0,208,0.0,123,230
1,234,0.05,92,245
2,243,0.1,94,226
3,231,0.15000000000000002,108,219
4,239,0.2,107,197
5,267,0.25,100,196
6,290,0.30000000000000004,78,176
7,277,0.35000000000000003,94,166
8,299,0.4,71,172
9,312,0.45,83,148
10,334,0.5,67,136
11,310,0.55,71,146
12,360,0.6000000000000001,53,117
13,366,0.65,62,98
14,367,0.7000000000000001,49,111
15,410,0.75,43,66
16,409,0.8,40,72
17,428,0.8500000000000001,27,61
18,435,0.9,23,57
19,457,0.9500000000000001,16,38
20,455,1.0,18,30
21,202,0.0,119,253
22,222,0.05,114,232
23,208,0.1,116,236
24,227,0.15000000000000002,121,206
25,241,0.2,106,208
26,282,0.25,80,187
27,285,0.30000000000000004,74,187
28,291,0.35000000000000003,89,173
29,312,0.4,78,140
30,298,0.45,73,168
31,317,0.5,57,153
32,339,0.55,66,130
33,352,0.6000000000000001,65,119
34,373,0.65,54,105
35,387,0.7000000000000001,40,91
36,376,0.75,56,87
37,399,0.8,37,85
38,410,0.8500000000000001,25,83
39,437,0.9,24,53
40,441,0.9500000000000001,25,42
41,462,1.0,18,28
42,182,0.0,123,252
43,206,0.05,118,224
44,207,0.1,133,202
45,214,0.15000000000000002,116,203
46,253,0.2,104,201
47,279,0.25,83,189
48,302,0.30000000000000004,77,175
49,297,0.35000000000000003,71,184
50,309,0.4,84,156
51,314,0.45,80,146
52,333,0.5,66,140
53,333,0.55,61,137
54,348,0.6000000000000001,60,118
55,343,0.65,59,131
56,385,0.7000000000000001,47,94
57,392,0.75,41,87
58,414,0.8,33,68
59,431,0.8500000000000001,24,70
60,432,0.9,26,53
61,450,0.9500000000000001,16,41
62,460,1.0,17,35
63,204,0.0,108,251
64,213,0.05,114,224
65,216,0.1,105,231
66,243,0.15000000000000002,100,216
67,234,0.2,112,214
68,248,0.25,110,187
69,286,0.30000000000000004,89,178
70,322,0.35000000000000003,76,155
71,308,0.4,81,159
72,328,0.45,67,146
73,325,0.5,79,127
74,347,0.55,57,121
75,344,0.6000000000000001,78,105
76,364,0.65,51,109
77,375,0.7000000000000001,57,87
78,380,0.75,51,91
79,422,0.8,30,71
80,411,0.8500000000000001,43,68
81,420,0.9,34,56
82,461,0.9500000000000001,14,39
83,460,1.0,12,35
84,200,0.0,134,236
85,222,0.05,100,254
86,208,0.1,123,231
87,226,0.15000000000000002,101,224
88,246,0.2,94,224
89,247,0.25,115,190
90,293,0.30000000000000004,69,186
91,275,0.35000000000000003,82,187
92,295,0.4,92,148
93,314,0.45,76,150
94,327,0.5,79,125
95,333,0.55,69,133
96,362,0.6000000000000001,62,111
97,349,0.65,57,124
98,390,0.7000000000000001,43,96
99,397,0.75,42,79
100,414,0.8,37,67
101,414,0.8500000000000001,41,69
102,423,0.9,33,54
103,444,0.9500000000000001,25,44
104,461,1.0,16,36
105,199,0.0,122,244
106,211,0.05,108,235
107,228,0.1,113,228
108,250,0.15000000000000002,101,223
109,259,0.2,112,187
110,245,0.25,112,198
111,263,0.30000000000000004,106,175
112,276,0.35000000000000003,86,173
113,306,0.4,62,196
114,321,0.45,73,148
115,320,0.5,70,159
116,330,0.55,74,135
117,360,0.6000000000000001,65,102
118,366,0.65,60,104
119,376,0.7000000000000001,51,94
120,393,0.75,48,84
121,402,0.8,49,65
122,439,0.8500000000000001,28,55
123,449,0.9,19,46
124,439,0.9500000000000001,21,53
125,454,1.0,15,42
126,181,0.0,131,248
127,211,0.05,107,241
128,243,0.1,95,221
129,252,0.15000000000000002,99,212
130,241,0.2,107,215
131,261,0.25,86,190
132,278,0.30000000000000004,85,179
133,297,0.35000000000000003,78,166
134,317,0.4,76,148
135,330,0.45,68,141
136,324,0.5,78,133
137,352,0.55,50,129
138,358,0.6000000000000001,53,113
139,354,0.65,61,113
140,391,0.7000000000000001,53,78
141,382,0.75,44,94
142,404,0.8,37,75
143,421,0.8500000000000001,33,66
144,423,0.9,32,57
145,435,0.9500000000000001,31,43
146,460,1.0,19,30
147,203,0.0,121,241
148,226,0.05,98,246
149,228,0.1,97,250
150,230,0.15000000000000002,109,210
151,252,0.2,107,196
152,262,0.25,88,200
153,280,0.30000000000000004,85,190
154,290,0.35000000000000003,90,169
155,315,0.4,79,144
156,309,0.45,73,147
157,347,0.5,62,134
158,336,0.55,72,128
159,334,0.6000000000000001,61,123
160,363,0.65,49,124
161,365,0.7000000000000001,45,108
162,398,0.75,41,79
163,404,0.8,44,71
164,411,0.8500000000000001,39,66
165,420,0.9,19,78
166,448,0.9500000000000001,18,47
167,456,1.0,22,27
168,193,0.0,120,248
169,211,0.05,137,213
170,218,0.1,91,251
171,224,0.15000000000000002,97,243
172,239,0.2,110,202
173,290,0.25,84,176
174,289,0.30000000000000004,80,184
175,298,0.35000000000000003,78,175
176,307,0.4,80,147
177,323,0.45,65,159
178,341,0.5,59,138
179,335,0.55,58,140
180,365,0.6000000000000001,43,115
181,373,0.65,54,101
182,387,0.7000000000000001,51,91
183,400,0.75,45,79
184,415,0.8,41,66
185,408,0.8500000000000001,41,68
186,421,0.9,35,60
187,446,0.9500000000000001,23,42
188,464,1.0,14,34
189,191,0.0,122,253
190,226,0.05,133,214
191,221,0.1,105,237
192,244,0.15000000000000002,100,209
193,267,0.2,84,210
194,270,0.25,83,213
195,294,0.30000000000000004,88,161
196,282,0.35000000000000003,79,181
197,294,0.4,83,159
198,321,0.45,71,161
199,322,0.5,78,136
200,343,0.55,64,119
201,341,0.6000000000000001,65,121
202,363,0.65,62,100
203,384,0.7000000000000001,43,95
204,381,0.75,48,89
205,402,0.8,40,77
206,416,0.8500000000000001,39,58
207,429,0.9,29,57
208,444,0.9500000000000001,16,49
209,458,1.0,14,40
210,201,0.0,121,243
211,220,0.05,116,228
212,218,0.1,113,225
213,234,0.15000000000000002,117,204
214,249,0.2,88,219
215,255,0.25,114,179
