,alive,bh_ratio,dead,transient
0,78,0.0,168,332
1,107,0.05,154,320
2,120,0.1,153,297
3,140,0.15000000000000002,143,288
4,164,0.2,132,282
5,190,0.25,121,261
6,202,0.30000000000000004,114,236
7,227,0.35000000000000003,107,221
8,242,0.4,109,207
9,259,0.45,96,189
10,271,0.5,93,174
11,294,0.55,80,171
12,301,0.6000000000000001,73,164
13,333,0.65,60,145
14,342,0.7000000000000001,55,135
15,364,0.75,51,105
16,377,0.8,49,98
17,416,0.8500000000000001,29,70
18,439,0.9,18,61
19,452,0.9500000000000001,19,41
20,466,1.0,11,30
21,97,0.0,171,329
22,113,0.05,153,316
23,118,0.1,175,281
24,153,0.15000000000000002,152,266
25,155,0.2,133,281
26,172,0.25,123,256
27,211,0.30000000000000004,116,241
28,218,0.35000000000000003,118,220
29,243,0.4,94,211
30,253,0.45,101,190
31,278,0.5,77,197
32,298,0.55,68,182
33,303,0.6000000000000001,73,171
34,336,0.65,58,138
35,343,0.7000000000000001,59,129
36,376,0.75,48,100
37,400,0.8,36,81
38,408,0.8500000000000001,35,72
39,429,0.9,28,54
40,433,0.9500000000000001,30,50
41,467,1.0,15,25
42,84,0.0,152,348
43,129,0.05,161,312
44,126,0.1,154,294
45,133,0.15000000000000002,166,271
46,181,0.2,142,244
47,187,0.25,125,258
48,203,0.30000000000000004,104,263
49,229,0.35000000000000003,115,222
50,241,0.4,87,237
51,265,0.45,94,185
52,266,0.5,85,199
53,297,0.55,91,147
54,313,0.6000000000000001,84,161
55,337,0.65,63,136
56,363,0.7000000000000001,60,99
57,361,0.75,53,103
58,407,0.8,35,79
59,395,0.8500000000000001,38,84
60,433,0.9,33,44
61,449,0.9500000000000001,19,46
62,471,1.0,7,30
63,79,0.0,155,345
64,120,0.05,141,334
65,122,0.1,150,309
66,144,0.15000000000000002,155,274
67,152,0.2,156,258
68,181,0.25,141,249
69,175,0.30000000000000004,135,243
70,231,0.35000000000000003,121,204
71,260,0.4,92,217
72,277,0.45,90,180
73,291,0.5,91,159
74,293,0.55,77,178
75,301,0.6000000000000001,75,169
76,327,0.65,60,143
77,346,0.7000000000000001,76,107
78,361,0.75,63,94
79,383,0.8,42,100
80,403,0.8500000000000001,37,73
81,429,0.9,29,57
82,454,0.9500000000000001,19,35
83,464,1.0,15,25
