,alive,bh_ratio,dead,transient
0,86,0.0,159,341
1,100,0.05,167,311
2,115,0.1,149,310
3,154,0.15000000000000002,141,286
4,166,0.2,132,275
5,182,0.25,124,253
6,187,0.30000000000000004,129,251
7,231,0.35000000000000003,116,199
8,237,0.4,100,214
9,239,0.45,90,221
10,279,0.5,83,173
11,304,0.55,67,180
12,322,0.6000000000000001,80,133
13,329,0.65,76,137
14,344,0.7000000000000001,58,128
15,376,0.75,51,98
16,392,0.8,40,97
17,424,0.8500000000000001,33,58
18,420,0.9,34,58
19,434,0.9500000000000001,23,49
20,467,1.0,13,29
21,65,0.0,183,317
22,113,0.05,154,327
23,121,0.1,151,303
24,142,0.15000000000000002,156,269
25,157,0.2,134,284
26,183,0.25,127,253
27,185,0.30000000000000004,122,245
28,200,0.35000000000000003,122,235
29,238,0.4,104,203
30,255,0.45,100,196
31,283,0.5,90,171
32,303,0.55,78,156
33,320,0.6000000000000001,78,135
34,345,0.65,61,124
35,350,0.7000000000000001,57,125
36,379,0.75,43,103
37,397,0.8,31,93
38,421,0.8500000000000001,35,61
39,435,0.9,21,57
40,433,0.9500000000000001,28,47
41,461,1.0,15,27
42,96,0.0,148,352
43,98,0.05,147,331
44,119,0.1,150,303
45,150,0.15000000000000002,131,293
46,162,0.2,142,269
47,189,0.25,126,265
48,203,0.30000000000000004,123,239
49,239,0.35000000000000003,108,221
50,236,0.4,95,219
51,251,0.45,92,216
52,290,0.5,86,165
53,290,0.55,100,150
54,336,0.6000000000000001,48,158
55,322,0.65,86,123
56,321,0.7000000000000001,68,148
57,378,0.75,46,100
58,391,0.8,38,87
59,391,0.8500000000000001,38,89
60,413,0.9,43,57
61,455,0.9500000000000001,17,34
62,459,1.0,16,28
63,86,0.0,174,326
64,95,0.05,162,319
65,128,0.1,145,312
66,137,0.15000000000000002,145,283
67,151,0.2,153,265
68,187,0.25,128,267
69,191,0.30000000000000004,132,237
70,205,0.35000000000000003,117,237
71,253,0.4,103,203
72,251,0.45,107,188
73,285,0.5,76,195
74,283,0.55,98,164
75,316,0.6000000000000001,65,159
76,341,0.65,60,128
77,365,0.7000000000000001,52,105
78,358,0.75,61,99
79,378,0.8,58,83
80,422,0.8500000000000001,27,71
81,432,0.9,17,64
82,446,0.9500000000000001,14,47
83,470,1.0,8,30
84,86,0.0,158,342
85,113,0.05,166,300
86,125,0.1,156,294
87,155,0.15000000000000002,157,282
88,149,0.2,131,291
89,180,0.25,130,258
90,231,0.30000000000000004,110,232
91,210,0.35000000000000003,109,237
92,249,0.4,95,215
93,251,0.45,92,213
94,286,0.5,88,177
95,303,0.55,77,163
96,330,0.6000000000000001,58,150
97,340,0.65,62,132
98,353,0.7000000000000001,62,117
99,363,0.75,44,113
100,387,0.8,36,93
101,397,0.8500000000000001,41,77
102,437,0.9,26,55
103,449,0.9500000000000001,20,42
104,471,1.0,15,20
105,69,0.0,181,319
106,100,0.05,163,322
107,129,0.1,153,307
108,148,0.15000000000000002,127,288
109,159,0.2,146,272
110,184,0.25,116,256
111,198,0.30000000000000004,125,241
112,213,0.35000000000000003,123,220
113,226,0.4,114,220
114,270,0.45,85,201
115,286,0.5,93,179
116,301,0.55,77,153
117,313,0.6000000000000001,79,151
118,322,0.65,65,136
119,349,0.7000000000000001,56,121
120,354,0.75,55,113
121,385,0.8,44,97
122,419,0.8500000000000001,25,71
123,421,0.9,30,55
124,444,0.9500000000000001,15,53
125,459,1.0,19,29
126,86,0.0,156,344
127,121,0.05,147,320
128,136,0.1,154,296
129,132,0.15000000000000002,156,278
130,155,0.2,146,271
131,192,0.25,108,264
132,177,0.30000000000000004,112,280
133,220,0.35000000000000003,105,229
134,248,0.4,110,187
135,259,0.45,104,188
136,286,0.5,79,176
137,295,0.55,72,177
138,319,0.6000000000000001,81,138
139,324,0.65,73,134
140,353,0.7000000000000001,61,103
141,376,0.75,47,101
142,385,0.8,49,90
143,418,0.8500000000000001,30,69
144,424,0.9,26,62
145,441,0.9500000000000001,24,42
146,457,1.0,13,35
147,93,0.0,180,320
148,96,0.05,167,307
149,120,0.1,162,286
150,139,0.15000000000000002,143,287
151,182,0.2,123,265
152,158,0.25,124,283
153,205,0.30000000000000004,112,248
154,222,0.35000000000000003,112,230
155,233,0.4,101,207
156,252,0.45,95,205
157,273,0.5,92,174
158,301,0.55,78,161
159,330,0.6000000000000001,66,139
160,329,0.65,76,129
161,346,0.7000000000000001,66,111
162,378,0.75,58,86
163,392,0.8,46,76
164,405,0.8500000000000001,32,81
165,421,0.9,29,60
166,444,0.9500000000000001,18,46
167,456,1.0,14,37
168,85,0.0,161,339
169,113,0.05,161,314
170,108,0.1,159,295
171,149,0.15000000000000002,129,296
172,156,0.2,136,274
173,184,0.25,115,263
174,214,0.30000000000000004,95,268
175,210,0.35000000000000003,117,243
176,230,0.4,123,205
177,266,0.45,88,204
178,260,0.5,99,180
179,293,0.55,72,178
180,315,0.6000000000000001,74,150
181,333,0.65,65,133
182,344,0.7000000000000001,57,130
183,360,0.75,40,122
184,393,0.8,40,93
185,423,0.8500000000000001,21,79
186,426,0.9,31,56
187,444,0.9500000000000001,26,38
188,462,1.0,17,24
189,84,0.0,163,337
190,99,0.05,173,308
191,115,0.1,168,287
192,136,0.15000000000000002,129,311
193,148,0.2,147,261
194,196,0.25,127,251
195,198,0.30000000000000004,124,233
196,210,0.35000000000000003,119,215
197,235,0.4,111,211
198,261,0.45,114,171
199,295,0.5,73,180
200,291,0.55,95,156
201,323,0.6000000000000001,62,160
202,338,0.65,65,138
203,343,0.7000000000000001,60,119
204,385,0.75,44,103
205,387,0.8,44,86
206,405,0.8500000000000001,33,82
207,427,0.9,30,59
208,438,0.9500000000000001,20,60
209,473,1.0,12,23
210,100,0.0,170,330
211,91,0.05,155,321
212,127,0.1,153,302
213,146,0.15000000000000002,154,270
214,187,0.2,134,270
215,194,0.25,135,234
216,196,0.30000000000000004,111,245
217,224,0.35000000000000003,119,210
218,248,0.4,107,201
219,248,0.45,107,186
220,291,0.5,84,176
221,289,0.55,85,166
222,322,0.6000000000000001,79,140
223,329,0.65,74,131
224,335,0.7000000000000001,62,126
225,355,0.75,58,110
226,392,0.8,37,93
227,416,0.8500000000000001,34,65
228,432,0.9,31,50
229,435,0.9500000000000001,22,54
230,459,1.0,15,28
231,86,0.0,170,330
232,123,0.05,143,329
233,107,0.1,161,304
234,138,0.15000000000000002,160,261
235,168,0.2,142,269
236,187,0.25,121,266
237,196,0.30000000000000004,119,251
238,214,0.35000000000000003,114,224
239,228,0.4,118,200
240,263,0.45,90,194
241,284,0.5,81,182
242,279,0.55,88,172
243,321,0.6000000000000001,78,129
244,339,0.65,61,136
245,345,0.7000000000000001,70,117
246,378,0.75,44,109
247,389,0.8,42,84
248,405,0.8500000000000001,39,75
249,426,0.9,25,62
250,446,0.9500000000000001,17,45
251,475,1.0,7,25
