,bh_ratio,alive,dead,transient
0,0.0,67,189,311
1,0.05,87,160,323
2,0.1,122,146,310
3,0.15000000000000002,145,127,307
4,0.2,174,113,288
5,0.25,186,113,263
6,0.30000000000000004,201,115,238
7,0.35000000000000003,217,97,250
8,0.4,238,105,207
9,0.45,247,105,187
10,0.5,267,99,180
11,0.55,296,77,167
12,0.6000000000000001,318,77,141
13,0.65,329,59,148
14,0.7000000000000001,342,60,119
15,0.75,377,53,98
16,0.8,384,46,92
17,0.8500000000000001,405,37,74
18,0.9,436,21,53
19,0.9500000000000001,439,26,48
20,1.0,458,10,39
21,0.0,82,175,325
22,0.05,114,161,318
23,0.1,117,144,308
24,0.15000000000000002,136,154,291
25,0.2,148,139,281
26,0.25,199,118,254
27,0.30000000000000004,198,122,241
28,0.35000000000000003,204,124,230
29,0.4,238,93,219
30,0.45,265,97,195
31,0.5,276,80,187
32,0.55,295,71,174
33,0.6000000000000001,317,59,171
34,0.65,332,67,132
35,0.7000000000000001,340,61,121
36,0.75,365,51,116
37,0.8,399,36,86
38,0.8500000000000001,404,31,86
39,0.9,419,28,68
40,0.9500000000000001,439,20,55
41,1.0,459,19,28
42,0.0,101,167,333
43,0.05,101,175,308
44,0.1,119,162,289
45,0.15000000000000002,147,133,302
46,0.2,153,140,281
47,0.25,176,119,279
48,0.30000000000000004,183,135,238
49,0.35000000000000003,208,120,216
50,0.4,243,111,207
51,0.45,270,101,179
52,0.5,277,80,185
53,0.55,286,80,172
54,0.6000000000000001,325,67,148
55,0.65,329,68,128
56,0.7000000000000001,347,60,125
57,0.75,384,39,113
58,0.8,393,37,89
59,0.8500000000000001,392,46,79
60,0.9,416,33,62
61,0.9500000000000001,436,26,47
62,1.0,464,14,25
63,0.0,94,174,326
64,0.05,121,164,308
65,0.1,114,136,323
66,0.15000000000000002,138,143,292
67,0.2,166,137,273
68,0.25,208,107,260
69,0.30000000000000004,186,127,247
70,0.35000000000000003,223,99,247
71,0.4,243,102,212
72,0.45,269,96,176
73,0.5,292,87,174
74,0.55,294,72,193
75,0.6000000000000001,317,61,155
76,0.65,339,61,147
77,0.7000000000000001,363,46,116
78,0.75,376,51,112
79,0.8,378,37,104
80,0.8500000000000001,410,43,65
81,0.9,429,25,55
82,0.9500000000000001,447,17,45
83,1.0,459,18,27
84,0.0,87,162,338
85,0.05,97,157,322
86,0.1,127,166,282
87,0.15000000000000002,161,134,287
88,0.2,158,153,254
89,0.25,170,131,258
90,0.30000000000000004,193,112,247
91,0.35000000000000003,205,107,242
92,0.4,236,93,230
93,0.45,262,94,198
94,0.5,270,98,176
95,0.55,285,86,170
96,0.6000000000000001,317,64,167
97,0.65,319,68,136
98,0.7000000000000001,334,69,124
99,0.75,377,56,91
100,0.8,391,38,95
101,0.8500000000000001,402,36,85
102,0.9,430,30,58
103,0.9500000000000001,452,15,45
104,1.0,468,11,28
105,0.0,86,164,336
106,0.05,117,163,309
107,0.1,139,157,298
108,0.15000000000000002,137,161,274
109,0.2,174,123,276
110,0.25,177,134,259
111,0.30000000000000004,209,118,242
112,0.35000000000000003,236,97,232
113,0.4,227,94,239
114,0.45,264,94,193
115,0.5,262,93,191
116,0.55,310,86,145
117,0.6000000000000001,338,73,125
118,0.65,319,81,136
119,0.7000000000000001,336,81,111
120,0.75,361,54,106
121,0.8,361,53,100
122,0.8500000000000001,403,35,71
123,0.9,430,25,51
124,0.9500000000000001,436,25,47
125,1.0,465,18,26
126,0.0,97,150,350
127,0.05,103,155,318
128,0.1,129,145,303
129,0.15000000000000002,144,138,294
130,0.2,144,149,269
131,0.25,182,118,270
132,0.30000000000000004,208,113,243
133,0.35000000000000003,212,109,240
134,0.4,245,110,199
135,0.45,260,97,190
136,0.5,290,93,186
137,0.55,300,74,177
138,0.6000000000000001,307,62,165
139,0.65,339,63,137
140,0.7000000000000001,359,54,125
141,0.75,357,56,116
142,0.8,395,42,82
