,alive,bh_ratio,dead,transient
0,97,0.0,159,341
1,105,0.05,142,340
2,126,0.1,147,310
3,139,0.15000000000000002,156,274
4,146,0.2,133,277
5,194,0.25,118,259
6,200,0.30000000000000004,109,256
7,240,0.35000000000000003,97,233
8,229,0.4,121,202
9,255,0.45,98,204
10,285,0.5,86,176
11,298,0.55,81,171
12,287,0.6000000000000001,84,165
13,305,0.65,74,152
14,364,0.7000000000000001,56,111
15,358,0.75,57,111
16,376,0.8,46,93
17,404,0.8500000000000001,37,76
18,416,0.9,29,66
19,438,0.9500000000000001,27,44
20,463,1.0,15,27
21,87,0.0,168,332
22,107,0.05,156,321
23,124,0.1,145,308
24,129,0.15000000000000002,143,299
25,152,0.2,132,284
26,160,0.25,141,262
27,202,0.30000000000000004,127,231
28,230,0.35000000000000003,105,216
29,251,0.4,108,194
30,264,0.45,99,179
31,267,0.5,91,186
32,277,0.55,89,166
33,309,0.6000000000000001,91,145
34,343,0.65,54,134
35,363,0.7000000000000001,50,118
36,367,0.75,50,111
37,378,0.8,51,95
38,405,0.8500000000000001,32,80
39,432,0.9,30,51
40,445,0.9500000000000001,26,40
41,461,1.0,14,32
42,86,0.0,154,346
43,100,0.05,164,310
44,126,0.1,145,313
45,151,0.15000000000000002,135,301
46,164,0.2,127,288
47,186,0.25,121,267
48,201,0.30000000000000004,113,244
49,202,0.35000000000000003,119,232
50,236,0.4,102,213
51,250,0.45,97,197
52,256,0.5,102,184
53,293,0.55,77,182
54,302,0.6000000000000001,77,162
55,336,0.65,70,126
56,343,0.7000000000000001,67,115
57,382,0.75,53,93
58,394,0.8,44,87
59,417,0.8500000000000001,27,74
60,428,0.9,35,52
61,450,0.9500000000000001,23,36
62,468,1.0,7,30
63,80,0.0,161,339
64,86,0.05,180,304
65,124,0.1,144,306
66,141,0.15000000000000002,135,297
67,180,0.2,128,271
68,189,0.25,141,242
69,201,0.30000000000000004,113,245
70,229,0.35000000000000003,111,223
71,240,0.4,108,213
72,253,0.45,99,197
73,274,0.5,99,174
74,275,0.55,84,177
75,324,0.6000000000000001,70,143
76,340,0.65,69,127
77,342,0.7000000000000001,68,112
78,373,0.75,45,120
79,381,0.8,45,94
80,394,0.8500000000000001,40,90
81,439,0.9,29,41
82,437,0.9500000000000001,19,52
83,468,1.0,12,25
84,86,0.0,160,340
85,110,0.05,163,317
86,132,0.1,155,284
87,138,0.15000000000000002,149,286
88,187,0.2,121,281
89,187,0.25,113,270
90,205,0.30000000000000004,125,230
91,212,0.35000000000000003,126,221
92,234,0.4,110,209
93,261,0.45,87,200
94,277,0.5,89,174
95,303,0.55,89,144
96,306,0.6000000000000001,75,146
97,330,0.65,59,142
98,339,0.7000000000000001,68,131
99,365,0.75,54,115
100,383,0.8,49,98
101,403,0.8500000000000001,37,85
102,437,0.9,28,48
103,446,0.9500000000000001,18,40
104,462,1.0,12,30
105,94,0.0,158,342
