,alive,bh_ratio,dead,transient
0,80,0.0,168,332
1,112,0.05,135,336
2,122,0.1,164,294
3,128,0.15000000000000002,139,294
4,152,0.2,144,269
5,180,0.25,132,262
6,187,0.30000000000000004,140,228
7,233,0.35000000000000003,114,213
8,234,0.4,106,221
9,260,0.45,103,184
10,288,0.5,73,186
11,299,0.55,79,173
12,312,0.6000000000000001,81,145
13,331,0.65,69,134
14,378,0.7000000000000001,45,114
15,374,0.75,44,107
16,394,0.8,40,91
17,424,0.8500000000000001,23,75
18,424,0.9,36,49
19,442,0.9500000000000001,25,43
20,463,1.0,13,29
21,79,0.0,174,326
22,114,0.05,164,308
23,116,0.1,157,304
24,147,0.15000000000000002,159,270
25,157,0.2,139,263
26,191,0.25,124,265
27,198,0.30000000000000004,127,235
28,202,0.35000000000000003,119,232
29,238,0.4,107,208
30,275,0.45,93,181
31,263,0.5,100,195
32,309,0.55,77,156
33,298,0.6000000000000001,80,162
34,340,0.65,68,125
35,340,0.7000000000000001,58,127
36,363,0.75,45,118
37,369,0.8,56,95
38,413,0.8500000000000001,33,69
39,422,0.9,29,67
40,446,0.9500000000000001,21,43
41,462,1.0,12,33
42,87,0.0,164,336
43,107,0.05,161,324
44,142,0.1,139,314
45,143,0.15000000000000002,144,288
46,171,0.2,120,281
47,167,0.25,140,244
48,192,0.30000000000000004,114,243
49,217,0.35000000000000003,109,251
50,244,0.4,96,231
51,252,0.45,99,200
52,276,0.5,88,180
53,307,0.55,80,165
54,310,0.6000000000000001,69,154
55,326,0.65,62,148
56,328,0.7000000000000001,67,144
57,373,0.75,54,98
58,390,0.8,33,102
59,401,0.8500000000000001,36,81
60,424,0.9,36,60
61,437,0.9500000000000001,26,42
62,464,1.0,12,28
63,96,0.0,175,325
64,100,0.05,161,312
65,128,0.1,139,309
66,126,0.15000000000000002,158,278
67,159,0.2,144,264
68,182,0.25,123,256
69,202,0.30000000000000004,137,233
70,233,0.35000000000000003,103,229
71,249,0.4,92,218
72,241,0.45,109,192
73,265,0.5,94,189
74,286,0.55,89,158
75,315,0.6000000000000001,66,158
76,325,0.65,71,131
77,346,0.7000000000000001,58,124
78,371,0.75,58,99
79,400,0.8,29,95
80,408,0.8500000000000001,39,74
81,435,0.9,20,55
82,448,0.9500000000000001,20,42
83,464,1.0,12,28
84,82,0.0,180,320
85,112,0.05,153,321
86,112,0.1,144,313
87,133,0.15000000000000002,139,292
88,146,0.2,135,273
89,189,0.25,112,268
90,192,0.30000000000000004,138,235
91,235,0.35000000000000003,104,215
92,247,0.4,106,195
93,253,0.45,91,203
94,272,0.5,105,170
95,310,0.55,80,158
96,313,0.6000000000000001,74,143
97,343,0.65,51,135
98,332,0.7000000000000001,67,125
99,373,0.75,52,90
100,370,0.8,55,89
101,417,0.8500000000000001,33,68
102,427,0.9,32,52
103,443,0.9500000000000001,24,43
104,464,1.0,10,31
105,92,0.0,159,341
106,115,0.05,145,327
107,130,0.1,144,313
108,136,0.15000000000000002,137,293
109,155,0.2,123,287
110,178,0.25,133,248
111,211,0.30000000000000004,112,237
112,221,0.35000000000000003,105,234
113,240,0.4,112,191
114,264,0.45,94,194
115,270,0.5,100,170
116,295,0.55,81,176
117,318,0.6000000000000001,67,159
118,340,0.65,61,139
119,347,0.7000000000000001,73,113
120,385,0.75,46,96
121,388,0.8,39,91
122,400,0.8500000000000001,46,76
123,436,0.9,24,52
124,445,0.9500000000000001,21,42
125,466,1.0,13,28
126,97,0.0,161,339
127,108,0.05,174,303
128,113,0.1,161,304
129,147,0.15000000000000002,140,297
130,153,0.2,113,295
131,169,0.25,122,272
132,207,0.30000000000000004,119,243
133,221,0.35000000000000003,104,239
134,226,0.4,103,232
135,235,0.45,110,193
136,275,0.5,87,188
137,275,0.55,78,183
138,329,0.6000000000000001,66,140
139,344,0.65,56,132
140,356,0.7000000000000001,51,124
141,365,0.75,61,98
142,393,0.8,45,83
143,425,0.8500000000000001,23,74
144,439,0.9,18,61
145,442,0.9500000000000001,25,48
146,466,1.0,14,25
147,75,0.0,176,324
148,97,0.05,166,306
149,142,0.1,138,299
150,157,0.15000000000000002,147,279
151,166,0.2,134,273
152,178,0.25,130,268
153,221,0.30000000000000004,121,236
154,237,0.35000000000000003,120,206
155,245,0.4,99,216
156,236,0.45,113,200
157,273,0.5,95,197
158,285,0.55,100,158
159,334,0.6000000000000001,73,132
160,331,0.65,71,130
161,345,0.7000000000000001,56,123
162,353,0.75,57,111
163,391,0.8,35,90
164,409,0.8500000000000001,30,80
165,435,0.9,26,52
166,453,0.9500000000000001,15,43
167,465,1.0,14,23
168,84,0.0,144,356
169,87,0.05,168,307
170,118,0.1,140,309
171,125,0.15000000000000002,135,309
172,163,0.2,136,262
173,169,0.25,129,252
174,220,0.30000000000000004,118,236
175,215,0.35000000000000003,115,221
176,250,0.4,103,209
177,265,0.45,76,212
178,269,0.5,103,167
179,303,0.55,81,161
180,321,0.6000000000000001,73,145
181,324,0.65,64,147
182,339,0.7000000000000001,50,136
183,369,0.75,47,107
184,391,0.8,39,93
185,409,0.8500000000000001,35,71
186,430,0.9,23,58
187,445,0.9500000000000001,20,42
188,456,1.0,15,36
189,80,0.0,162,338
190,104,0.05,174,299
191,119,0.1,155,302
192,134,0.15000000000000002,143,295
193,145,0.2,155,256
194,179,0.25,135,242
195,193,0.30000000000000004,110,257
196,219,0.35000000000000003,106,228
197,241,0.4,100,215
198,257,0.45,85,200
199,277,0.5,79,184
200,319,0.55,74,151
201,315,0.6000000000000001,66,160
202,318,0.65,73,152
203,338,0.7000000000000001,65,126
204,361,0.75,61,102
205,400,0.8,54,71
206,409,0.8500000000000001,33,76
207,427,0.9,35,49
208,446,0.9500000000000001,17,49
209,462,1.0,11,37
210,94,0.0,161,339
211,117,0.05,133,343
212,119,0.1,152,310
213,151,0.15000000000000002,144,272
214,165,0.2,138,269
215,163,0.25,121,275
216,192,0.30000000000000004,112,261
217,217,0.35000000000000003,114,224
218,254,0.4,108,193
219,241,0.45,103,203
220,266,0.5,91,192
221,286,0.55,86,168
222,325,0.6000000000000001,61,154
223,352,0.65,58,130
224,359,0.7000000000000001,54,119
225,348,0.75,57,120
226,396,0.8,40,81
227,414,0.8500000000000001,29,72
228,426,0.9,29,66
229,437,0.9500000000000001,24,48
230,471,1.0,8,26
231,74,0.0,178,322
232,94,0.05,163,317
233,135,0.1,153,290
234,139,0.15000000000000002,149,275
235,156,0.2,135,260
236,199,0.25,126,248
237,203,0.30000000000000004,111,258
238,205,0.35000000000000003,116,224
239,240,0.4,91,230
240,265,0.45,90,202
241,259,0.5,92,191
242,286,0.55,86,176
243,324,0.6000000000000001,67,142
244,336,0.65,61,142
245,367,0.7000000000000001,45,127
246,350,0.75,70,93
247,392,0.8,40,88
248,415,0.8500000000000001,31,80
249,424,0.9,25,64
250,450,0.9500000000000001,21,35
251,458,1.0,11,37
252,82,0.0,166,334
253,108,0.05,157,316
254,133,0.1,137,321
255,155,0.15000000000000002,150,286
256,161,0.2,137,287
257,171,0.25,141,245
258,179,0.30000000000000004,129,254
