,bh_ratio,alive,dead,transient
0,0.0,95,150,350
1,0.05,101,167,317
2,0.1,128,150,301
3,0.15000000000000002,143,151,268
4,0.2,169,131,286
5,0.25,195,134,237
6,0.30000000000000004,185,131,236
7,0.35000000000000003,202,129,219
8,0.4,219,112,222
9,0.45,252,94,211
10,0.5,265,100,188
11,0.55,297,82,164
12,0.6000000000000001,320,74,150
13,0.65,332,68,126
14,0.7000000000000001,362,52,120
15,0.75,369,59,107
16,0.8,375,46,105
17,0.8500000000000001,424,34,63
18,0.9,424,29,64
19,0.9500000000000001,439,16,57
20,1.0,454,13,40
21,0.0,86,166,334
22,0.05,88,173,302
23,0.1,112,155,309
24,0.15000000000000002,149,148,285
25,0.2,155,125,279
26,0.25,179,123,268
27,0.30000000000000004,196,122,246
28,0.35000000000000003,233,107,222
29,0.4,249,85,213
30,0.45,247,92,209
31,0.5,285,85,180
32,0.55,294,80,154
33,0.6000000000000001,312,82,147
34,0.65,330,66,132
35,0.7000000000000001,361,54,114
36,0.75,376,49,103
37,0.8,393,39,95
38,0.8500000000000001,425,33,65
39,0.9,425,32,55
40,0.9500000000000001,439,23,53
41,1.0,467,13,30
42,0.0,84,173,327
43,0.05,96,167,310
44,0.1,124,158,295
45,0.15000000000000002,144,152,263
46,0.2,162,138,271
47,0.25,175,124,265
48,0.30000000000000004,199,105,251
49,0.35000000000000003,219,116,213
50,0.4,227,112,201
51,0.45,263,94,183
52,0.5,279,104,157
53,0.55,293,86,155
54,0.6000000000000001,316,71,150
55,0.65,364,55,120
56,0.7000000000000001,336,61,128
57,0.75,364,60,100
58,0.8,395,36,80
59,0.8500000000000001,399,36,86
60,0.9,422,28,64
61,0.9500000000000001,443,22,45
62,1.0,463,15,26
63,0.0,87,171,329
64,0.05,114,160,310
65,0.1,134,146,305
66,0.15000000000000002,149,156,272
67,0.2,171,130,273
68,0.25,189,125,257
69,0.30000000000000004,204,129,228
70,0.35000000000000003,233,115,219
71,0.4,215,107,230
72,0.45,244,98,218
73,0.5,280,91,187
74,0.55,302,78,165
75,0.6000000000000001,310,77,147
76,0.65,331,77,128
77,0.7000000000000001,351,63,119
78,0.75,385,46,91
79,0.8,391,37,103
80,0.8500000000000001,399,40,78
81,0.9,429,21,69
82,0.9500000000000001,451,20,44
83,1.0,468,9,28
84,0.0,85,169,331
85,0.05,118,156,318
86,0.1,122,156,296
87,0.15000000000000002,149,128,291
88,0.2,161,133,268
89,0.25,166,153,241
90,0.30000000000000004,199,133,220
91,0.35000000000000003,236,105,226
92,0.4,225,108,211
93,0.45,257,99,190
94,0.5,276,90,178
95,0.55,295,87,156
96,0.6000000000000001,301,84,159
97,0.65,326,76,133
98,0.7000000000000001,335,61,136
99,0.75,358,64,98
100,0.8,391,44,83
101,0.8500000000000001,408,34,74
102,0.9,424,33,57
103,0.9500000000000001,451,22,38
104,1.0,475,9,24
105,0.0,96,151,349
106,0.05,119,143,334
107,0.1,101,168,294
108,0.15000000000000002,162,141,282
109,0.2,144,150,279
110,0.25,201,129,238
111,0.30000000000000004,195,117,242
112,0.35000000000000003,234,114,224
113,0.4,228,115,205
114,0.45,279,82,193
115,0.5,278,88,178
116,0.55,288,89,164
117,0.6000000000000001,326,70,144
118,0.65,342,58,131
119,0.7000000000000001,360,52,130
120,0.75,391,50,89
121,0.8,372,41,116
122,0.8500000000000001,405,33,80
123,0.9,429,27,53
124,0.9500000000000001,441,26,37
125,1.0,463,15,31
126,0.0,88,156,344
127,0.05,123,164,309
128,0.1,139,141,303
129,0.15000000000000002,138,136,299
130,0.2,165,132,272
131,0.25,178,140,253
132,0.30000000000000004,197,130,235
133,0.35000000000000003,232,102,229
