,alive,bh_ratio,dead,transient
0,81,0.0,178,322
1,99,0.05,154,331
2,122,0.1,152,300
3,150,0.15000000000000002,141,289
4,166,0.2,134,268
5,188,0.25,130,253
6,225,0.30000000000000004,114,231
7,221,0.35000000000000003,108,236
8,239,0.4,87,228
9,263,0.45,100,186
10,272,0.5,83,200
11,276,0.55,97,169
12,290,0.6000000000000001,81,168
13,323,0.65,74,136
14,345,0.7000000000000001,56,135
15,379,0.75,54,102
16,378,0.8,45,95
17,406,0.8500000000000001,34,70
18,422,0.9,26,70
19,447,0.9500000000000001,18,53
20,452,1.0,15,38
21,82,0.0,149,351
22,95,0.05,168,321
23,122,0.1,140,317
24,156,0.15000000000000002,131,291
25,173,0.2,135,265
26,181,0.25,128,254
27,204,0.30000000000000004,111,251
28,197,0.35000000000000003,115,240
29,243,0.4,113,195
30,276,0.45,85,202
31,280,0.5,91,172
32,285,0.55,73,175
33,312,0.6000000000000001,72,144
34,337,0.65,59,132
35,334,0.7000000000000001,60,130
36,360,0.75,53,122
37,396,0.8,46,72
38,408,0.8500000000000001,40,68
39,423,0.9,31,55
40,448,0.9500000000000001,19,51
41,461,1.0,10,34
42,81,0.0,155,345
43,107,0.05,171,305
44,129,0.1,138,316
45,141,0.15000000000000002,152,285
46,174,0.2,136,262
47,182,0.25,135,254
48,195,0.30000000000000004,119,237
49,216,0.35000000000000003,115,234
50,235,0.4,96,218
51,240,0.45,105,202
52,261,0.5,85,208
53,298,0.55,74,174
54,303,0.6000000000000001,78,151
55,322,0.65,67,143
56,356,0.7000000000000001,57,122
57,356,0.75,55,108
58,387,0.8,45,87
59,415,0.8500000000000001,29,68
60,428,0.9,21,63
61,436,0.9500000000000001,31,41
62,465,1.0,15,23
63,87,0.0,154,346
64,124,0.05,153,320
65,143,0.1,150,298
66,144,0.15000000000000002,151,276
67,171,0.2,142,255
68,176,0.25,124,257
69,185,0.30000000000000004,139,227
70,218,0.35000000000000003,103,241
71,243,0.4,107,196
72,280,0.45,98,184
73,308,0.5,80,165
74,296,0.55,80,174
75,310,0.6000000000000001,76,136
76,325,0.65,60,152
77,353,0.7000000000000001,45,140
78,378,0.75,48,117
79,374,0.8,48,102
80,413,0.8500000000000001,35,71
81,420,0.9,35,71
82,441,0.9500000000000001,12,56
83,467,1.0,13,26
84,100,0.0,179,321
85,95,0.05,157,314
86,131,0.1,151,300
87,127,0.15000000000000002,156,289
88,156,0.2,132,279
89,170,0.25,147,243
90,208,0.30000000000000004,119,252
91,214,0.35000000000000003,101,254
92,236,0.4,92,232
93,254,0.45,112,192
94,274,0.5,93,187
95,297,0.55,97,150
96,308,0.6000000000000001,67,171
97,336,0.65,69,122
98,341,0.7000000000000001,69,110
99,366,0.75,52,110
100,394,0.8,28,100
101,404,0.8500000000000001,40,72
102,419,0.9,22,73
103,433,0.9500000000000001,29,51
104,478,1.0,13,20
105,81,0.0,160,340
106,97,0.05,161,321
107,124,0.1,161,299
108,142,0.15000000000000002,143,293
109,163,0.2,135,266
110,182,0.25,138,250
111,214,0.30000000000000004,120,236
112,241,0.35000000000000003,114,216
113,240,0.4,111,194
114,252,0.45,99,213
115,273,0.5,94,174
116,320,0.55,63,162
117,308,0.6000000000000001,61,177
118,341,0.65,64,124
119,367,0.7000000000000001,53,105
120,388,0.75,41,96
121,371,0.8,57,89
122,411,0.8500000000000001,32,79
123,435,0.9,19,64
124,448,0.9500000000000001,17,45
125,469,1.0,11,25
126,75,0.0,181,319
127,92,0.05,156,322
128,120,0.1,152,305
129,139,0.15000000000000002,139,283
130,168,0.2,121,289
131,188,0.25,126,255
132,196,0.30000000000000004,118,239
133,212,0.35000000000000003,106,243
134,237,0.4,96,219
135,253,0.45,98,199
136,290,0.5,98,163
137,285,0.55,89,175
138,328,0.6000000000000001,62,150
139,316,0.65,70,150
140,356,0.7000000000000001,58,125
141,365,0.75,47,112
142,404,0.8,47,68
143,408,0.8500000000000001,31,82
144,429,0.9,32,58
145,436,0.9500000000000001,31,43
146,463,1.0,13,27
147,84,0.0,181,319
148,91,0.05,162,317
149,137,0.1,157,302
150,149,0.15000000000000002,136,287
151,164,0.2,128,273
152,173,0.25,132,257
153,203,0.30000000000000004,108,252
154,208,0.35000000000000003,103,248
155,241,0.4,95,226
156,288,0.45,92,176
157,256,0.5,93,202
158,306,0.55,88,157
159,314,0.6000000000000001,66,146
160,323,0.65,72,136
161,369,0.7000000000000001,61,104
162,370,0.75,58,96
163,386,0.8,51,89
164,415,0.8500000000000001,33,73
165,430,0.9,22,62
166,441,0.9500000000000001,21,44
167,460,1.0,13,34
168,79,0.0,165,335
169,113,0.05,155,323
170,127,0.1,154,299
171,160,0.15000000000000002,125,292
172,169,0.2,127,281
173,178,0.25,130,268
174,213,0.30000000000000004,111,235
175,199,0.35000000000000003,120,232
176,248,0.4,95,208
177,251,0.45,94,213
178,284,0.5,78,196
179,302,0.55,76,162
180,327,0.6000000000000001,71,133
181,326,0.65,75,135
182,353,0.7000000000000001,69,107
183,375,0.75,47,108
184,402,0.8,37,85
185,401,0.8500000000000001,44,69
186,430,0.9,36,51
187,441,0.9500000000000001,27,43
188,478,1.0,5,21
189,74,0.0,175,325
190,109,0.05,163,312
191,131,0.1,141,307
192,147,0.15000000000000002,142,291
193,161,0.2,135,272
194,163,0.25,150,251
195,200,0.30000000000000004,112,248
196,205,0.35000000000000003,113,234
197,230,0.4,110,214
198,257,0.45,98,194
199,277,0.5,90,184
200,288,0.55,85,172
201,320,0.6000000000000001,89,127
202,332,0.65,60,145
203,353,0.7000000000000001,54,126
204,371,0.75,48,105
205,378,0.8,47,101
206,403,0.8500000000000001,26,91
207,417,0.9,32,58
208,437,0.9500000000000001,26,51
209,461,1.0,12,34
210,80,0.0,152,348
211,119,0.05,155,320
212,137,0.1,144,302
213,149,0.15000000000000002,143,294
214,183,0.2,115,293
215,189,0.25,124,275
216,190,0.30000000000000004,138,231
217,199,0.35000000000000003,115,234
218,242,0.4,101,212
219,249,0.45,99,204
220,266,0.5,89,196
221,295,0.55,67,192
222,302,0.6000000000000001,83,153
223,317,0.65,67,137
224,362,0.7000000000000001,56,118
225,366,0.75,45,106
226,375,0.8,44,104
227,416,0.8500000000000001,35,68
228,415,0.9,29,71
229,444,0.9500000000000001,28,34
230,467,1.0,14,21
231,90,0.0,156,344
232,118,0.05,154,322
233,115,0.1,152,305
234,145,0.15000000000000002,153,278
235,148,0.2,130,289
236,168,0.25,143,251
237,194,0.30000000000000004,122,237
238,214,0.35000000000000003,108,227
239,248,0.4,93,205
240,262,0.45,85,202
241,263,0.5,96,178
242,294,0.55,87,161
243,300,0.6000000000000001,84,153
244,327,0.65,61,144
245,355,0.7000000000000001,54,111
246,373,0.75,51,100
247,398,0.8,37,85
248,401,0.8500000000000001,38,78
249,421,0.9,34,51
250,456,0.9500000000000001,19,34
251,458,1.0,11,37
252,82,0.0,160,340
253,117,0.05,165,308
254,137,0.1,134,316
255,144,0.15000000000000002,144,291
256,179,0.2,130,271
257,198,0.25,131,235
258,206,0.30000000000000004,111,240
259,212,0.35000000000000003,119,227
260,248,0.4,90,223
261,251,0.45,103,191
262,291,0.5,71,191
263,309,0.55,63,175
