,mdot,m,Z,tage
0,3.9,25.9,0.0002,10
1,2.7,28.3,0.0002,10
2,1.7,15.5,0.0002,10
3,36,24.6,0.0002,10
4,6.7,28.8,0.0002,10
5,0.067,6.5,0.0002,10
6,1.7,17.9,0.0002,10
7,0.29,8.2,0.0002,10
8,1.2,19.3,0.0002,10
9,3.5,23.1,0.0002,10
10,0.021,9.7,0.0002,10
11,1.7,26.6,0.0002,10
12,2,13.2,0.0002,10
13,0.92,26.9,0.0002,10
14,0.68,21.2,0.0002,10
15,0.0073,7.6,0.0002,10
16,1,21.2,0.0002,10
17,0.57,25.9,0.0002,10
18,0.65,15.8,0.0002,10
19,2.7,13.1,0.0002,10
20,0.043,6.8,0.0002,10
21,0.27,25.6,0.0002,10
22,0.6,18.4,0.0002,10
23,1.2,22.7,0.0002,10
24,1,23.4,0.0002,10
25,0.013,6.6,0.0002,10
26,1.3,27.9,0.0002,10
27,11,24.6,0.0002,10
28,26,8.2,0.0002,10
29,1.7,15,0.0002,10
30,0.58,18.8,0.0002,10
31,1.2,25.3,0.0002,10
32,2.3,24.3,0.0002,10
33,2.9,16.2,0.0002,10
34,1.7,17,0.0002,10
35,2.6,25.8,0.0002,10
36,2.2,41.7,0.0002,10
37,430,22.7,0.0002,10
38,6.4,27,0.0002,10
39,1.7,15.6,0.0002,10
40,9.5,13.8,0.0002,10
41,0.27,7.6,0.0002,10
42,1.6,16.1,0.0002,10
43,1.8,29.4,0.0002,10
44,1.6,15.5,0.0002,10
45,1.7,15.7,0.0002,10
46,1.5,15.2,0.0002,10
47,0.32,24,0.0002,10
48,1.1,20.4,0.0002,10
49,0.98,18.6,0.0002,10
50,1.2,13.2,0.0002,10
51,6.8,36.3,0.0002,10
52,0.57,15.3,0.0002,10
53,14,25.9,0.0002,10
54,2,15.7,0.0002,10
55,1.3,16.1,0.0002,10
56,5.8,14.4,0.0002,10
57,0.42,15.2,0.0002,10
58,0.3,15.2,0.0002,10
59,3.6,14.9,0.0002,10
60,4,23,0.0002,10
61,0.34,6.8,0.0002,10
62,0.23,7,0.0002,10
63,1.9,29.5,0.0002,10
64,2.6,23.2,0.0002,10
65,2.2,16.9,0.0002,10
66,0.55,40.8,0.0002,10
67,1.3,15.9,0.0002,10
68,77,22.7,0.0002,10
69,1.4,20.6,0.0002,10
70,1.4,12.4,0.0002,10
71,2.3,15.2,0.0002,10
72,1,19,0.0002,10
73,1.2,27.2,0.0002,10
74,3.7,8.3,0.0002,10
75,3.2,25.1,0.0002,10
76,5,23.9,0.0002,10
77,1.4,28.4,0.0002,10
78,8.4,36.1,0.0002,10
79,2.9,27.9,0.0002,10
80,2.8,28.1,0.0002,10
81,1.1,30.3,0.0002,10
82,9.4,19.4,0.0002,10
83,3.6,14.2,0.0002,10
84,1.2,18.6,0.0002,10
85,0.16,6.9,0.0002,10
86,1.4,23.8,0.0002,10
87,1.9,13.2,0.0002,10
88,3.5,22.4,0.0002,10
89,2,28.8,0.0002,10
90,0.45,27.9,0.0002,10
91,2,13.5,0.0002,10
92,0.92,15.7,0.0002,10
93,2.1,13.9,0.0002,10
94,1.5,17.3,0.0002,10
95,1.4,18.4,0.0002,10
96,2.6,41.3,0.0002,10
97,1.3,13.7,0.0002,10
98,1.4,14.9,0.0002,10
99,2.8,24.7,0.0002,10
100,3.4,18.5,0.0002,10
101,1.1,16.3,0.0002,10
102,5,30.9,0.0002,10
103,1.5,15.3,0.0002,10
104,2.4,22.4,0.0002,10
105,1.4,30.6,0.0002,10
106,3.4,24.7,0.0002,10
107,0.37,26.7,0.0002,10
108,2.2,24.6,0.0002,10
109,13,14.8,0.0002,10
110,0.67,25.8,0.0002,10
111,0.63,14.5,0.0002,10
112,6.8,24.2,0.0002,10
113,1.8,27.1,0.0002,10
114,24,26.6,0.0002,10
115,0.69,13.8,0.0002,10
116,0.45,6.1,0.0002,10
117,3.4,24.5,0.0002,10
118,2.1,20.6,0.0002,10
119,1.2,15.7,0.0002,10
120,1.8,28.1,0.0002,10
121,0.34,19.7,0.0002,10
122,2.4,20.7,0.0002,10
123,2.9,21.3,0.0002,10
124,2.5,29,0.0002,10
125,1.5,19.9,0.0002,10
126,1.7,17.7,0.0002,10
127,4.4,28.3,0.0002,10
128,1.4,23.2,0.0002,10
129,1.5,20,0.0002,10
130,0.47,15,0.0002,10
131,1.4,16.5,0.0002,10
132,1.3,19.8,0.0002,10
133,12,23.9,0.0002,10
134,1.5,16.3,0.0002,10
135,1.7,16.3,0.0002,10
136,1.6,22.3,0.0002,10
137,0.52,26.5,0.0002,10
138,4.8,14.7,0.0002,10
139,3.9,13.5,0.0002,10
140,0.92,19.9,0.0002,10
141,0.95,38.1,0.0002,10
142,0.22,7.2,0.0002,10
143,5.9,15.6,0.0002,10
144,5.5,24.9,0.0002,10
145,2.6,23.9,0.0002,10
146,100,22.2,0.0002,10
147,1.4,15.1,0.0002,10
148,14,24.8,0.0002,10
149,1.9,42.3,0.0002,10
