,Alive,BH_ratio,Dead,Trans
0,162,0.0,151,187
1,175,0.05,125,200
2,186,0.1,121,193
3,210,0.15000000000000002,126,164
4,216,0.2,132,152
5,253,0.25,95,152
6,252,0.30000000000000004,87,161
7,242,0.35000000000000003,101,157
8,289,0.4,81,130
9,306,0.45,67,127
10,323,0.5,73,104
11,335,0.55,58,107
12,344,0.6000000000000001,66,90
13,376,0.65,44,80
14,377,0.7000000000000001,49,74
15,380,0.75,50,70
16,401,0.8,32,67
17,418,0.8500000000000001,24,58
18,438,0.9,15,47
19,450,0.9500000000000001,14,36
20,471,1.0,6,23
21,177,0.0,135,188
22,187,0.05,140,173
23,189,0.1,125,186
24,223,0.15000000000000002,120,157
25,216,0.2,118,166
26,229,0.25,104,167
27,256,0.30000000000000004,90,154
28,282,0.35000000000000003,78,140
29,287,0.4,82,131
30,311,0.45,72,117
31,335,0.5,67,98
32,332,0.55,72,96
33,362,0.6000000000000001,58,80
34,363,0.65,54,83
35,378,0.7000000000000001,47,75
36,394,0.75,34,72
37,413,0.8,36,51
38,428,0.8500000000000001,16,56
39,445,0.9,17,38
40,453,0.9500000000000001,12,35
41,465,1.0,6,29
42,161,0.0,127,212
43,192,0.05,104,204
44,180,0.1,120,200
45,196,0.15000000000000002,132,172
46,245,0.2,97,158
47,218,0.25,121,161
48,278,0.30000000000000004,96,126
49,262,0.35000000000000003,96,142
50,291,0.4,68,141
51,292,0.45,91,117
52,314,0.5,72,114
53,326,0.55,71,103
54,352,0.6000000000000001,58,90
55,357,0.65,64,79
56,384,0.7000000000000001,39,77
57,392,0.75,46,62
58,422,0.8,24,54
59,412,0.8500000000000001,30,58
60,441,0.9,21,38
61,458,0.9500000000000001,19,23
62,460,1.0,3,37
63,182,0.0,117,201
64,154,0.05,149,197
65,208,0.1,124,168
66,203,0.15000000000000002,127,170
67,221,0.2,108,171
68,249,0.25,109,142
69,235,0.30000000000000004,103,162
70,274,0.35000000000000003,86,140
71,293,0.4,82,125
72,312,0.45,75,113
73,323,0.5,62,115
74,336,0.55,59,105
75,337,0.6000000000000001,64,99
76,376,0.65,45,79
77,376,0.7000000000000001,42,82
78,392,0.75,42,66
79,406,0.8,33,61
80,429,0.8500000000000001,25,46
81,432,0.9,20,48
82,457,0.9500000000000001,13,30
83,460,1.0,10,30
84,151,0.0,148,201
85,193,0.05,142,165
86,192,0.1,119,189
87,202,0.15000000000000002,136,162
88,204,0.2,132,164
89,247,0.25,102,151
90,238,0.30000000000000004,110,152
91,274,0.35000000000000003,104,122
92,279,0.4,92,129
93,293,0.45,80,127
94,304,0.5,75,121
95,339,0.55,71,90
96,344,0.6000000000000001,63,93
97,366,0.65,55,79
98,372,0.7000000000000001,44,84
99,398,0.75,32,70
100,410,0.8,30,60
101,433,0.8500000000000001,20,47
102,441,0.9,22,37
103,459,0.9500000000000001,12,29
104,463,1.0,10,27
105,156,0.0,138,206
106,181,0.05,124,195
107,205,0.1,123,172
108,194,0.15000000000000002,127,179
109,245,0.2,91,164
110,240,0.25,115,145
111,264,0.30000000000000004,92,144
112,289,0.35000000000000003,87,124
113,282,0.4,84,134
114,289,0.45,95,116
115,323,0.5,63,114
116,321,0.55,70,109
117,349,0.6000000000000001,61,90
118,386,0.65,40,74
119,373,0.7000000000000001,44,83
120,417,0.75,28,55
121,409,0.8,33,58
122,418,0.8500000000000001,28,54
123,433,0.9,27,40
124,467,0.9500000000000001,15,18
125,471,1.0,9,20
126,153,0.0,145,202
127,191,0.05,130,179
128,193,0.1,125,182
129,206,0.15000000000000002,129,165
130,220,0.2,100,180
131,228,0.25,112,160
132,256,0.30000000000000004,96,148
133,285,0.35000000000000003,90,125
134,267,0.4,87,146
135,306,0.45,73,121
136,317,0.5,70,113
137,328,0.55,75,97
138,355,0.6000000000000001,47,98
139,372,0.65,47,81
140,390,0.7000000000000001,35,75
141,404,0.75,34,62
142,417,0.8,27,56
143,424,0.8500000000000001,32,44
144,440,0.9,23,37
145,457,0.9500000000000001,15,28
146,470,1.0,7,23
147,186,0.0,130,184
148,179,0.05,126,195
149,208,0.1,115,177
150,229,0.15000000000000002,109,162
151,237,0.2,100,163
152,246,0.25,91,163
153,231,0.30000000000000004,115,154
154,284,0.35000000000000003,83,133
155,273,0.4,93,134
156,311,0.45,82,107
157,309,0.5,72,119
158,354,0.55,60,86
159,354,0.6000000000000001,53,93
160,371,0.65,45,84
161,378,0.7000000000000001,44,78
162,397,0.75,44,59
163,412,0.8,35,53
164,417,0.8500000000000001,35,48
165,440,0.9,22,38
166,463,0.9500000000000001,8,29
167,475,1.0,5,20
168,161,0.0,149,190
169,161,0.05,145,194
170,194,0.1,130,176
171,215,0.15000000000000002,114,171
172,219,0.2,104,177
173,233,0.25,113,154
174,276,0.30000000000000004,81,143
175,267,0.35000000000000003,99,134
176,271,0.4,90,139
