READ SERR 1
@744/744-19.pco
!
0.100062184 6.21847212E-5 2.46219182
0.100186631 6.22620573E-5 2.46220326
0.100311235 6.23394953E-5 2.46221495
0.100435987 6.24170207E-5 2.46222663
0.100560904 6.24946479E-5 2.46223855
0.100685969 6.25723769E-5 2.46225023
0.100811191 6.26501933E-5 2.46226192
0.100936569 6.27281115E-5 2.46227384
0.101062104 6.28061316E-5 2.46228576
0.101187795 6.2884239E-5 2.46229744
0.101313643 6.29624483E-5 2.46230936
0.10143964 6.30407521E-5 2.46232128
0.101565801 6.31191579E-5 2.4623332
0.101692118 6.31976582E-5 2.46234536
0.101818591 6.32762603E-5 2.46235728
0.101945229 6.33549571E-5 2.46236944
0.102072015 6.34337484E-5 2.46238136
0.102198958 6.35126416E-5 2.46239352
0.102326065 6.35916294E-5 2.46240568
0.102453329 6.36707191E-5 2.46241784
0.102580748 6.37499033E-5 2.46243
0.102708325 6.38291895E-5 2.4624424
0.102836065 6.39085774E-5 2.46245456
0.102963962 6.398806E-5 2.46246696
0.103092015 6.40676371E-5 2.46247911
0.103220232 6.41473234E-5 2.46249151
0.103348605 6.4227097E-5 2.46250391
0.103477143 6.43069798E-5 2.46251631
0.103605837 6.43869571E-5 2.46252871
0.103734687 6.44670363E-5 2.46254134
0.103863701 6.45472101E-5 2.46255374
0.103992879 6.4627493E-5 2.46256638
0.104122214 6.47078632E-5 2.46257877
0.104251713 6.47883426E-5 2.46259141
0.104381368 6.48689165E-5 2.46260405
0.104511186 6.49495996E-5 2.46261668
0.104641162 6.50303773E-5 2.46262956
0.104771309 6.51112496E-5 2.46264219
0.104901612 6.5192231E-5 2.46265483
0.105032079 6.5273307E-5 2.4626677
0.105162703 6.53544921E-5 2.46268058
0.10529349 6.54357718E-5 2.46269345
0.105424449 6.55171534E-5 2.46270633
0.105555564 6.55986369E-5 2.4627192
0.105686843 6.56802222E-5 2.46273208
0.105818287 6.57619094E-5 2.46274519
0.105949886 6.58436984E-5 2.46275806
0.106081657 6.5925582E-5 2.46277118
0.106213592 6.60075748E-5 2.46278429
0.106345691 6.60896694E-5 2.4627974
0.106477953 6.61718659E-5 2.46281052
0.106610373 6.62541643E-5 2.46282363
0.106742963 6.63365645E-5 2.46283698
0.106875725 6.64190666E-5 2.46285009
0.107008643 6.65016705E-5 2.46286345
0.107141726 6.65843763E-5 2.4628768
0.107274979 6.66671913E-5 2.46289015
0.107408397 6.67501008E-5 2.4629035
0.107541978 6.68331195E-5 2.46291685
0.107675731 6.691624E-5 2.46293044
0.107809648 6.69994624E-5 2.46294379
0.107943729 6.70827867E-5 2.46295738
0.108077981 6.71662201E-5 2.46297073
0.108212397 6.72497554E-5 2.46298432
0.108346976 6.73333925E-5 2.46299815
0.108481728 6.74171315E-5 2.46301174
0.108616643 6.75009796E-5 2.46302533
0.108751729 6.75849296E-5 2.46303916
0.108886987 6.76689888E-5 2.46305275
0.109022409 6.77531425E-5 2.46306658
0.109157994 6.78374054E-5 2.46308041
0.109293759 6.79217774E-5 2.46309423
0.109429687 6.80062512E-5 2.46310806
0.10956578 6.80908342E-5 2.46312213
0.109702051 6.81755118E-5 2.46313596
0.109838486 6.82603059E-5 2.46315002
0.109975092 6.83452017E-5 2.46316409
0.110111862 6.84301995E-5 2.46317816
0.110248812 6.85153063E-5 2.46319222
0.110385925 6.86005151E-5 2.46320629
0.110523216 6.8685833E-5 2.46322036
0.110660672 6.877126E-5 2.46323466
0.110798299 6.88567889E-5 2.46324897
0.110936098 6.89424269E-5 2.46326303
0.111074068 6.9028174E-5 2.46327734
0.111212209 6.91140231E-5 2.46329188
0.111350521 6.91999812E-5 2.46330619
0.111489013 6.92860413E-5 2.46332049
0.111627668 6.93722104E-5 2.46333504
0.111766502 6.94584887E-5 2.46334958
0.1119055 6.95448762E-5 2.46336412
0.112044677 6.96313655E-5 2.46337867
0.112184025 6.97179712E-5 2.46339321
0.112323552 6.98046788E-5 2.46340775
0.112463243 6.98914882E-5 2.46342254
0.112603113 6.99784141E-5 2.46343708
0.112743162 7.00654491E-5 2.46345186
0.112883382 7.0152586E-5 2.46346664
0.113023773 7.0239832E-5 2.46348143
0.113164335 7.03271944E-5 2.46349621
0.113305077 7.04146587E-5 2.46351123
0.113445997 7.05022321E-5 2.46352601
0.113587089 7.05899147E-5 2.46354103
0.113728359 7.06777064E-5 2.46355605
0.113869801 7.07656072E-5 2.46357107
0.114011422 7.08536172E-5 2.46358609
0.114153214 7.09417363E-5 2.46360135
0.114295185 7.10299719E-5 2.46361637
0.114437334 7.11183093E-5 2.46363163
0.114579663 7.12067558E-5 2.46364689
0.114722162 7.12953188E-5 2.46366215
0.114864841 7.13839909E-5 2.46367741
0.115007699 7.14727648E-5 2.46369267
0.115150735 7.15616552E-5 2.46370816
0.115293942 7.1650662E-5 2.46372342
0.115437336 7.17397706E-5 2.46373892
0.115580902 7.18289957E-5 2.46375442
0.115724653 7.19183226E-5 2.46376991
0.115868576 7.20077733E-5 2.46378541
0.116012685 7.20973258E-5 2.46380115
0.116156965 7.21869947E-5 2.46381664
0.116301432 7.22767727E-5 2.46383238
0.11644607 7.23666599E-5 2.46384811
0.116590895 7.24566635E-5 2.46386385
0.116735898 7.25467762E-5 2.46387959
0.116881087 7.26370054E-5 2.46389556
0.117026448 7.27273436E-5 2.46391129
0.117171995 7.28177911E-5 2.46392727
0.117317721 7.29083549E-5 2.46394324
0.117463626 7.29990279E-5 2.46395922
0.117609717 7.30898173E-5 2.46397543
0.117755987 7.31807231E-5 2.4639914
0.117902435 7.32717381E-5 2.46400762
0.11804907 7.33628622E-5 2.46402359
0.118195891 7.34541027E-5 2.4640398
0.118342891 7.35454596E-5 2.46405602
0.11849007 7.36369257E-5 2.46407247
0.118637435 7.37285081E-5 2.46408868
0.118784986 7.3820207E-5 2.46410513
0.118932717 7.39120151E-5 2.46412134
0.119080633 7.40039395E-5 2.46413779
0.119228736 7.40959731E-5 2.46415424
0.119377017 7.41881304E-5 2.46417093
0.119525485 7.42803968E-5 2.46418738
0.119674139 7.43727796E-5 2.46420407
0.119822979 7.44652789E-5 2.46422076
0.119971998 7.45578873E-5 2.46423745
0.120121211 7.46506121E-5 2.46425414
0.120270602 7.47434606E-5 2.46427083
0.120420188 7.48364182E-5 2.46428776
0.120569952 7.49294923E-5 2.46430445
0.120719902 7.50226754E-5 2.46432137
0.120870039 7.51159823E-5 2.4643383
0.121020369 7.52094056E-5 2.46435523
0.121170878 7.53029453E-5 2.4643724
0.121321581 7.53965942E-5 2.46438932
0.121472463 7.54903667E-5 2.46440649
0.121623538 7.55842557E-5 2.46442366
0.1217748 7.56782611E-5 2.46444082
0.121926256 7.57723756E-5 2.46445799
0.12207789 7.58666138E-5 2.46447539
0.122229718 7.59609684E-5 2.46449256
0.122381739 7.60554394E-5 2.46450996
0.12253394 7.61500341E-5 2.46452737
0.122686334 7.6244738E-5 2.46454477
0.122838922 7.63395656E-5 2.46456242
