READ SERR 1
@73.pco
!
0.100062184 6.21847212E-5 9.60903475E-4
0.100186631 6.22620573E-5 9.60915233E-4
0.100311235 6.23394953E-5 9.60926991E-4
0.100435987 6.24170207E-5 9.60938807E-4
0.100560904 6.24946479E-5 9.60950623E-4
0.100685969 6.25723769E-5 9.60962498E-4
0.100811191 6.26501933E-5 9.6097443E-4
0.100936569 6.27281115E-5 9.60986363E-4
0.101062104 6.28061316E-5 9.60998295E-4
0.101187795 6.2884239E-5 9.61010286E-4
0.101313643 6.29624483E-5 9.61022335E-4
0.10143964 6.30407521E-5 9.61034384E-4
0.101565801 6.31191579E-5 9.61046433E-4
0.101692118 6.31976582E-5 9.6105854E-4
0.101818591 6.32762603E-5 9.61070706E-4
0.101945229 6.33549571E-5 9.61082871E-4
0.102072015 6.34337484E-5 9.61095095E-4
0.102198958 6.35126416E-5 9.61107318E-4
0.102326065 6.35916294E-5 9.611196E-4
0.102453329 6.36707191E-5 9.61131882E-4
0.102580748 6.37499033E-5 9.61144164E-4
0.102708325 6.38291895E-5 9.61156562E-4
0.102836065 6.39085774E-5 9.61168902E-4
0.102963962 6.398806E-5 9.61181358E-4
0.103092015 6.40676371E-5 9.61193815E-4
0.103220232 6.41473234E-5 9.61206271E-4
0.103348605 6.4227097E-5 9.61218786E-4
0.103477143 6.43069798E-5 9.61231301E-4
0.103605837 6.43869571E-5 9.61243873E-4
0.103734687 6.44670363E-5 9.61256505E-4
0.103863701 6.45472101E-5 9.61269136E-4
0.103992879 6.4627493E-5 9.61281767E-4
0.104122214 6.47078632E-5 9.61294456E-4
0.104251713 6.47883426E-5 9.61307203E-4
0.104381368 6.48689165E-5 9.61319951E-4
0.104511186 6.49495996E-5 9.61332757E-4
0.104641162 6.50303773E-5 9.61345562E-4
0.104771309 6.51112496E-5 9.61358426E-4
0.104901612 6.5192231E-5 9.6137129E-4
0.105032079 6.5273307E-5 9.61384212E-4
0.105162703 6.53544921E-5 9.61397192E-4
0.10529349 6.54357718E-5 9.61410173E-4
0.105424449 6.55171534E-5 9.61423211E-4
0.105555564 6.55986369E-5 9.6143625E-4
0.105686843 6.56802222E-5 9.61449288E-4
0.105818287 6.57619094E-5 9.61462443E-4
0.105949886 6.58436984E-5 9.6147554E-4
0.106081657 6.5925582E-5 9.61488753E-4
0.106213592 6.60075748E-5 9.61501966E-4
0.106345691 6.60896694E-5 9.61515179E-4
0.106477953 6.61718659E-5 9.61528451E-4
0.106610373 6.62541643E-5 9.6154178E-4
0.106742963 6.63365645E-5 9.6155511E-4
0.106875725 6.64190666E-5 9.61568498E-4
0.107008643 6.65016705E-5 9.61581885E-4
0.107141726 6.65843763E-5 9.61595331E-4
0.107274979 6.66671913E-5 9.61608835E-4
0.107408397 6.67501008E-5 9.6162234E-4
0.107541978 6.68331195E-5 9.61635902E-4
0.107675731 6.691624E-5 9.61649464E-4
0.107809648 6.69994624E-5 9.61663085E-4
0.107943729 6.70827867E-5 9.61676706E-4
0.108077981 6.71662201E-5 9.61690384E-4
0.108212397 6.72497554E-5 9.61704121E-4
0.108346976 6.73333925E-5 9.61717858E-4
0.108481728 6.74171315E-5 9.61731654E-4
0.108616643 6.75009796E-5 9.61745449E-4
0.108751729 6.75849296E-5 9.61759302E-4
0.108886987 6.76689888E-5 9.61773156E-4
0.109022409 6.77531425E-5 9.61787067E-4
0.109157994 6.78374054E-5 9.61801037E-4
0.109293759 6.79217774E-5 9.61815007E-4
0.109429687 6.80062512E-5 9.61829035E-4
0.10956578 6.80908342E-5 9.61843121E-4
0.109702051 6.81755118E-5 9.61857208E-4
0.109838486 6.82603059E-5 9.61871352E-4
0.109975092 6.83452017E-5 9.61885497E-4
0.110111862 6.84301995E-5 9.61899699E-4
0.110248812 6.85153063E-5 9.61913902E-4
0.110385925 6.86005151E-5 9.61928221E-4
0.110523216 6.8685833E-5 9.61942482E-4
0.110660672 6.877126E-5 9.61956859E-4
0.110798299 6.88567889E-5 9.61971236E-4
0.110936098 6.89424269E-5 9.61985614E-4
0.111074068 6.9028174E-5 9.62000049E-4
0.111212209 6.91140231E-5 9.62014543E-4
0.111350521 6.91999812E-5 9.62029095E-4
0.111489013 6.92860413E-5 9.62043647E-4
0.111627668 6.93722104E-5 9.62058199E-4
0.111766502 6.94584887E-5 9.62072867E-4
0.1119055 6.95448762E-5 9.62087477E-4
0.112044677 6.96313655E-5 9.62102204E-4
0.112184025 6.97179712E-5 9.6211693E-4
0.112323552 6.98046788E-5 9.62131715E-4
0.112463243 6.98914882E-5 9.621465E-4
0.112603113 6.99784141E-5 9.62161343E-4
0.112743162 7.00654491E-5 9.62176244E-4
0.112883382 7.0152586E-5 9.62191145E-4
0.113023773 7.0239832E-5 9.62206104E-4
0.113164335 7.03271944E-5 9.62221122E-4
0.113305077 7.04146587E-5 9.62236139E-4
0.113445997 7.05022321E-5 9.62251215E-4
0.113587089 7.05899147E-5 9.62266349E-4
0.113728359 7.06777064E-5 9.62281483E-4
0.113869801 7.07656072E-5 9.62296675E-4
0.114011422 7.08536172E-5 9.62311868E-4
0.114153214 7.09417363E-5 9.62327118E-4
0.114295185 7.10299719E-5 9.62342427E-4
0.114437334 7.11183093E-5 9.62357735E-4
0.114579663 7.12067558E-5 9.6237316E-4
0.114722162 7.12953188E-5 9.62388527E-4
0.114864841 7.13839909E-5 9.6240401E-4
0.115007699 7.14727648E-5 9.62419494E-4
0.115150735 7.15616552E-5 9.62434977E-4
0.115293942 7.1650662E-5 9.62450576E-4
0.115437336 7.17397706E-5 9.62466176E-4
0.115580902 7.18289957E-5 9.62481834E-4
0.115724653 7.19183226E-5 9.62497492E-4
0.115868576 7.20077733E-5 9.62513208E-4
0.116012685 7.20973258E-5 9.62528982E-4
0.116156965 7.21869947E-5 9.62544756E-4
0.116301432 7.22767727E-5 9.62560589E-4
0.11644607 7.23666599E-5 9.6257648E-4
0.116590895 7.24566635E-5 9.6259237E-4
0.116735898 7.25467762E-5 9.62608377E-4
0.116881087 7.26370054E-5 9.62624326E-4
0.117026448 7.27273436E-5 9.62640392E-4
0.117171995 7.28177911E-5 9.62656457E-4
0.117317721 7.29083549E-5 9.6267258E-4
0.117463626 7.29990279E-5 9.62688704E-4
0.117609717 7.30898173E-5 9.62704944E-4
0.117755987 7.31807231E-5 9.62721184E-4
0.117902435 7.32717381E-5 9.62737424E-4
0.11804907 7.33628622E-5 9.62753722E-4
0.118195891 7.34541027E-5 9.62770078E-4
0.118342891 7.35454596E-5 9.62786493E-4
0.11849007 7.36369257E-5 9.62802966E-4
0.118637435 7.37285081E-5 9.62819438E-4
