READ SERR 1
@23.pco
!
0.100062184 6.21847212E-5 2.35483551
0.100186631 6.22620573E-5 2.361413
0.100311235 6.23394953E-5 2.36800575
0.100435987 6.24170207E-5 2.37461376
0.100560904 6.24946479E-5 2.38123703
0.100685969 6.25723769E-5 2.3878758
0.100811191 6.26501933E-5 2.39452982
0.100936569 6.27281115E-5 2.40119934
0.101062104 6.28061316E-5 2.40788436
0.101187795 6.2884239E-5 2.41458488
0.101313643 6.29624483E-5 2.42130089
0.10143964 6.30407521E-5 2.4280324
0.101565801 6.31191579E-5 2.43477941
0.101692118 6.31976582E-5 2.44154215
0.101818591 6.32762603E-5 2.44832063
0.101945229 6.33549571E-5 2.4551146
0.102072015 6.34337484E-5 2.46192431
0.102198958 6.35126416E-5 2.46875
0.102326065 6.35916294E-5 2.47559118
0.102453329 6.36707191E-5 2.48244834
0.102580748 6.37499033E-5 2.48932147
0.102708325 6.38291895E-5 2.49621034
0.102836065 6.39085774E-5 2.50311518
0.102963962 6.398806E-5 2.51003599
0.103092015 6.40676371E-5 2.51697254
0.103220232 6.41473234E-5 2.5239253
0.103348605 6.4227097E-5 2.53089428
0.103477143 6.43069798E-5 2.53787923
0.103605837 6.43869571E-5 2.54488015
0.103734687 6.44670363E-5 2.55189729
0.103863701 6.45472101E-5 2.55893064
0.103992879 6.4627493E-5 2.56598043
0.104122214 6.47078632E-5 2.57304621
0.104251713 6.47883426E-5 2.58012843
0.104381368 6.48689165E-5 2.58722687
0.104511186 6.49495996E-5 2.59437871
0.104641162 6.50303773E-5 2.60156131
0.104771309 6.51112496E-5 2.6087606
0.104901612 6.5192231E-5 2.61597657
0.105032079 6.5273307E-5 2.623209
0.105162703 6.53544921E-5 2.63045812
0.10529349 6.54357718E-5 2.63772392
0.105424449 6.55171534E-5 2.64500642
0.105555564 6.55986369E-5 2.6523056
0.105686843 6.56802222E-5 2.65962172
0.105818287 6.57619094E-5 2.66695476
0.105949886 6.58436984E-5 2.67430449
0.106081657 6.5925582E-5 2.68167114
0.106213592 6.60075748E-5 2.68905473
0.106345691 6.60896694E-5 2.69645524
0.106477953 6.61718659E-5 2.70387292
