READ SERR 1
@37.pco
!
0.100062184 6.21847212E-5 8.68796855E-2
0.100186631 6.22620573E-5 8.68800879E-2
0.100311235 6.23394953E-5 8.68804976E-2
0.100435987 6.24170207E-5 8.68809074E-2
0.100560904 6.24946479E-5 8.68813172E-2
0.100685969 6.25723769E-5 8.6881727E-2
0.100811191 6.26501933E-5 8.68821368E-2
0.100936569 6.27281115E-5 8.6882554E-2
0.101062104 6.28061316E-5 8.68829638E-2
0.101187795 6.2884239E-5 8.6883381E-2
0.101313643 6.29624483E-5 8.68837982E-2
0.10143964 6.30407521E-5 8.68842155E-2
0.101565801 6.31191579E-5 8.68846327E-2
0.101692118 6.31976582E-5 8.68850499E-2
0.101818591 6.32762603E-5 8.68854672E-2
0.101945229 6.33549571E-5 8.68858919E-2
0.102072015 6.34337484E-5 8.68863091E-2
0.102198958 6.35126416E-5 8.68867338E-2
0.102326065 6.35916294E-5 8.68871585E-2
0.102453329 6.36707191E-5 8.68875831E-2
0.102580748 6.37499033E-5 8.68880078E-2
0.102708325 6.38291895E-5 8.688844E-2
0.102836065 6.39085774E-5 8.68888646E-2
0.102963962 6.398806E-5 8.68892968E-2
0.103092015 6.40676371E-5 8.68897289E-2
0.103220232 6.41473234E-5 8.6890161E-2
0.103348605 6.4227097E-5 8.68905932E-2
0.103477143 6.43069798E-5 8.68910253E-2
0.103605837 6.43869571E-5 8.68914574E-2
0.103734687 6.44670363E-5 8.6891897E-2
0.103863701 6.45472101E-5 8.68923366E-2
0.103992879 6.4627493E-5 8.68927687E-2
0.104122214 6.47078632E-5 8.68932083E-2
0.104251713 6.47883426E-5 8.68936479E-2
0.104381368 6.48689165E-5 8.68940949E-2
0.104511186 6.49495996E-5 8.68945345E-2
0.104641162 6.50303773E-5 8.68949816E-2
0.104771309 6.51112496E-5 8.68954211E-2
0.104901612 6.5192231E-5 8.68958682E-2
0.105032079 6.5273307E-5 8.68963152E-2
0.105162703 6.53544921E-5 8.68967623E-2
0.10529349 6.54357718E-5 8.68972093E-2
0.105424449 6.55171534E-5 8.68976638E-2
0.105555564 6.55986369E-5 8.68981108E-2
0.105686843 6.56802222E-5 8.68985653E-2
0.105818287 6.57619094E-5 8.68990198E-2
0.105949886 6.58436984E-5 8.68994743E-2
0.106081657 6.5925582E-5 8.68999287E-2
0.106213592 6.60075748E-5 8.69003907E-2
0.106345691 6.60896694E-5 8.69008452E-2
0.106477953 6.61718659E-5 8.69013071E-2
0.106610373 6.62541643E-5 8.69017616E-2
0.106742963 6.63365645E-5 8.69022235E-2
0.106875725 6.64190666E-5 8.69026929E-2
0.107008643 6.65016705E-5 8.69031549E-2
0.107141726 6.65843763E-5 8.69036168E-2
0.107274979 6.66671913E-5 8.69040862E-2
0.107408397 6.67501008E-5 8.69045481E-2
0.107541978 6.68331195E-5 8.69050175E-2
0.107675731 6.691624E-5 8.69054869E-2
0.107809648 6.69994624E-5 8.69059637E-2
0.107943729 6.70827867E-5 8.69064331E-2
0.108077981 6.71662201E-5 8.69069025E-2
0.108212397 6.72497554E-5 8.69073793E-2
0.108346976 6.73333925E-5 8.69078562E-2
0.108481728 6.74171315E-5 8.6908333E-2
0.108616643 6.75009796E-5 8.69088098E-2
0.108751729 6.75849296E-5 8.69092867E-2
