READ SERR 1
@19.pco
!
0.100062184 6.21847212E-5 0.938100874
0.100186631 6.22620573E-5 0.938106716
0.100311235 6.23394953E-5 0.938112557
0.100435987 6.24170207E-5 0.938118398
0.100560904 6.24946479E-5 0.938124239
0.100685969 6.25723769E-5 0.93813014
0.100811191 6.26501933E-5 0.938136041
0.100936569 6.27281115E-5 0.938141942
0.101062104 6.28061316E-5 0.938147843
0.101187795 6.2884239E-5 0.938153803
0.101313643 6.29624483E-5 0.938159764
0.10143964 6.30407521E-5 0.938165724
0.101565801 6.31191579E-5 0.938171744
0.101692118 6.31976582E-5 0.938177705
0.101818591 6.32762603E-5 0.938183725
0.101945229 6.33549571E-5 0.938189745
0.102072015 6.34337484E-5 0.938195825
0.102198958 6.35126416E-5 0.938201904
0.102326065 6.35916294E-5 0.938207984
0.102453329 6.36707191E-5 0.938214064
0.102580748 6.37499033E-5 0.938220143
0.102708325 6.38291895E-5 0.938226283
0.102836065 6.39085774E-5 0.938232422
0.102963962 6.398806E-5 0.938238561
0.103092015 6.40676371E-5 0.9382447
0.103220232 6.41473234E-5 0.938250899
0.103348605 6.4227097E-5 0.938257098
0.103477143 6.43069798E-5 0.938263297
0.103605837 6.43869571E-5 0.938269556
0.103734687 6.44670363E-5 0.938275814
0.103863701 6.45472101E-5 0.938282073
0.103992879 6.4627493E-5 0.938288331
0.104122214 6.47078632E-5 0.938294649
0.104251713 6.47883426E-5 0.938300908
0.104381368 6.48689165E-5 0.938307226
0.104511186 6.49495996E-5 0.938313603
0.104641162 6.50303773E-5 0.938319921
0.104771309 6.51112496E-5 0.938326299
0.104901612 6.5192231E-5 0.938332677
0.105032079 6.5273307E-5 0.938339114
0.105162703 6.53544921E-5 0.938345492
0.10529349 6.54357718E-5 0.938351929
0.105424449 6.55171534E-5 0.938358366
0.105555564 6.55986369E-5 0.938364863
0.105686843 6.56802222E-5 0.93837136
0.105818287 6.57619094E-5 0.938377857
0.105949886 6.58436984E-5 0.938384354
0.106081657 6.5925582E-5 0.938390911
0.106213592 6.60075748E-5 0.938397408
0.106345691 6.60896694E-5 0.938403964
0.106477953 6.61718659E-5 0.93841058
0.106610373 6.62541643E-5 0.938417137
0.106742963 6.63365645E-5 0.938423753
0.106875725 6.64190666E-5 0.938430429
0.107008643 6.65016705E-5 0.938437045
0.107141726 6.65843763E-5 0.93844372
0.107274979 6.66671913E-5 0.938450396
0.107408397 6.67501008E-5 0.938457072
0.107541978 6.68331195E-5 0.938463807
0.107675731 6.691624E-5 0.938470542
0.107809648 6.69994624E-5 0.938477278
0.107943729 6.70827867E-5 0.938484013
0.108077981 6.71662201E-5 0.938490808
0.108212397 6.72497554E-5 0.938497603
0.108346976 6.73333925E-5 0.938504398
0.108481728 6.74171315E-5 0.938511252
0.108616643 6.75009796E-5 0.938518107
0.108751729 6.75849296E-5 0.938524961
0.108886987 6.76689888E-5 0.938531816
0.109022409 6.77531425E-5 0.93853873
0.109157994 6.78374054E-5 0.938545644
0.109293759 6.79217774E-5 0.938552558
0.109429687 6.80062512E-5 0.938559532
0.10956578 6.80908342E-5 0.938566446
0.109702051 6.81755118E-5 0.93857348
0.109838486 6.82603059E-5 0.938580453
0.109975092 6.83452017E-5 0.938587487
0.110111862 6.84301995E-5 0.93859452
0.110248812 6.85153063E-5 0.938601553
0.110385925 6.86005151E-5 0.938608646
0.110523216 6.8685833E-5 0.938615739
0.110660672 6.877126E-5 0.938622832
0.110798299 6.88567889E-5 0.938629925
0.110936098 6.89424269E-5 0.938637078
0.111074068 6.9028174E-5 0.93864423
0.111212209 6.91140231E-5 0.938651443
0.111350521 6.91999812E-5 0.938658595
0.111489013 6.92860413E-5 0.938665807
0.111627668 6.93722104E-5 0.938673079
0.111766502 6.94584887E-5 0.938680291
0.1119055 6.95448762E-5 0.938687563
0.112044677 6.96313655E-5 0.938694835
0.112184025 6.97179712E-5 0.938702166
0.112323552 6.98046788E-5 0.938709497
0.112463243 6.98914882E-5 0.938716829
0.112603113 6.99784141E-5 0.93872416
0.112743162 7.00654491E-5 0.938731551
0.112883382 7.0152586E-5 0.938738942
0.113023773 7.0239832E-5 0.938746333
0.113164335 7.03271944E-5 0.938753784
0.113305077 7.04146587E-5 0.938761234
0.113445997 7.05022321E-5 0.938768685
0.113587089 7.05899147E-5 0.938776195
0.113728359 7.06777064E-5 0.938783705
0.113869801 7.07656072E-5 0.938791215
0.114011422 7.08536172E-5 0.938798726
0.114153214 7.09417363E-5 0.938806295
0.114295185 7.10299719E-5 0.938813865
0.114437334 7.11183093E-5 0.938821495
0.114579663 7.12067558E-5 0.938829124
0.114722162 7.12953188E-5 0.938836753
0.114864841 7.13839909E-5 0.938844383
0.115007699 7.14727648E-5 0.938852072
0.115150735 7.15616552E-5 0.938859761
0.115293942 7.1650662E-5 0.93886745
0.115437336 7.17397706E-5 0.938875198
0.115580902 7.18289957E-5 0.938882947
0.115724653 7.19183226E-5 0.938890755
0.115868576 7.20077733E-5 0.938898504
0.116012685 7.20973258E-5 0.938906312
0.116156965 7.21869947E-5 0.93891418
0.116301432 7.22767727E-5 0.938921988
0.11644607 7.23666599E-5 0.938929856
0.116590895 7.24566635E-5 0.938937724
0.116735898 7.25467762E-5 0.938945651
0.116881087 7.26370054E-5 0.938953578
0.117026448 7.27273436E-5 0.938961506
0.117171995 7.28177911E-5 0.938969493
0.117317721 7.29083549E-5 0.93897748
0.117463626 7.29990279E-5 0.938985467
0.117609717 7.30898173E-5 0.938993514
0.117755987 7.31807231E-5 0.93900156
0.117902435 7.32717381E-5 0.939009607
