READ SERR 1
@130-17-57.pco
!
0.100062184 6.21847212E-5 8.27711448E-3
0.100186631 6.22620573E-5 8.27706698E-3
0.100311235 6.23394953E-5 8.27701949E-3
0.100435987 6.24170207E-5 8.27697199E-3
0.100560904 6.24946479E-5 8.27692356E-3
0.100685969 6.25723769E-5 8.27687606E-3
0.100811191 6.26501933E-5 8.27682763E-3
0.100936569 6.27281115E-5 8.27678014E-3
0.101062104 6.28061316E-5 8.27673171E-3
0.101187795 6.2884239E-5 8.27668328E-3
0.101313643 6.29624483E-5 8.27663485E-3
0.10143964 6.30407521E-5 8.27658642E-3
0.101565801 6.31191579E-5 8.27653799E-3
0.101692118 6.31976582E-5 8.27648863E-3
0.101818591 6.32762603E-5 8.2764402E-3
0.101945229 6.33549571E-5 8.27639084E-3
0.102072015 6.34337484E-5 8.27634148E-3
0.102198958 6.35126416E-5 8.27629212E-3
0.102326065 6.35916294E-5 8.27624276E-3
0.102453329 6.36707191E-5 8.2761934E-3
0.102580748 6.37499033E-5 8.27614311E-3
0.102708325 6.38291895E-5 8.27609375E-3
0.102836065 6.39085774E-5 8.27604346E-3
0.102963962 6.398806E-5 8.2759941E-3
0.103092015 6.40676371E-5 8.27594381E-3
0.103220232 6.41473234E-5 8.27589352E-3
0.103348605 6.4227097E-5 8.27584229E-3
0.103477143 6.43069798E-5 8.275792E-3
0.103605837 6.43869571E-5 8.27574171E-3
0.103734687 6.44670363E-5 8.27569049E-3
0.103863701 6.45472101E-5 8.27563927E-3
0.103992879 6.4627493E-5 8.27558897E-3
0.104122214 6.47078632E-5 8.27553775E-3
0.104251713 6.47883426E-5 8.27548653E-3
0.104381368 6.48689165E-5 8.27543437E-3
0.104511186 6.49495996E-5 8.27538315E-3
0.104641162 6.50303773E-5 8.275331E-3
0.104771309 6.51112496E-5 8.27527978E-3
0.104901612 6.5192231E-5 8.27522762E-3
0.105032079 6.5273307E-5 8.27517547E-3
0.105162703 6.53544921E-5 8.27512331E-3
0.10529349 6.54357718E-5 8.27507116E-3
0.105424449 6.55171534E-5 8.27501807E-3
0.105555564 6.55986369E-5 8.27496592E-3
0.105686843 6.56802222E-5 8.27491283E-3
0.105818287 6.57619094E-5 8.27486068E-3
0.105949886 6.58436984E-5 8.27480759E-3
0.106081657 6.5925582E-5 8.27475451E-3
0.106213592 6.60075748E-5 8.27470049E-3
0.106345691 6.60896694E-5 8.27464741E-3
0.106477953 6.61718659E-5 8.27459432E-3
0.106610373 6.62541643E-5 8.27454031E-3
0.106742963 6.63365645E-5 8.27448629E-3
0.106875725 6.64190666E-5 8.27443227E-3
0.107008643 6.65016705E-5 8.27437826E-3
0.107141726 6.65843763E-5 8.27432424E-3
0.107274979 6.66671913E-5 8.27427022E-3
0.107408397 6.67501008E-5 8.27421527E-3
0.107541978 6.68331195E-5 8.27416033E-3
0.107675731 6.691624E-5 8.27410631E-3
0.107809648 6.69994624E-5 8.27405136E-3
0.107943729 6.70827867E-5 8.27399641E-3
0.108077981 6.71662201E-5 8.27394053E-3
0.108212397 6.72497554E-5 8.27388559E-3
0.108346976 6.73333925E-5 8.27383064E-3
0.108481728 6.74171315E-5 8.27377476E-3
0.108616643 6.75009796E-5 8.27371888E-3
0.108751729 6.75849296E-5 8.273663E-3
0.108886987 6.76689888E-5 8.27360712E-3
0.109022409 6.77531425E-5 8.27355124E-3
0.109157994 6.78374054E-5 8.27349443E-3
0.109293759 6.79217774E-5 8.27343855E-3
0.109429687 6.80062512E-5 8.27338174E-3
0.10956578 6.80908342E-5 8.27332493E-3
0.109702051 6.81755118E-5 8.27326812E-3
0.109838486 6.82603059E-5 8.27321131E-3
0.109975092 6.83452017E-5 8.2731545E-3
0.110111862 6.84301995E-5 8.27309676E-3
0.110248812 6.85153063E-5 8.27303994E-3
0.110385925 6.86005151E-5 8.2729822E-3
0.110523216 6.8685833E-5 8.27292446E-3
0.110660672 6.877126E-5 8.27286672E-3
0.110798299 6.88567889E-5 8.27280898E-3
0.110936098 6.89424269E-5 8.2727503E-3
0.111074068 6.9028174E-5 8.27269256E-3
0.111212209 6.91140231E-5 8.27263389E-3
0.111350521 6.91999812E-5 8.27257521E-3
0.111489013 6.92860413E-5 8.27251654E-3
0.111627668 6.93722104E-5 8.27245787E-3
0.111766502 6.94584887E-5 8.27239919E-3
0.1119055 6.95448762E-5 8.27233959E-3
0.112044677 6.96313655E-5 8.27227999E-3
0.112184025 6.97179712E-5 8.27222131E-3
0.112323552 6.98046788E-5 8.27216171E-3
0.112463243 6.98914882E-5 8.2721021E-3
0.112603113 6.99784141E-5 8.27204157E-3
0.112743162 7.00654491E-5 8.27198196E-3
0.112883382 7.0152586E-5 8.27192143E-3
0.113023773 7.0239832E-5 8.27186089E-3
0.113164335 7.03271944E-5 8.27180129E-3
0.113305077 7.04146587E-5 8.27173982E-3
0.113445997 7.05022321E-5 8.27167928E-3
0.113587089 7.05899147E-5 8.27161875E-3
0.113728359 7.06777064E-5 8.27155728E-3
0.113869801 7.07656072E-5 8.27149674E-3
0.114011422 7.08536172E-5 8.27143528E-3
0.114153214 7.09417363E-5 8.27137381E-3
0.114295185 7.10299719E-5 8.27131141E-3
0.114437334 7.11183093E-5 8.27124994E-3
0.114579663 7.12067558E-5 8.27118754E-3
0.114722162 7.12953188E-5 8.27112608E-3
0.114864841 7.13839909E-5 8.27106368E-3
0.115007699 7.14727648E-5 8.27100128E-3
0.115150735 7.15616552E-5 8.27093888E-3
0.115293942 7.1650662E-5 8.27087555E-3
0.115437336 7.17397706E-5 8.27081315E-3
0.115580902 7.18289957E-5 8.27074982E-3
0.115724653 7.19183226E-5 8.27068649E-3
0.115868576 7.20077733E-5 8.27062316E-3
0.116012685 7.20973258E-5 8.27055983E-3
0.116156965 7.21869947E-5 8.27049557E-3
0.116301432 7.22767727E-5 8.27043224E-3
0.11644607 7.23666599E-5 8.27036798E-3
0.116590895 7.24566635E-5 8.27030372E-3
0.116735898 7.25467762E-5 8.27023946E-3
0.116881087 7.26370054E-5 8.2701752E-3
0.117026448 7.27273436E-5 8.27011E-3
0.117171995 7.28177911E-5 8.27004574E-3
0.117317721 7.29083549E-5 8.26998055E-3
0.117463626 7.29990279E-5 8.26991536E-3
0.117609717 7.30898173E-5 8.26985016E-3
0.117755987 7.31807231E-5 8.26978497E-3
0.117902435 7.32717381E-5 8.26971885E-3
0.11804907 7.33628622E-5 8.26965272E-3
0.118195891 7.34541027E-5 8.26958753E-3
0.118342891 7.35454596E-5 8.26952141E-3
0.11849007 7.36369257E-5 8.26945435E-3
0.118637435 7.37285081E-5 8.26938823E-3
0.118784986 7.3820207E-5 8.2693221E-3
0.118932717 7.39120151E-5 8.26925505E-3
0.119080633 7.40039395E-5 8.26918799E-3
0.119228736 7.40959731E-5 8.26912094E-3
0.119377017 7.41881304E-5 8.26905388E-3
0.119525485 7.42803968E-5 8.2689859E-3
0.119674139 7.43727796E-5 8.26891884E-3
0.119822979 7.44652789E-5 8.26885086E-3
0.119971998 7.45578873E-5 8.26878287E-3
0.120121211 7.46506121E-5 8.26871488E-3
0.120270602 7.47434606E-5 8.2686469E-3
0.120420188 7.48364182E-5 8.26857798E-3
0.120569952 7.49294923E-5 8.26850906E-3
0.120719902 7.50226754E-5 8.26844014E-3
0.120870039 7.51159823E-5 8.26837122E-3
0.121020369 7.52094056E-5 8.26830231E-3
0.121170878 7.53029453E-5 8.26823339E-3
0.121321581 7.53965942E-5 8.26816354E-3
0.121472463 7.54903667E-5 8.26809369E-3
0.121623538 7.55842557E-5 8.26802384E-3
0.1217748 7.56782611E-5 8.26795399E-3
0.121926256 7.57723756E-5 8.26788414E-3
0.12207789 7.58666138E-5 8.26781336E-3
0.122229718 7.59609684E-5 8.26774351E-3
