READ SERR 1
@130-42-0.pco
!
0.100062184 6.21847212E-5 0.259653091
0.100186631 6.22620573E-5 0.259659141
0.100311235 6.23394953E-5 0.259665191
0.100435987 6.24170207E-5 0.259671241
0.100560904 6.24946479E-5 0.259677321
0.100685969 6.25723769E-5 0.25968343
0.100811191 6.26501933E-5 0.25968951
0.100936569 6.27281115E-5 0.259695649
0.101062104 6.28061316E-5 0.259701788
0.101187795 6.2884239E-5 0.259707928
0.101313643 6.29624483E-5 0.259714097
0.10143964 6.30407521E-5 0.259720296
0.101565801 6.31191579E-5 0.259726495
0.101692118 6.31976582E-5 0.259732693
0.101818591 6.32762603E-5 0.259738922
0.101945229 6.33549571E-5 0.259745181
0.102072015 6.34337484E-5 0.259751439
0.102198958 6.35126416E-5 0.259757727
0.102326065 6.35916294E-5 0.259764016
0.102453329 6.36707191E-5 0.259770334
0.102580748 6.37499033E-5 0.259776652
0.102708325 6.38291895E-5 0.259783
0.102836065 6.39085774E-5 0.259789348
0.102963962 6.398806E-5 0.259795725
0.103092015 6.40676371E-5 0.259802103
0.103220232 6.41473234E-5 0.259808511
0.103348605 6.4227097E-5 0.259814918
0.103477143 6.43069798E-5 0.259821355
0.103605837 6.43869571E-5 0.259827822
0.103734687 6.44670363E-5 0.25983429
0.103863701 6.45472101E-5 0.259840757
0.103992879 6.4627493E-5 0.259847254
0.104122214 6.47078632E-5 0.25985378
0.104251713 6.47883426E-5 0.259860307
0.104381368 6.48689165E-5 0.259866863
0.104511186 6.49495996E-5 0.25987342
0.104641162 6.50303773E-5 0.259880006
0.104771309 6.51112496E-5 0.259886593
0.104901612 6.5192231E-5 0.259893209
0.105032079 6.5273307E-5 0.259899825
0.105162703 6.53544921E-5 0.259906471
0.10529349 6.54357718E-5 0.259913146
0.105424449 6.55171534E-5 0.259919822
0.105555564 6.55986369E-5 0.259926528
0.105686843 6.56802222E-5 0.259933233
0.105818287 6.57619094E-5 0.259939969
0.105949886 6.58436984E-5 0.259946704
0.106081657 6.5925582E-5 0.259953469
0.106213592 6.60075748E-5 0.259960264
0.106345691 6.60896694E-5 0.259967059
0.106477953 6.61718659E-5 0.259973854
0.106610373 6.62541643E-5 0.259980679
0.106742963 6.63365645E-5 0.259987533
0.106875725 6.64190666E-5 0.259994388
0.107008643 6.65016705E-5 0.260001272
0.107141726 6.65843763E-5 0.260008186
0.107274979 6.66671913E-5 0.2600151
0.107408397 6.67501008E-5 0.260022044
0.107541978 6.68331195E-5 0.260028988
0.107675731 6.691624E-5 0.260035962
0.107809648 6.69994624E-5 0.260042936
0.107943729 6.70827867E-5 0.260049939
0.108077981 6.71662201E-5 0.260056943
0.108212397 6.72497554E-5 0.260063976
0.108346976 6.73333925E-5 0.260071039
0.108481728 6.74171315E-5 0.260078102
0.108616643 6.75009796E-5 0.260085195
0.108751729 6.75849296E-5 0.260092318
0.108886987 6.76689888E-5 0.260099441
0.109022409 6.77531425E-5 0.260106593
0.109157994 6.78374054E-5 0.260113746
0.109293759 6.79217774E-5 0.260120928
0.109429687 6.80062512E-5 0.260128111
0.10956578 6.80908342E-5 0.260135323
0.109702051 6.81755118E-5 0.260142565
0.109838486 6.82603059E-5 0.260149807
0.109975092 6.83452017E-5 0.260157079
0.110111862 6.84301995E-5 0.26016438
0.110248812 6.85153063E-5 0.260171682
0.110385925 6.86005151E-5 0.260178983
0.110523216 6.8685833E-5 0.260186344
0.110660672 6.877126E-5 0.260193676
0.110798299 6.88567889E-5 0.260201067
0.110936098 6.89424269E-5 0.260208458
0.111074068 6.9028174E-5 0.260215878
0.111212209 6.91140231E-5 0.260223299
0.111350521 6.91999812E-5 0.26023075
0.111489013 6.92860413E-5 0.26023823
0.111627668 6.93722104E-5 0.260245711
0.111766502 6.94584887E-5 0.260253221
0.1119055 6.95448762E-5 0.260260761
0.112044677 6.96313655E-5 0.260268301
0.112184025 6.97179712E-5 0.260275841
0.112323552 6.98046788E-5 0.26028344
0.112463243 6.98914882E-5 0.26029104
0.112603113 6.99784141E-5 0.260298669
0.112743162 7.00654491E-5 0.260306299
0.112883382 7.0152586E-5 0.260313958
0.113023773 7.0239832E-5 0.260321617
0.113164335 7.03271944E-5 0.260329306
0.113305077 7.04146587E-5 0.260337025
0.113445997 7.05022321E-5 0.260344774
0.113587089 7.05899147E-5 0.260352522
0.113728359 7.06777064E-5 0.260360301
0.113869801 7.07656072E-5 0.260368079
0.114011422 7.08536172E-5 0.260375887
0.114153214 7.09417363E-5 0.260383725
0.114295185 7.10299719E-5 0.260391563
0.114437334 7.11183093E-5 0.260399431
0.114579663 7.12067558E-5 0.260407329
0.114722162 7.12953188E-5 0.260415226
0.114864841 7.13839909E-5 0.260423183
0.115007699 7.14727648E-5 0.260431111
0.115150735 7.15616552E-5 0.260439098
0.115293942 7.1650662E-5 0.260447085
0.115437336 7.17397706E-5 0.260455072
0.115580902 7.18289957E-5 0.260463119
0.115724653 7.19183226E-5 0.260471165
0.115868576 7.20077733E-5 0.260479212
0.116012685 7.20973258E-5 0.260487318
0.116156965 7.21869947E-5 0.260495424
0.116301432 7.22767727E-5 0.260503531
0.11644607 7.23666599E-5 0.260511696
0.116590895 7.24566635E-5 0.260519862
0.116735898 7.25467762E-5 0.260528058
0.116881087 7.26370054E-5 0.260536253
0.117026448 7.27273436E-5 0.260544479
0.117171995 7.28177911E-5 0.260552734
0.117317721 7.29083549E-5 0.260560989
0.117463626 7.29990279E-5 0.260569304
0.117609717 7.30898173E-5 0.260577589
