READ SERR 1
@20_incl.pco
!
0.100062184 6.21847212E-5 0.523776889
0.100186631 6.22620573E-5 0.523782492
0.100311235 6.23394953E-5 0.523788095
0.100435987 6.24170207E-5 0.523793757
0.100560904 6.24946479E-5 0.523799419
0.100685969 6.25723769E-5 0.523805141
0.100811191 6.26501933E-5 0.523810804
0.100936569 6.27281115E-5 0.523816526
0.101062104 6.28061316E-5 0.523822248
0.101187795 6.2884239E-5 0.52382797
0.101313643 6.29624483E-5 0.523833752
0.10143964 6.30407521E-5 0.523839474
0.101565801 6.31191579E-5 0.523845255
0.101692118 6.31976582E-5 0.523851097
0.101818591 6.32762603E-5 0.523856878
0.101945229 6.33549571E-5 0.52386272
0.102072015 6.34337484E-5 0.523868561
0.102198958 6.35126416E-5 0.523874402
0.102326065 6.35916294E-5 0.523880243
0.102453329 6.36707191E-5 0.523886144
0.102580748 6.37499033E-5 0.523892045
0.102708325 6.38291895E-5 0.523897946
0.102836065 6.39085774E-5 0.523903847
0.102963962 6.398806E-5 0.523909807
0.103092015 6.40676371E-5 0.523915768
0.103220232 6.41473234E-5 0.523921728
0.103348605 6.4227097E-5 0.523927689
0.103477143 6.43069798E-5 0.523933709
0.103605837 6.43869571E-5 0.523939729
0.103734687 6.44670363E-5 0.523945749
0.103863701 6.45472101E-5 0.523951769
0.103992879 6.4627493E-5 0.523957849
0.104122214 6.47078632E-5 0.523963928
0.104251713 6.47883426E-5 0.523970008
0.104381368 6.48689165E-5 0.523976147
0.104511186 6.49495996E-5 0.523982227
0.104641162 6.50303773E-5 0.523988366
0.104771309 6.51112496E-5 0.523994505
0.104901612 6.5192231E-5 0.524000704
0.105032079 6.5273307E-5 0.524006844
0.105162703 6.53544921E-5 0.524013042
0.10529349 6.54357718E-5 0.524019301
0.105424449 6.55171534E-5 0.5240255
0.105555564 6.55986369E-5 0.524031758
0.105686843 6.56802222E-5 0.524038017
0.105818287 6.57619094E-5 0.524044275
0.105949886 6.58436984E-5 0.524050534
0.106081657 6.5925582E-5 0.524056852
0.106213592 6.60075748E-5 0.52406317
0.106345691 6.60896694E-5 0.524069548
0.106477953 6.61718659E-5 0.524075866
0.106610373 6.62541643E-5 0.524082243
0.106742963 6.63365645E-5 0.524088621
0.106875725 6.64190666E-5 0.524094999
0.107008643 6.65016705E-5 0.524101436
0.107141726 6.65843763E-5 0.524107873
