READ SERR 1
@130-24-0.pco
!
0.100062184 6.21847212E-5 1.32503927
0.100186631 6.22620573E-5 1.32505846
0.100311235 6.23394953E-5 1.32507765
0.100435987 6.24170207E-5 1.32509685
0.100560904 6.24946479E-5 1.32511616
0.100685969 6.25723769E-5 1.32513559
0.100811191 6.26501933E-5 1.3251549
0.100936569 6.27281115E-5 1.32517433
0.101062104 6.28061316E-5 1.32519388
0.101187795 6.2884239E-5 1.32521343
0.101313643 6.29624483E-5 1.32523298
0.10143964 6.30407521E-5 1.32525265
0.101565801 6.31191579E-5 1.32527232
0.101692118 6.31976582E-5 1.32529211
0.101818591 6.32762603E-5 1.3253119
0.101945229 6.33549571E-5 1.32533169
0.102072015 6.34337484E-5 1.3253516
0.102198958 6.35126416E-5 1.3253715
0.102326065 6.35916294E-5 1.32539153
0.102453329 6.36707191E-5 1.32541156
0.102580748 6.37499033E-5 1.32543159
0.102708325 6.38291895E-5 1.32545173
0.102836065 6.39085774E-5 1.32547188
0.102963962 6.398806E-5 1.32549214
0.103092015 6.40676371E-5 1.32551241
0.103220232 6.41473234E-5 1.32553279
0.103348605 6.4227097E-5 1.32555318
0.103477143 6.43069798E-5 1.32557356
0.103605837 6.43869571E-5 1.32559407
0.103734687 6.44670363E-5 1.32561457
0.103863701 6.45472101E-5 1.32563519
0.103992879 6.4627493E-5 1.32565582
0.104122214 6.47078632E-5 1.32567656
0.104251713 6.47883426E-5 1.3256973
0.104381368 6.48689165E-5 1.32571805
0.104511186 6.49495996E-5 1.32573891
0.104641162 6.50303773E-5 1.32575977
0.104771309 6.51112496E-5 1.32578075
0.104901612 6.5192231E-5 1.32580173
0.105032079 6.5273307E-5 1.32582283
0.105162703 6.53544921E-5 1.32584393
0.10529349 6.54357718E-5 1.32586503
0.105424449 6.55171534E-5 1.32588625
0.105555564 6.55986369E-5 1.32590759
0.105686843 6.56802222E-5 1.32592881
0.105818287 6.57619094E-5 1.32595026
0.105949886 6.58436984E-5 1.3259716
0.106081657 6.5925582E-5 1.32599306
0.106213592 6.60075748E-5 1.32601464
0.106345691 6.60896694E-5 1.32603621
0.106477953 6.61718659E-5 1.32605791
0.106610373 6.62541643E-5 1.32607961
0.106742963 6.63365645E-5 1.3261013
0.106875725 6.64190666E-5 1.32612312
0.107008643 6.65016705E-5 1.32614493
0.107141726 6.65843763E-5 1.32616687
0.107274979 6.66671913E-5 1.3261888
0.107408397 6.67501008E-5 1.32621086
0.107541978 6.68331195E-5 1.32623291
0.107675731 6.691624E-5 1.32625508
0.107809648 6.69994624E-5 1.32627726
0.107943729 6.70827867E-5 1.32629943
0.108077981 6.71662201E-5 1.32632172
0.108212397 6.72497554E-5 1.32634413
0.108346976 6.73333925E-5 1.32636642
0.108481728 6.74171315E-5 1.32638896
0.108616643 6.75009796E-5 1.32641149
0.108751729 6.75849296E-5 1.32643402
0.108886987 6.76689888E-5 1.32645667
0.109022409 6.77531425E-5 1.32647932
0.109157994 6.78374054E-5 1.32650208
0.109293759 6.79217774E-5 1.32652485
0.109429687 6.80062512E-5 1.32654774
0.10956578 6.80908342E-5 1.32657063
0.109702051 6.81755118E-5 1.32659364
0.109838486 6.82603059E-5 1.32661664
0.109975092 6.83452017E-5 1.32663965
0.110111862 6.84301995E-5 1.32666278
0.110248812 6.85153063E-5 1.32668602
0.110385925 6.86005151E-5 1.32670927
0.110523216 6.8685833E-5 1.32673264
0.110660672 6.877126E-5 1.326756
0.110798299 6.88567889E-5 1.32677937
0.110936098 6.89424269E-5 1.32680285
0.111074068 6.9028174E-5 1.32682645
0.111212209 6.91140231E-5 1.32685006
0.111350521 6.91999812E-5 1.32687366
0.111489013 6.92860413E-5 1.32689738
0.111627668 6.93722104E-5 1.32692111
0.111766502 6.94584887E-5 1.32694495
0.1119055 6.95448762E-5 1.32696891
0.112044677 6.96313655E-5 1.32699287
0.112184025 6.97179712E-5 1.32701683
0.112323552 6.98046788E-5 1.32704091
0.112463243 6.98914882E-5 1.32706511
0.112603113 6.99784141E-5 1.32708931
0.112743162 7.00654491E-5 1.32711351
0.112883382 7.0152586E-5 1.32713783
0.113023773 7.0239832E-5 1.32716227
0.113164335 7.03271944E-5 1.3271867
0.113305077 7.04146587E-5 1.32721114
0.113445997 7.05022321E-5 1.3272357
0.113587089 7.05899147E-5 1.32726038
0.113728359 7.06777064E-5 1.32728505
0.113869801 7.07656072E-5 1.32730973
0.114011422 7.08536172E-5 1.32733452
0.114153214 7.09417363E-5 1.32735944
0.114295185 7.10299719E-5 1.32738435
0.114437334 7.11183093E-5 1.32740939
0.114579663 7.12067558E-5 1.32743442
0.114722162 7.12953188E-5 1.32745945
0.114864841 7.13839909E-5 1.32748473
0.115007699 7.14727648E-5 1.32750988
0.115150735 7.15616552E-5 1.32753527
0.115293942 7.1650662E-5 1.32756054
0.115437336 7.17397706E-5 1.32758605
0.115580902 7.18289957E-5 1.32761145
0.115724653 7.19183226E-5 1.32763708
0.115868576 7.20077733E-5 1.32766271
0.116012685 7.20973258E-5 1.32768834
0.116156965 7.21869947E-5 1.32771409
0.116301432 7.22767727E-5 1.32773995
0.11644607 7.23666599E-5 1.32776582
0.116590895 7.24566635E-5 1.32779169
0.116735898 7.25467762E-5 1.32781768
0.116881087 7.26370054E-5 1.32784379
0.117026448 7.27273436E-5 1.32786989
0.117171995 7.28177911E-5 1.32789612
0.117317721 7.29083549E-5 1.32792234
0.117463626 7.29990279E-5 1.32794869
0.117609717 7.30898173E-5 1.32797503
0.117755987 7.31807231E-5 1.3280015
0.117902435 7.32717381E-5 1.32802808
0.11804907 7.33628622E-5 1.32805467
0.118195891 7.34541027E-5 1.32808137
0.118342891 7.35454596E-5 1.32810807
0.11849007 7.36369257E-5 1.32813478
0.118637435 7.37285081E-5 1.32816172
0.118784986 7.3820207E-5 1.32818866
0.118932717 7.39120151E-5 1.3282156
0.119080633 7.40039395E-5 1.32824266
0.119228736 7.40959731E-5 1.32826972
0.119377017 7.41881304E-5 1.32829702
0.119525485 7.42803968E-5 1.3283242
0.119674139 7.43727796E-5 1.3283515
0.119822979 7.44652789E-5 1.32837892
0.119971998 7.45578873E-5 1.32840645
0.120121211 7.46506121E-5 1.32843399
0.120270602 7.47434606E-5 1.32846153
0.120420188 7.48364182E-5 1.32848918
0.120569952 7.49294923E-5 1.32851696
0.120719902 7.50226754E-5 1.32854474
0.120870039 7.51159823E-5 1.32857263
0.121020369 7.52094056E-5 1.32860053
0.121170878 7.53029453E-5 1.32862854
0.121321581 7.53965942E-5 1.32865667
0.121472463 7.54903667E-5 1.32868481
0.121623538 7.55842557E-5 1.32871306
0.1217748 7.56782611E-5 1.32874131
0.121926256 7.57723756E-5 1.32876968
0.12207789 7.58666138E-5 1.32879817
0.122229718 7.59609684E-5 1.32882667
0.122381739 7.60554394E-5 1.32885516
0.12253394 7.61500341E-5 1.32888389
0.122686334 7.6244738E-5 1.32891262
0.122838922 7.63395656E-5 1.32894135
