READ SERR 1
@130-31-51.pco
!
0.100062184 6.21847212E-5 1.92103197E-3
0.100186631 6.22620573E-5 1.92112394E-3
0.100311235 6.23394953E-5 1.92121603E-3
0.100435987 6.24170207E-5 1.92130846E-3
0.100560904 6.24946479E-5 1.92140101E-3
0.100685969 6.25723769E-5 1.92149391E-3
0.100811191 6.26501933E-5 1.92158693E-3
0.100936569 6.27281115E-5 1.92168029E-3
0.101062104 6.28061316E-5 1.92177377E-3
0.101187795 6.2884239E-5 1.9218676E-3
0.101313643 6.29624483E-5 1.92196155E-3
0.10143964 6.30407521E-5 1.92205585E-3
0.101565801 6.31191579E-5 1.92215026E-3
0.101692118 6.31976582E-5 1.92224502E-3
0.101818591 6.32762603E-5 1.9223399E-3
0.101945229 6.33549571E-5 1.92243513E-3
0.102072015 6.34337484E-5 1.92253059E-3
0.102198958 6.35126416E-5 1.92262616E-3
0.102326065 6.35916294E-5 1.92272209E-3
0.102453329 6.36707191E-5 1.92281825E-3
0.102580748 6.37499033E-5 1.92291453E-3
0.102708325 6.38291895E-5 1.92301115E-3
0.102836065 6.39085774E-5 1.92310801E-3
0.102963962 6.398806E-5 1.9232051E-3
0.103092015 6.40676371E-5 1.92330242E-3
0.103220232 6.41473234E-5 1.92339998E-3
0.103348605 6.4227097E-5 1.92349788E-3
0.103477143 6.43069798E-5 1.9235959E-3
0.103605837 6.43869571E-5 1.92369416E-3
0.103734687 6.44670363E-5 1.92379276E-3
0.103863701 6.45472101E-5 1.92389148E-3
0.103992879 6.4627493E-5 1.92399055E-3
0.104122214 6.47078632E-5 1.92408985E-3
0.104251713 6.47883426E-5 1.92418939E-3
0.104381368 6.48689165E-5 1.92428916E-3
0.104511186 6.49495996E-5 1.92438916E-3
0.104641162 6.50303773E-5 1.92448951E-3
0.104771309 6.51112496E-5 1.92458997E-3
0.104901612 6.5192231E-5 1.92469079E-3
0.105032079 6.5273307E-5 1.92479172E-3
0.105162703 6.53544921E-5 1.924893E-3
0.10529349 6.54357718E-5 1.92499463E-3
0.105424449 6.55171534E-5 1.92509638E-3
0.105555564 6.55986369E-5 1.92519836E-3
0.105686843 6.56802222E-5 1.92530069E-3
0.105818287 6.57619094E-5 1.92540325E-3
0.105949886 6.58436984E-5 1.92550605E-3
0.106081657 6.5925582E-5 1.92560907E-3
0.106213592 6.60075748E-5 1.92571233E-3
0.106345691 6.60896694E-5 1.92581594E-3
0.106477953 6.61718659E-5 1.92591979E-3
0.106610373 6.62541643E-5 1.92602386E-3
0.106742963 6.63365645E-5 1.92612817E-3
0.106875725 6.64190666E-5 1.92623283E-3
0.107008643 6.65016705E-5 1.9263376E-3
0.107141726 6.65843763E-5 1.92644272E-3
0.107274979 6.66671913E-5 1.9265482E-3
0.107408397 6.67501008E-5 1.92665379E-3
0.107541978 6.68331195E-5 1.92675972E-3
0.107675731 6.691624E-5 1.92686589E-3
0.107809648 6.69994624E-5 1.9269723E-3
0.107943729 6.70827867E-5 1.92707905E-3
