READ SERR 1
@44.pco
!
0.100062184 6.21847212E-5 2.91359544
0.100186631 6.22620573E-5 2.9135983
0.100311235 6.23394953E-5 2.9136014
0.100435987 6.24170207E-5 2.9136045
0.100560904 6.24946479E-5 2.9136076
0.100685969 6.25723769E-5 2.9136107
0.100811191 6.26501933E-5 2.9136138
0.100936569 6.27281115E-5 2.9136169
0.101062104 6.28061316E-5 2.91362
0.101187795 6.2884239E-5 2.91362309
0.101313643 6.29624483E-5 2.91362619
0.10143964 6.30407521E-5 2.91362929
0.101565801 6.31191579E-5 2.91363239
0.101692118 6.31976582E-5 2.91363573
0.101818591 6.32762603E-5 2.91363883
0.101945229 6.33549571E-5 2.91364193
0.102072015 6.34337484E-5 2.91364503
0.102198958 6.35126416E-5 2.91364837
0.102326065 6.35916294E-5 2.91365147
0.102453329 6.36707191E-5 2.9136548
0.102580748 6.37499033E-5 2.9136579
0.102708325 6.38291895E-5 2.913661
0.102836065 6.39085774E-5 2.91366434
0.102963962 6.398806E-5 2.91366744
0.103092015 6.40676371E-5 2.91367078
0.103220232 6.41473234E-5 2.91367412
0.103348605 6.4227097E-5 2.91367722
0.103477143 6.43069798E-5 2.91368055
0.103605837 6.43869571E-5 2.91368389
0.103734687 6.44670363E-5 2.91368699
0.103863701 6.45472101E-5 2.91369033
0.103992879 6.4627493E-5 2.91369367
0.104122214 6.47078632E-5 2.913697
0.104251713 6.47883426E-5 2.91370034
0.104381368 6.48689165E-5 2.91370344
0.104511186 6.49495996E-5 2.91370678
0.104641162 6.50303773E-5 2.91371012
0.104771309 6.51112496E-5 2.91371346
0.104901612 6.5192231E-5 2.91371679
0.105032079 6.5273307E-5 2.91372037
0.105162703 6.53544921E-5 2.91372371
0.10529349 6.54357718E-5 2.91372705
0.105424449 6.55171534E-5 2.91373038
0.105555564 6.55986369E-5 2.91373372
0.105686843 6.56802222E-5 2.91373706
0.105818287 6.57619094E-5 2.91374063
0.105949886 6.58436984E-5 2.91374397
0.106081657 6.5925582E-5 2.91374731
0.106213592 6.60075748E-5 2.91375089
0.106345691 6.60896694E-5 2.91375422
0.106477953 6.61718659E-5 2.9137578
0.106610373 6.62541643E-5 2.91376114
0.106742963 6.63365645E-5 2.91376472
0.106875725 6.64190666E-5 2.91376805
0.107008643 6.65016705E-5 2.91377163
0.107141726 6.65843763E-5 2.91377521
0.107274979 6.66671913E-5 2.91377854
0.107408397 6.67501008E-5 2.91378212
0.107541978 6.68331195E-5 2.9137857
0.107675731 6.691624E-5 2.91378927
0.107809648 6.69994624E-5 2.91379261
0.107943729 6.70827867E-5 2.91379619
0.108077981 6.71662201E-5 2.91379976
0.108212397 6.72497554E-5 2.91380334
0.108346976 6.73333925E-5 2.91380692
0.108481728 6.74171315E-5 2.91381049
0.108616643 6.75009796E-5 2.91381407
0.108751729 6.75849296E-5 2.91381764
0.108886987 6.76689888E-5 2.91382122
0.109022409 6.77531425E-5 2.91382504
0.109157994 6.78374054E-5 2.91382861
0.109293759 6.79217774E-5 2.91383219
0.109429687 6.80062512E-5 2.91383576
0.10956578 6.80908342E-5 2.91383958
0.109702051 6.81755118E-5 2.91384315
0.109838486 6.82603059E-5 2.91384673
0.109975092 6.83452017E-5 2.91385055
0.110111862 6.84301995E-5 2.91385412
0.110248812 6.85153063E-5 2.91385794
0.110385925 6.86005151E-5 2.91386151
0.110523216 6.8685833E-5 2.91386533
0.110660672 6.877126E-5 2.91386914
0.110798299 6.88567889E-5 2.91387272
0.110936098 6.89424269E-5 2.91387653
0.111074068 6.9028174E-5 2.91388035
0.111212209 6.91140231E-5 2.91388392
