READ SERR 1
@130-30-84.pco
!
0.100062184 6.21847212E-5 2.10851226E-2
0.100186631 6.22620573E-5 2.10849755E-2
0.100311235 6.23394953E-5 2.10848264E-2
0.100435987 6.24170207E-5 2.10846774E-2
0.100560904 6.24946479E-5 2.10845284E-2
0.100685969 6.25723769E-5 2.10843775E-2
0.100811191 6.26501933E-5 2.10842285E-2
0.100936569 6.27281115E-5 2.10840777E-2
0.101062104 6.28061316E-5 2.10839268E-2
0.101187795 6.2884239E-5 2.10837759E-2
0.101313643 6.29624483E-5 2.1083625E-2
0.10143964 6.30407521E-5 2.10834723E-2
0.101565801 6.31191579E-5 2.10833196E-2
0.101692118 6.31976582E-5 2.10831668E-2
0.101818591 6.32762603E-5 2.10830141E-2
0.101945229 6.33549571E-5 2.10828613E-2
0.102072015 6.34337484E-5 2.10827067E-2
0.102198958 6.35126416E-5 2.10825521E-2
0.102326065 6.35916294E-5 2.10823976E-2
0.102453329 6.36707191E-5 2.1082243E-2
0.102580748 6.37499033E-5 2.10820884E-2
0.102708325 6.38291895E-5 2.10819319E-2
0.102836065 6.39085774E-5 2.10817754E-2
0.102963962 6.398806E-5 2.1081619E-2
0.103092015 6.40676371E-5 2.10814625E-2
0.103220232 6.41473234E-5 2.10813042E-2
0.103348605 6.4227097E-5 2.10811477E-2
0.103477143 6.43069798E-5 2.10809894E-2
0.103605837 6.43869571E-5 2.10808311E-2
0.103734687 6.44670363E-5 2.10806709E-2
0.103863701 6.45472101E-5 2.10805126E-2
0.103992879 6.4627493E-5 2.10803524E-2
0.104122214 6.47078632E-5 2.10801922E-2
0.104251713 6.47883426E-5 2.1080032E-2
0.104381368 6.48689165E-5 2.10798718E-2
0.104511186 6.49495996E-5 2.10797098E-2
0.104641162 6.50303773E-5 2.10795477E-2
0.104771309 6.51112496E-5 2.10793857E-2
0.104901612 6.5192231E-5 2.10792236E-2
0.105032079 6.5273307E-5 2.10790616E-2
0.105162703 6.53544921E-5 2.10788976E-2
0.10529349 6.54357718E-5 2.10787337E-2
0.105424449 6.55171534E-5 2.10785698E-2
0.105555564 6.55986369E-5 2.10784059E-2
0.105686843 6.56802222E-5 2.10782401E-2
0.105818287 6.57619094E-5 2.10780744E-2
0.105949886 6.58436984E-5 2.10779086E-2
0.106081657 6.5925582E-5 2.10777428E-2
0.106213592 6.60075748E-5 2.1077577E-2
0.106345691 6.60896694E-5 2.10774094E-2
0.106477953 6.61718659E-5 2.10772417E-2
0.106610373 6.62541643E-5 2.10770741E-2
0.106742963 6.63365645E-5 2.10769065E-2
0.106875725 6.64190666E-5 2.1076737E-2
0.107008643 6.65016705E-5 2.10765675E-2
0.107141726 6.65843763E-5 2.10763998E-2
0.107274979 6.66671913E-5 2.10762285E-2
0.107408397 6.67501008E-5 2.1076059E-2
0.107541978 6.68331195E-5 2.10758876E-2
0.107675731 6.691624E-5 2.10757162E-2
0.107809648 6.69994624E-5 2.10755449E-2
0.107943729 6.70827867E-5 2.10753735E-2
0.108077981 6.71662201E-5 2.10752003E-2
0.108212397 6.72497554E-5 2.10750271E-2
0.108346976 6.73333925E-5 2.10748538E-2
0.108481728 6.74171315E-5 2.10746806E-2
0.108616643 6.75009796E-5 2.10745055E-2
0.108751729 6.75849296E-5 2.10743323E-2
0.108886987 6.76689888E-5 2.10741572E-2
0.109022409 6.77531425E-5 2.10739821E-2
0.109157994 6.78374054E-5 2.10738052E-2
0.109293759 6.79217774E-5 2.10736282E-2
0.109429687 6.80062512E-5 2.10734513E-2
0.10956578 6.80908342E-5 2.10732743E-2
0.109702051 6.81755118E-5 2.10730974E-2
0.109838486 6.82603059E-5 2.10729185E-2
0.109975092 6.83452017E-5 2.10727397E-2
0.110111862 6.84301995E-5 2.10725609E-2
0.110248812 6.85153063E-5 2.10723821E-2
0.110385925 6.86005151E-5 2.10722014E-2
0.110523216 6.8685833E-5 2.10720226E-2
0.110660672 6.877126E-5 2.10718419E-2
0.110798299 6.88567889E-5 2.10716594E-2
0.110936098 6.89424269E-5 2.10714787E-2
0.111074068 6.9028174E-5 2.10712962E-2
0.111212209 6.91140231E-5 2.10711136E-2
0.111350521 6.91999812E-5 2.10709311E-2
0.111489013 6.92860413E-5 2.10707467E-2
0.111627668 6.93722104E-5 2.10705623E-2
0.111766502 6.94584887E-5 2.10703779E-2
0.1119055 6.95448762E-5 2.10701935E-2
0.112044677 6.96313655E-5 2.10700072E-2
0.112184025 6.97179712E-5 2.10698228E-2
0.112323552 6.98046788E-5 2.10696366E-2
0.112463243 6.98914882E-5 2.10694484E-2
0.112603113 6.99784141E-5 2.10692622E-2
0.112743162 7.00654491E-5 2.1069074E-2
0.112883382 7.0152586E-5 2.10688859E-2
0.113023773 7.0239832E-5 2.10686978E-2
0.113164335 7.03271944E-5 2.10685078E-2
0.113305077 7.04146587E-5 2.10683197E-2
0.113445997 7.05022321E-5 2.10681297E-2
0.113587089 7.05899147E-5 2.10679378E-2
0.113728359 7.06777064E-5 2.10677478E-2
0.113869801 7.07656072E-5 2.1067556E-2
0.114011422 7.08536172E-5 2.10673641E-2
0.114153214 7.09417363E-5 2.10671723E-2
0.114295185 7.10299719E-5 2.10669786E-2
0.114437334 7.11183093E-5 2.10667867E-2
0.114579663 7.12067558E-5 2.10665911E-2
0.114722162 7.12953188E-5 2.10663974E-2
0.114864841 7.13839909E-5 2.10662037E-2
0.115007699 7.14727648E-5 2.10660081E-2
0.115150735 7.15616552E-5 2.10658126E-2
0.115293942 7.1650662E-5 2.10656151E-2
0.115437336 7.17397706E-5 2.10654195E-2
0.115580902 7.18289957E-5 2.10652221E-2
0.115724653 7.19183226E-5 2.10650247E-2
0.115868576 7.20077733E-5 2.10648254E-2
0.116012685 7.20973258E-5 2.10646279E-2
0.116156965 7.21869947E-5 2.10644286E-2
0.116301432 7.22767727E-5 2.10642274E-2
0.11644607 7.23666599E-5 2.10640281E-2
0.116590895 7.24566635E-5 2.1063827E-2
0.116735898 7.25467762E-5 2.10636258E-2
0.116881087 7.26370054E-5 2.10634246E-2
0.117026448 7.27273436E-5 2.10632216E-2
0.117171995 7.28177911E-5 2.10630205E-2
0.117317721 7.29083549E-5 2.10628156E-2
0.117463626 7.29990279E-5 2.10626125E-2
0.117609717 7.30898173E-5 2.10624095E-2
0.117755987 7.31807231E-5 2.10622046E-2
0.117902435 7.32717381E-5 2.10619979E-2
0.11804907 7.33628622E-5 2.1061793E-2
