READ SERR 1
@10.pco
!
0.100062184 6.21847212E-5 6.98359776
0.100186631 6.22620573E-5 6.9999752
0.100311235 6.23394953E-5 7.0163908
0.100435987 6.24170207E-5 7.03284407
0.100560904 6.24946479E-5 7.04933596
0.100685969 6.25723769E-5 7.06586599
0.100811191 6.26501933E-5 7.08243418
0.100936569 6.27281115E-5 7.09904099
0.101062104 6.28061316E-5 7.11568642
0.101187795 6.2884239E-5 7.13237
0.101313643 6.29624483E-5 7.14909267
0.10143964 6.30407521E-5 7.1658535
0.101565801 6.31191579E-5 7.18265343
0.101692118 6.31976582E-5 7.19949245
0.101818591 6.32762603E-5 7.21637011
0.101945229 6.33549571E-5 7.23328733
0.102072015 6.34337484E-5 7.25024319
0.102198958 6.35126416E-5 7.26723814
0.102326065 6.35916294E-5 7.28427267
0.102453329 6.36707191E-5 7.30134678
0.102580748 6.37499033E-5 7.31846046
0.102708325 6.38291895E-5 7.33561325
0.102836065 6.39085774E-5 7.35280561
0.102963962 6.398806E-5 7.37003803
0.103092015 6.40676371E-5 7.3873105
0.103220232 6.41473234E-5 7.40462255
0.103348605 6.4227097E-5 7.42197418
0.103477143 6.43069798E-5 7.43936634
0.103605837 6.43869571E-5 7.45679855
0.103734687 6.44670363E-5 7.4742713
0.103863701 6.45472101E-5 7.49858665
0.103992879 6.4627493E-5 7.52299595
0.104122214 6.47078632E-5 7.54746199
0.104251713 6.47883426E-5 7.57198429
0.104381368 6.48689165E-5 7.59656286
0.104511186 6.49495996E-5 7.62119818
0.104641162 6.50303773E-5 7.64589024
0.104771309 6.51112496E-5 7.67063951
0.104901612 6.5192231E-5 7.69544554
0.105032079 6.5273307E-5 7.72030878
0.105162703 6.53544921E-5 7.74522924
0.10529349 6.54357718E-5 7.77020693
0.105424449 6.55171534E-5 7.79524231
0.105555564 6.55986369E-5 7.82033491
0.105686843 6.56802222E-5 7.84548569
0.105818287 6.57619094E-5 7.87069416
0.105949886 6.58436984E-5 7.89596081
0.106081657 6.5925582E-5 7.92128515
0.106213592 6.60075748E-5 7.94666815
0.106345691 6.60896694E-5 7.97210932
0.106477953 6.61718659E-5 7.99760866
0.106610373 6.62541643E-5 8.02316666
0.106742963 6.63365645E-5 8.0487833
0.106875725 6.64190666E-5 8.07445908
0.107008643 6.65016705E-5 8.10019398
0.107141726 6.65843763E-5 8.12598801
0.107274979 6.66671913E-5 8.15184021
0.107408397 6.67501008E-5 8.17775249
0.107541978 6.68331195E-5 8.20372391
0.107675731 6.691624E-5 8.2297554
0.107809648 6.69994624E-5 8.25584602
0.107943729 6.70827867E-5 8.28199673
0.108077981 6.71662201E-5 8.30820751
0.108212397 6.72497554E-5 8.33447838
0.108346976 6.73333925E-5 8.36080933
0.108481728 6.74171315E-5 8.38720036
0.108616643 6.75009796E-5 8.41365147
0.108751729 6.75849296E-5 8.44016361
0.108886987 6.76689888E-5 8.46673679
0.109022409 6.77531425E-5 8.49337006
0.109157994 6.78374054E-5 8.52006531
0.109293759 6.79217774E-5 8.54682064
0.109429687 6.80062512E-5 8.57363701
0.10956578 6.80908342E-5 8.60051537
0.109702051 6.81755118E-5 8.62745476
0.109838486 6.82603059E-5 8.65445614
0.109975092 6.83452017E-5 8.68151855
0.110111862 6.84301995E-5 8.70864296
0.110248812 6.85153063E-5 8.73582935
0.110385925 6.86005151E-5 8.76307869
0.110523216 6.8685833E-5 8.79038906
0.110660672 6.877126E-5 8.81776237
0.110798299 6.88567889E-5 8.84519768
0.110936098 6.89424269E-5 8.87269592
0.111074068 6.9028174E-5 8.90025711
0.111212209 6.91140231E-5 8.92788029
0.111350521 6.91999812E-5 8.95556736
0.111489013 6.92860413E-5 9.00270653
0.111627668 6.93722104E-5 9.05303192
0.111766502 6.94584887E-5 9.10347176
0.1119055 6.95448762E-5 9.15402699
0.112044677 6.96313655E-5 9.20469666
0.112184025 6.97179712E-5 9.25548172
0.112323552 6.98046788E-5 9.30638313
0.112463243 6.98914882E-5 9.35739994
0.112603113 6.99784141E-5 9.40853214
0.112743162 7.00654491E-5 9.45978069
0.112883382 7.0152586E-5 9.51114655
0.113023773 7.0239832E-5 9.56262875
0.113164335 7.03271944E-5 9.61422729
0.113305077 7.04146587E-5 9.6659441
0.113445997 7.05022321E-5 9.71777725
0.113587089 7.05899147E-5 9.76972866
0.113728359 7.06777064E-5 9.82179832
0.113869801 7.07656072E-5 9.87398624
0.114011422 7.08536172E-5 9.92629147
0.114153214 7.09417363E-5 9.9787159
0.114295185 7.10299719E-5 10.0312595
0.114437334 7.11183093E-5 10.0839224
0.114579663 7.12067558E-5 10.1367044
0.114722162 7.12953188E-5 10.1896057
0.114864841 7.13839909E-5 10.2426271
0.115007699 7.14727648E-5 10.2957687
0.115150735 7.15616552E-5 10.3490305
0.115293942 7.1650662E-5 10.4024124
0.115437336 7.17397706E-5 10.4559155
0.115580902 7.18289957E-5 10.5095396
0.115724653 7.19183226E-5 10.5632849
0.115868576 7.20077733E-5 10.6171522
0.116012685 7.20973258E-5 10.6711407
0.116156965 7.21869947E-5 10.7252512
0.116301432 7.22767727E-5 10.7794847
0.11644607 7.23666599E-5 10.8338404
0.116590895 7.24566635E-5 10.8883181
0.116735898 7.25467762E-5 10.9429197
0.116881087 7.26370054E-5 10.9976444
0.117026448 7.27273436E-5 11.0524921
0.117171995 7.28177911E-5 11.1074638
0.117317721 7.29083549E-5 11.1625595
0.117463626 7.29990279E-5 11.2177792
0.117609717 7.30898173E-5 11.2731237
0.117755987 7.31807231E-5 11.3285923
0.117902435 7.32717381E-5 11.3841867
0.11804907 7.33628622E-5 11.4399061
0.118195891 7.34541027E-5 11.4957504
0.118342891 7.35454596E-5 11.5517216
0.11849007 7.36369257E-5 11.6078176
0.118637435 7.37285081E-5 11.6980629
0.118784986 7.3820207E-5 11.8627396
0.118932717 7.39120151E-5 12.0277863
0.119080633 7.40039395E-5 12.1932049
0.119228736 7.40959731E-5 12.3589945
0.119377017 7.41881304E-5 12.525157
0.119525485 7.42803968E-5 12.6916924
0.119674139 7.43727796E-5 12.8586016
0.119822979 7.44652789E-5 13.0258856
0.119971998 7.45578873E-5 13.1935453
0.120121211 7.46506121E-5 13.3615808
0.120270602 7.47434606E-5 13.5299931
0.120420188 7.48364182E-5 13.6987839
0.120569952 7.49294923E-5 13.8679523
0.120719902 7.50226754E-5 14.0374994
0.120870039 7.51159823E-5 14.207427
0.121020369 7.52094056E-5 14.3777351
0.121170878 7.53029453E-5 14.5484247
0.121321581 7.53965942E-5 14.7194958
0.121472463 7.54903667E-5 14.8909502
0.121623538 7.55842557E-5 15.062788
0.1217748 7.56782611E-5 15.2350101
0.121926256 7.57723756E-5 15.4076166
0.12207789 7.58666138E-5 15.5806103
0.122229718 7.59609684E-5 15.7539892
0.122381739 7.60554394E-5 15.9277563
0.12253394 7.61500341E-5 16.1019115
0.122686334 7.6244738E-5 16.2764549
0.122838922 7.63395656E-5 16.4513874
0.122991696 7.64345095E-5 16.6267109
0.123144656 7.65295699E-5 16.8024254
0.123297811 7.66247467E-5 16.9785328
0.123451158 7.67200472E-5 17.1550312
0.123604693 7.68154641E-5 17.3319225
0.12375842 7.69109974E-5 17.5092087
0.123912334 7.70066545E-5 17.6868896
0.12406645 7.71024279E-5 17.8649673
0.124220744 7.71983177E-5 18.0434399
0.124375239 7.7294324E-5 18.222311
0.124529928 7.73904612E-5 18.4015789
0.124684803 7.74867076E-5 18.5812454
0.124839872 7.75830777E-5 18.7613106
0.124995135 7.76795641E-5 18.9417763
0.125150591 7.77761743E-5 19.1226444
0.125306234 7.78729082E-5 19.3039131
0.125462085 7.79697584E-5 19.4855843
0.125618115 7.80667251E-5 19.6268158
0.125774354 7.81638155E-5 19.7651329
0.125930771 7.82610296E-5 19.9037571
0.126087397 7.835836E-5 20.0426884
0.126244202 7.84558142E-5 20.1819286
0.126401216 7.85533921E-5 20.321476
0.126558423 7.86510864E-5 20.4613342
0.126715824 7.87489043E-5 20.6014996
0.126873419 7.8846846E-5 20.7419777
0.127031207 7.89449041E-5 20.8827667
0.127189189 7.90430931E-5 21.0238647
0.12734738 7.91413986E-5 21.1652775
0.127505764 7.92398205E-5 21.3070011
0.127664343 7.93383733E-5 21.4490395
0.127823114 7.94370499E-5 21.5913906
0.127982095 7.95358428E-5 21.7340565
0.128141254 7.96347595E-5 21.877037
0.128300622 7.97337998E-5 22.0203342
0.128460199 7.98329638E-5 22.1639462
0.128619954 7.99322515E-5 22.3078766
0.128779918 8.00316629E-5 22.4521236
0.128940091 8.0131198E-5 22.5966873
0.129100442 8.02308568E-5 22.7415714
0.129261017 8.03306393E-5 22.8867741
0.129421771 8.04305455E-5 23.0322971
0.129582733 8.05305826E-5 23.1781387
0.129743889 8.06307362E-5 23.3243027
0.129905254 8.07310134E-5 23.470789
0.130066812 8.08314217E-5 23.6175957
0.130228579 8.09319463E-5 23.7647247
0.13039054 8.10326019E-5 23.912178
0.130552709 8.11333812E-5 24.0599556
0.130715072 8.12342914E-5 24.2080574
0.130877644 8.13353181E-5 24.3564854
0.131040424 8.14364757E-5 24.5052376
0.131203398 8.15377571E-5 24.6543179
0.131366566 8.16391621E-5 24.8037224
0.131529957 8.17406981E-5 24.9534569
0.131693542 8.18423578E-5 25.1035175
0.131857321 8.19441484E-5 25.2539082
0.132021308 8.20460627E-5 25.4046288
0.132185504 8.21481008E-5 25.5634937
0.132349908 8.22502698E-5 25.7261848
0.132514507 8.23525625E-5 25.8892307
0.132679313 8.24549861E-5 26.0526352
0.132844329 8.25575335E-5 26.2163944
0.133009538 8.26602118E-5 26.3805122
0.133174971 8.27630138E-5 26.5449886
0.133340597 8.28659468E-5 26.7098255
0.133506432 8.29690034E-5 26.875021
0.133672476 8.3072191E-5 27.0405769
0.133838728 8.31755096E-5 27.2064934
0.134005174 8.32789519E-5 27.3727722
0.134171844 8.33825252E-5 27.5394135
0.134338707 8.34862294E-5 27.706419
0.134505779 8.35900646E-5 27.8737869
0.134673059 8.36940235E-5 28.0415192
0.134840563 8.37981133E-5 28.2096157
0.135008261 8.39023342E-5 28.3780804
0.135176167 8.40066787E-5 28.5469093
0.135344282 8.41111614E-5 28.7161064
0.135512605 8.42157679E-5 28.8856697
0.135681152 8.43205053E-5 29.055603
0.135849893 8.44253736E-5 29.2259045
0.136018857 8.4530373E-5 29.3965759
0.136188015 8.46355033E-5 29.5676174
0.136357397 8.47407646E-5 29.7390289
0.136526972 8.48461568E-5 29.9108143
0.136696771 8.495168E-5 30.0829697
0.136866793 8.50573342E-5 30.2555008
0.137037009 8.51631194E-5 30.4284039
0.137207434 8.52690355E-5 30.6016808
0.137378082 8.53750826E-5 30.7753334
0.137548938 8.54812606E-5 30.9493599
0.137720004 8.55875769E-5 31.123764
0.137891293 8.56940242E-5 31.2985458
0.13806279 8.58005951E-5 31.4737053
0.138234496 8.59073116E-5 31.6492424
0.138406411 8.60141517E-5 31.8251572
0.138578549 8.61211229E-5 32.0243073
0.138750896 8.62282322E-5 32.2272911
0.138923466 8.63354726E-5 32.4307098
0.139096245 8.64428512E-5 32.6345711
0.139269233 8.65503607E-5 32.8388672
0.139442444 8.66580012E-5 33.0436058
0.139615864 8.676578E-5 33.2487831
0.139789507 8.68736897E-5 33.4544029
0.139963359 8.69817304E-5 33.6604652
0.140137434 8.70899094E-5 33.8669701
0.140311718 8.71982265E-5 34.0739212
0.140486225 8.73066747E-5 34.2813148
0.140660942 8.74152538E-5 34.489151
0.140835881 8.75239712E-5 34.6974373
0.141011044 8.76328268E-5 34.9061699
0.141186416 8.77418133E-5 35.1153488
0.141362011 8.78509381E-5 35.3249741
0.141537815 8.79602012E-5 35.5350533
0.141713858 8.80695952E-5 35.7455788
0.141890094 8.81791275E-5 35.9565582
0.142066568 8.82887907E-5 36.1679878
0.142243251 8.83985995E-5 36.3798676
0.142420158 8.85085392E-5 36.5922012
0.142597288 8.86186172E-5 36.8049889
0.142774642 8.87288334E-5 37.0182343
0.142952204 8.88391805E-5 37.2319298
0.14312999 8.89496732E-5 37.4460831
0.143307999 8.90602969E-5 37.6606941
0.143486232 8.91710588E-5 37.8757629
0.143664688 8.92819589E-5 38.0912895
0.143843368 8.93930046E-5 38.3072777
0.144022256 8.95041812E-5 38.5237236
0.144201383 8.96154961E-5 38.7406311
0.144380718 8.97269492E-5 38.9580002
0.144560292 8.98385406E-5 39.1758308
0.144740075 8.99502775E-5 39.2058411
0.144920096 9.00621453E-5 39.2153015
0.145100325 9.01741514E-5 39.2247849
0.145280793 9.0286303E-5 39.2342873
0.14546147 9.03985929E-5 39.2438126
0.145642385 9.0511021E-5 39.2533569
0.145823509 9.06235873E-5 39.2629204
0.146004871 9.07362992E-5 39.2725029
0.146186456 9.0849142E-5 39.2821083
0.146368265 9.09621303E-5 39.2917328
0.146550313 9.10752642E-5 39.3013763
0.146732569 9.1188529E-5 39.3110428
0.146915063 9.13019394E-5 39.3207283
0.147097781 9.14154953E-5 39.3304329
0.147280723 9.15291894E-5 39.3401604
0.147463903 9.16430217E-5 39.3499069
0.147647291 9.17569996E-5 39.3596764
0.147830933 9.18711157E-5 39.3694649
0.148014784 9.19853774E-5 39.3792763
0.148198873 9.20997772E-5 39.3891029
0.148383185 9.22143226E-5 39.3989563
0.148567721 9.23290063E-5 39.4088249
0.148752496 9.24438355E-5 39.4187164
0.148937494 9.25588101E-5 39.4286308
0.14912273 9.26739231E-5 39.4385643
0.14930819 9.27891815E-5 39.4485207
0.149493888 9.29045855E-5 39.4584961
0.14967981 9.30201277E-5 39.4684906
0.14986597 9.31358154E-5 39.478508
0.150052354 9.32516487E-5 39.4885483
0.150238976 9.33676274E-5 39.4986076
0.150425822 9.34837444E-5 39.5086861
0.150612906 9.36000142E-5 39.5166588
0.150800228 9.37164223E-5 39.5207024
0.150987774 9.38329758E-5 39.5247574
0.151175559 9.39496749E-5 39.5288162
0.151363581 9.40665195E-5 39.5328865
0.151551828 9.41835096E-5 39.5369644
0.151740313 9.43006453E-5 39.5410538
0.151929036 9.44179264E-5 39.5451469
0.152117983 9.45353531E-5 39.5492516
0.152307168 9.46529253E-5 39.5533638
0.152496591 9.4770643E-5 39.5574837
0.152686253 9.48885136E-5 39.561615
0.152876154 9.50065223E-5 39.5657539
0.153066278 9.51246839E-5 39.5699005
0.153256655 9.52429909E-5 39.5740547
0.153447255 9.53614435E-5 39.5782166
0.153638095 9.54800416E-5 39.5823898
0.153829172 9.55987925E-5 39.5865707
0.154020488 9.5717689E-5 39.5907631
0.154212043 9.58367309E-5 39.5949593
0.154403836 9.59559184E-5 39.5991669
0.154595867 9.60752586E-5 39.6033859
0.154788136 9.61947517E-5 39.6076088
0.154980645 9.6314383E-5 39.6118431
0.155173391 9.64341743E-5 39.6160851
0.155366391 9.65541039E-5 39.6203346
0.155559614 9.66741864E-5 39.6245956
0.155753076 9.67944216E-5 39.6288643
0.155946791 9.69148023E-5 39.6331406
0.156140745 9.70353358E-5 39.6374283
0.156334937 9.71560221E-5 39.6417236
0.156529367 9.72768539E-5 39.651413
0.156724036 9.73978385E-5 39.6618919
0.156918958 9.75189687E-5 39.6723938
0.157114118 9.76402516E-5 39.6829147
0.157309517 9.77616874E-5 39.6934586
0.157505155 9.78832759E-5 39.7040253
0.157701045 9.80050099E-5 39.7146111
0.157897189 9.81268968E-5 39.7252197
0.158093557 9.82489364E-5 39.7358475
0.158290178 9.83711288E-5 39.7465019
0.158487037 9.84934741E-5 39.7571754
0.158684149 9.86159721E-5 39.767868
0.1588815 9.87386156E-5 39.7785873
0.159079105 9.88614192E-5 39.7893257
0.159276947 9.89843684E-5 39.800087
0.159475043 9.91074776E-5 39.8108711
0.159673378 9.92307396E-5 39.8216782
0.159871966 9.93541471E-5 39.8325043
0.160070792 9.94777147E-5 39.8433533
0.160269871 9.96014351E-5 39.8542252
0.160469204 9.97253082E-5 39.8651199
0.160668775 9.98493342E-5 39.8760338
0.1608686 9.99735203E-5 39.8869743
0.161068678 1.00097859E-4 39.897934
0.161268994 1.00222343E-4 39.9089165
0.161469564 1.00346995E-4 39.9199219
0.161670387 1.00471792E-4 39.9309464
0.161871448 1.0059675E-4 39.9419975
0.162072763 1.0072186E-4 39.9515991
0.162274346 1.0084713E-4 39.9553146
0.162476152 1.00972553E-4 39.959034
0.162678227 1.01098129E-4 39.9627609
0.162880555 1.01223864E-4 39.9664993
0.163083121 1.0134976E-4 39.9702415
0.163285956 1.01475809E-4 39.9739914
0.163489029 1.01602011E-4 39.9777489
0.163692355 1.01728372E-4 39.981514
0.163895935 1.01854894E-4 39.9852905
0.164099783 1.01981568E-4 39.9890709
0.164303869 1.02108403E-4 39.9928589
0.164508209 1.0223539E-4 39.9966545
0.164712816 1.02362545E-4 40.0004578
0.164917663 1.02489852E-4 40.0042686
0.165122762 1.02617319E-4 40.008091
0.16532813 1.0274494E-4 40.0119171
0.165533751 1.02872727E-4 40.0157509
0.165739626 1.03000668E-4 40.0195923
0.165945753 1.03128768E-4 40.0234413
0.166152135 1.03257029E-4 40.0273018
0.166358784 1.0338545E-4 40.0311661
0.166565686 1.0351403E-4 40.035038
0.166772842 1.03642771E-4 40.0389175
0.166980252 1.03771672E-4 40.0428085
0.167187929 1.03900726E-4 40.0467033
0.16739586 1.04029947E-4 40.0506096
0.167604044 1.04159328E-4 40.0554543
0.167812496 1.04288876E-4 40.0691299
0.168021202 1.04418577E-4 40.0828285
0.168230161 1.04548439E-4 40.0965538
0.168439388 1.04678467E-4 40.1103096
0.168648884 1.04808656E-4 40.1240921
0.168858632 1.04939005E-4 40.1379013
0.169068635 1.05069521E-4 40.1517372
0.169278905 1.0520019E-4 40.1655998
0.169489443 1.05331026E-4 40.179493
0.169700235 1.0546203E-4 40.193409
0.16991128 1.05593193E-4 40.2073555
0.170122609 1.05724517E-4 40.2213287
0.17033419 1.05856008E-4 40.2353325
0.170546025 1.05987659E-4 40.2493591
0.170758128 1.06119478E-4 40.2634163
0.1709705 1.06251457E-4 40.2775002
0.171183139 1.06383603E-4 40.2916145
0.171396047 1.06515909E-4 40.3057518
0.171609208 1.06648382E-4 40.3199196
0.171822637 1.06781023E-4 40.3341179
0.172036335 1.06913823E-4 40.3483391
0.172250286 1.07046792E-4 40.3625908
0.17246452 1.07179927E-4 40.3768692
0.172679007 1.07313223E-4 40.3911781
0.172893763 1.07446685E-4 40.4055138
0.173108801 1.07580316E-4 40.4187851
0.173324093 1.07714113E-4 40.430294
0.173539653 1.07848078E-4 40.4418297
0.173755482 1.0798221E-4 40.4533882
0.173971578 1.08116503E-4 40.4649658
0.174187943 1.0825097E-4 40.4765701
0.174404591 1.08385604E-4 40.4881935
0.174621493 1.08520398E-4 40.4998398
0.174838662 1.08655368E-4 40.5115128
0.175056115 1.08790497E-4 40.5232048
0.175273836 1.089258E-4 40.5349197
0.17549181 1.09061271E-4 40.5466576
0.175710082 1.0919691E-4 40.5584183
0.175928608 1.09332716E-4 40.5702019
0.176147401 1.09468696E-4 40.5820084
0.176366478 1.09604844E-4 40.5938377
0.176585823 1.09741159E-4 40.60569
0.176805437 1.09877641E-4 40.6175652
0.177025333 1.10014298E-4 40.6294594
0.177245498 1.10151115E-4 40.6413803
0.177465945 1.10288114E-4 40.6533241
0.177686647 1.10425281E-4 40.6652908
0.177907646 1.10562614E-4 40.6772804
0.178128898 1.10700123E-4 40.6892929
0.178350449 1.10837798E-4 40.7013283
0.178572252 1.10975641E-4 40.7118073
0.178794339 1.11113666E-4 40.7221107
0.179016709 1.11251858E-4 40.7324371
0.179239348 1.11390218E-4 40.7427788
0.179462269 1.11528752E-4 40.7531433
0.179685473 1.11667461E-4 40.7635307
0.179908946 1.11806345E-4 40.7739334
0.180132687 1.11945395E-4 40.784359
0.180356726 1.12084621E-4 40.7947998
0.180581033 1.12224021E-4 40.8052635
0.180805624 1.12363596E-4 40.8157501
0.181030482 1.12503338E-4 40.826252
0.181255639 1.12643262E-4 40.8367767
0.181481063 1.12783353E-4 40.8473206
0.181706771 1.12923619E-4 40.8578835
0.181932747 1.13064059E-4 40.8684654
0.182159021 1.13204682E-4 40.8790703
0.182385579 1.13345472E-4 40.8896942
0.182612404 1.13486436E-4 40.9003372
0.182839513 1.13627582E-4 40.9109993
0.183066919 1.13768896E-4 40.9216843
0.183294594 1.13910392E-4 40.9323883
0.183522552 1.14052062E-4 40.9431114
0.183750808 1.14193906E-4 40.9552078
0.183979332 1.14335933E-4 40.9686546
0.184208155 1.14478127E-4 40.9821281
0.184437245 1.14620503E-4 40.9956245
0.184666634 1.14763061E-4 41.0091515
0.184896305 1.14905786E-4 41.0226974
0.18512626 1.15048693E-4 41.036274
0.185356498 1.15191782E-4 41.0498734
0.185587019 1.15335046E-4 41.0634956
0.185817838 1.15478484E-4 41.0771484
0.18604894 1.15622104E-4 41.0908241
0.186280325 1.15765906E-4 41.1045265
0.186511993 1.15909883E-4 41.1182518
0.18674396 1.16054041E-4 41.1320038
0.186976209 1.16198375E-4 41.1457825
0.187208757 1.1634289E-4 41.159584
0.187441587 1.16487587E-4 41.1734123
0.187674701 1.16632458E-4 41.1872673
0.187908113 1.16777512E-4 41.201149
0.188141823 1.16922747E-4 41.2150536
0.188375801 1.17068164E-4 41.2289848
0.188610092 1.17213764E-4 41.2429428
0.188844666 1.17359545E-4 41.2562294
0.189079523 1.175055E-4 41.2631912
0.189314678 1.17651645E-4 41.2701683
0.189550132 1.17797965E-4 41.2771606
0.189785883 1.17944466E-4 41.2841606
0.190021917 1.18091157E-4 41.2911758
0.190258235 1.18238029E-4 41.2982063
0.190494865 1.18385076E-4 41.3052483
0.190731779 1.18532313E-4 41.3123016
0.19096899 1.18679731E-4 41.3193665
0.1912065 1.18827331E-4 41.3264465
0.191444308 1.1897512E-4 41.3335419
0.191682398 1.19123084E-4 41.3406448
0.191920802 1.19271237E-4 41.3477669
