READ SERR 1
@1-10.pco
!
0.100062184 6.21847212E-5 3.67022276
0.100186631 6.22620573E-5 3.67025042
0.100311235 6.23394953E-5 3.67027831
0.100435987 6.24170207E-5 3.67030621
0.100560904 6.24946479E-5 3.6703341
0.100685969 6.25723769E-5 3.67036223
0.100811191 6.26501933E-5 3.67039037
0.100936569 6.27281115E-5 3.6704185
0.101062104 6.28061316E-5 3.67044687
0.101187795 6.2884239E-5 3.67047524
0.101313643 6.29624483E-5 3.67050362
0.10143964 6.30407521E-5 3.67053223
0.101565801 6.31191579E-5 3.6705606
0.101692118 6.31976582E-5 3.67058921
0.101818591 6.32762603E-5 3.67061806
0.101945229 6.33549571E-5 3.67064667
0.102072015 6.34337484E-5 3.67067552
0.102198958 6.35126416E-5 3.6707046
0.102326065 6.35916294E-5 3.67073345
0.102453329 6.36707191E-5 3.67076254
0.102580748 6.37499033E-5 3.67079163
0.102708325 6.38291895E-5 3.67082095
0.102836065 6.39085774E-5 3.67085028
0.102963962 6.398806E-5 3.6708796
0.103092015 6.40676371E-5 3.67090893
0.103220232 6.41473234E-5 3.67093849
0.103348605 6.4227097E-5 3.67096806
0.103477143 6.43069798E-5 3.67099762
0.103605837 6.43869571E-5 3.67102742
0.103734687 6.44670363E-5 3.67105722
0.103863701 6.45472101E-5 3.67108703
0.103992879 6.4627493E-5 3.67111683
0.104122214 6.47078632E-5 3.67114687
0.104251713 6.47883426E-5 3.67117691
0.104381368 6.48689165E-5 3.67120719
0.104511186 6.49495996E-5 3.67123747
0.104641162 6.50303773E-5 3.67126775
0.104771309 6.51112496E-5 3.67129803
0.104901612 6.5192231E-5 3.67132854
0.105032079 6.5273307E-5 3.67135906
0.105162703 6.53544921E-5 3.67138982
0.10529349 6.54357718E-5 3.67142034
0.105424449 6.55171534E-5 3.67145109
0.105555564 6.55986369E-5 3.67148209
0.105686843 6.56802222E-5 3.67151284
0.105818287 6.57619094E-5 3.67154384
0.105949886 6.58436984E-5 3.67157507
0.106081657 6.5925582E-5 3.67160606
0.106213592 6.60075748E-5 3.6716373
0.106345691 6.60896694E-5 3.67166877
0.106477953 6.61718659E-5 3.6717
0.106610373 6.62541643E-5 3.67173147
0.106742963 6.63365645E-5 3.67176294
0.106875725 6.64190666E-5 3.67179465
0.107008643 6.65016705E-5 3.67182636
0.107141726 6.65843763E-5 3.67185807
0.107274979 6.66671913E-5 3.67189002
0.107408397 6.67501008E-5 3.67192197
0.107541978 6.68331195E-5 3.67195392
0.107675731 6.691624E-5 3.6719861
0.107809648 6.69994624E-5 3.67201829
0.107943729 6.70827867E-5 3.67205048
0.108077981 6.71662201E-5 3.67208266
0.108212397 6.72497554E-5 3.67211509
0.108346976 6.73333925E-5 3.67214775
0.108481728 6.74171315E-5 3.67218018
0.108616643 6.75009796E-5 3.67221284
0.108751729 6.75849296E-5 3.67224574
0.108886987 6.76689888E-5 3.6722784
